id,species,group,identifier,symbol,entrez_id,percentage,score,unique_grouping
76,Bos taurus,859,ENSBTAP00000010781,EPOR,281144,100%,1,6347-taurus:sapiens
77,Homo sapiens,859,ENSP00000222139,EPOR,2057,100%,1,6347-taurus:sapiens
78,Bos taurus,226,ENSBTAP00000023020,SST,280932,100%,1,14471-taurus:sapiens
79,Homo sapiens,226,ENSP00000287641,SST,6750,100%,1,14471-taurus:sapiens
80,Bos taurus,1245,ENSBTAP00000011487,PRKCD,505708,100%,1,3487-taurus:sapiens
81,Homo sapiens,1245,ENSP00000378217,PRKCD,5580,100%,1,3487-taurus:sapiens
82,Bos taurus,904,ENSBTAP00000010606,Q5EA13_BOV,281992,100%,1,5903-taurus:sapiens
83,Homo sapiens,904,ENSP00000262735,PPARA,5465,100%,1,5903-taurus:sapiens
84,Bos taurus,1952,ENSBTAP00000000744,RET,515924,100%,1,1345-taurus:sapiens
85,Homo sapiens,1952,ENSP00000344798,RET,5979,100%,1,1345-taurus:sapiens
86,Bos taurus,2340,ENSBTAP00000002717,PLCG2,100337091,100%,1,839-taurus:sapiens
87,Homo sapiens,2340,ENSP00000352336,PLCG2,5336,100%,1,839-taurus:sapiens
88,Bos taurus,1247,ENSBTAP00000052543,PEX5_BOVIN,514832,100%,1,3481-taurus:sapiens
89,Homo sapiens,1247,ENSP00000379877,PEX5,5830,100%,1,3481-taurus:sapiens
90,Bos taurus,900,ENSBTAP00000023086,Q6RCM5_BOV,404125,100%,1,5942-taurus:sapiens
91,Homo sapiens,900,ENSP00000302967,HDAC3,8841,100%,1,5942-taurus:sapiens
92,Bos taurus,1855,ENSBTAP00000001113,PARP1,286764,100%,1,1533-taurus:sapiens
93,Homo sapiens,1855,ENSP00000355759,PARP1,142,100%,1,1533-taurus:sapiens
94,Bos taurus,2545,ENSBTAP00000011616,BRCA1,353120,100%,1,665-taurus:sapiens
95,Homo sapiens,2545,ENSP00000350283,BRCA1,672,100%,1,665-taurus:sapiens
96,Bos taurus,327,ENSBTAP00000022592,PIN1_BOVIN,535470,100%,1,13360-taurus:sapiens
97,Homo sapiens,327,ENSP00000247970,PIN1,5300,100%,1,13360-taurus:sapiens
98,Bos taurus,500,ENSBTAP00000012499,PTEN,540786,100%,1,10997-taurus:sapiens
99,Homo sapiens,500,ENSP00000361021,PTEN,5728,100%,1,10997-taurus:sapiens
100,Bos taurus,1564,ENSBTAP00000027885,A0JND0_BOV,281814,100%,1,2240-taurus:sapiens
101,Homo sapiens,1564,ENSP00000378446,HIF1A,3091,100%,1,2240-taurus:sapiens
102,Homo sapiens,3004,ENSP00000379198,NCOR1,9611,100%,1,427-taurus:sapiens
103,Bos taurus,1123,ENSBTAP00000012812,Q0VCV0_BOV,504844,100%,1,4164-taurus:sapiens
104,Homo sapiens,1123,ENSP00000254719,RPA1,6117,100%,1,4164-taurus:sapiens
105,Bos taurus,2327,ENSBTAP00000027057,BLM,534148,100%,1,854-taurus:sapiens
106,Homo sapiens,2327,ENSP00000347232,BLM,641,100%,1,854-taurus:sapiens
107,Bos taurus,248,ENSBTAP00000025701,BCL2,100337173,100%,1,14257-taurus:sapiens
108,Homo sapiens,248,ENSP00000381185,BCL2,596,100%,1,14257-taurus:sapiens
109,Homo sapiens,442,ENSP00000370473,IGFBP3,3486,100%,1,11815-taurus:sapiens
110,Bos taurus,1442,ENSBTAP00000008225,HS90A_BOVI,781339,100%,1,2654-taurus:sapiens
111,Homo sapiens,1442,ENSP00000335153,HSP90AA1,3320,100%,1,2654-taurus:sapiens
112,Bos taurus,1037,ENSBTAP00000013284,Q17QJ4_BOV,407125,100%,1,4754-taurus:sapiens
113,Homo sapiens,1037,ENSP00000239938,EGR1,1958,100%,1,4754-taurus:sapiens
114,Homo sapiens,279,ENSP00000361125,VEGFA,7422,100%,1,13898-taurus:sapiens
115,Bos taurus,1829,ENSBTAP00000023920,ABL1,540876,100%,1,1589-taurus:sapiens
116,Homo sapiens,1829,ENSP00000361423,ABL1,25,100%,1,1589-taurus:sapiens
117,Homo sapiens,4472,ENSP00000369497,BRCA2,675,100%,1,132-taurus:sapiens
118,Bos taurus,3104,ENSBTAP00000006030,F1MU48_BOV,282097,100%,1,399-taurus:sapiens
119,Homo sapiens,3104,ENSP00000264331,TOP2B,7155,100%,1,399-taurus:sapiens
120,Bos taurus,1779,ENSBTAP00000027016,NFKB1,616115,100%,1,1696-taurus:sapiens
121,Homo sapiens,1779,ENSP00000226574,NFKB1,4790,100%,1,1696-taurus:sapiens
122,Bos taurus,1555,ENSBTAP00000010466,F1MN93_BOV,534799,100%,1,2266-taurus:sapiens
123,Homo sapiens,1555,ENSP00000354522,TOP1,7150,100%,1,2266-taurus:sapiens
124,Bos taurus,579,ENSBTAP00000003788,RAD51_BOVI,514749,100%,1,9790-taurus:sapiens
125,Homo sapiens,579,ENSP00000372088,RAD51,5888,100%,1,9790-taurus:sapiens
126,Bos taurus,294,ENSBTAP00000047838,A6H744_BOV,515573,100%,1,13730-taurus:sapiens
127,Homo sapiens,294,ENSP00000384361,UBE2I,7329,100%,1,13730-taurus:sapiens
128,Bos taurus,368,ENSBTAP00000035682,TNFA_BOVIN,280943,100%,1,12830-taurus:sapiens
129,Homo sapiens,368,ENSP00000365290,TNF,7124,100%,1,12830-taurus:sapiens
130,Homo sapiens,368,ENSP00000372988,TNF,7124,100%,1,12830-taurus:sapiens
131,Bos taurus,649,ENSBTAP00000027261,TGFB1,282089,100%,1,8817-taurus:sapiens
132,Homo sapiens,649,ENSP00000221930,TGFB1,7040,100%,1,8817-taurus:sapiens
133,Bos taurus,2422,ENSBTAP00000043469,ERCC6,522908,100%,1,759-taurus:sapiens
134,Homo sapiens,2422,ENSP00000348089,ERCC6,2074,100%,1,759-taurus:sapiens
135,Bos taurus,744,ENSBTAP00000015459,STK11,100337329,100%,1,7625-taurus:sapiens
136,Homo sapiens,744,ENSP00000324856,STK11,6794,100%,1,7625-taurus:sapiens
137,Bos taurus,4662,ENSBTAP00000021556,EP300,784935,100%,1,121-taurus:sapiens
138,Homo sapiens,4662,ENSP00000263253,EP300,2033,100%,1,121-taurus:sapiens
139,Bos taurus,867,ENSBTAP00000020952,PML,100138545,100%,1,6254-taurus:sapiens
140,Homo sapiens,867,ENSP00000268058,PML,5371,100%,1,6254-taurus:sapiens
141,Homo sapiens,724,ENSP00000324806,GSK3B,2932,100%,1,7866-taurus:sapiens
142,Bos taurus,5555,ENSBTAP00000001972,HTT,615059,100%,1,67-taurus:sapiens
143,Homo sapiens,5555,ENSP00000347184,HTT,3064,100%,1,67-taurus:sapiens
144,Bos taurus,1184,ENSBTAP00000001407,PRKCA,282001,100%,1,3782-taurus:sapiens
145,Homo sapiens,1184,ENSP00000284384,PRKCA,5578,100%,1,3782-taurus:sapiens
146,Bos taurus,1714,ENSBTAP00000005581,EF2_BOVIN,281138,100%,1,1839-taurus:sapiens
147,Homo sapiens,1714,ENSP00000307940,EEF2,1938,100%,1,1839-taurus:sapiens
148,Bos taurus,1537,ENSBTAP00000027687,ERCC3_BOVI,507984,100%,1,2322-taurus:sapiens
149,Homo sapiens,1537,ENSP00000285398,ERCC3,2071,100%,1,2322-taurus:sapiens
150,Bos taurus,721,ENSBTAP00000044076,TERF1,519474,100%,1,7920-taurus:sapiens
151,Homo sapiens,721,ENSP00000276603,TERF1,7013,100%,1,7920-taurus:sapiens
152,Bos taurus,6487,ENSBTAP00000022631,PRKDC,512740,100%,1,42-taurus:sapiens
153,Homo sapiens,6487,ENSP00000313420,PRKDC,5591,100%,1,42-taurus:sapiens
154,Bos taurus,1012,ENSBTAP00000027941,CATA_BOVIN,531682,100%,1,4936-taurus:sapiens
155,Homo sapiens,1012,ENSP00000241052,CAT,847,100%,1,4936-taurus:sapiens
156,Homo sapiens,670,ENSP00000296273,RFC4,5984,100%,1,8564-taurus:sapiens
157,Bos taurus,1671,ENSBTAP00000043672,Q3B7N6_BOV,509602,100%,1,1948-taurus:sapiens
158,Homo sapiens,1671,ENSP00000347978,ERCC5,2073,100%,1,1948-taurus:sapiens
159,Bos taurus,806,ENSBTAP00000040137,GTF2H2,511829,100%,1,6896-taurus:sapiens
160,Homo sapiens,806,ENSP00000274400,GTF2H2,2966,100%,1,6896-taurus:sapiens
161,Homo sapiens,806,ENSP00000370105,GTF2H2C,728340,NULL,0.733,6896-taurus:sapiens
162,Bos taurus,508,ENSBTAP00000007967,PCNA_BOVIN,515499,100%,1,10867-taurus:sapiens
163,Homo sapiens,508,ENSP00000368458,PCNA,5111,100%,1,10867-taurus:sapiens
164,Bos taurus,742,ENSBTAP00000000071,FEN1_BOVIN,616242,100%,1,7647-taurus:sapiens
165,Homo sapiens,742,ENSP00000305480,FEN1,2237,100%,1,7647-taurus:sapiens
166,Bos taurus,896,ENSBTAP00000010016,TERF2,506501,100%,1,5973-taurus:sapiens
167,Homo sapiens,896,ENSP00000254942,TERF2,7014,100%,1,5973-taurus:sapiens
168,Bos taurus,1048,ENSBTAP00000008020,XRCC6,510132,100%,1,4673-taurus:sapiens
169,Homo sapiens,1048,ENSP00000353192,XRCC6,2547,100%,1,4673-taurus:sapiens
170,Bos taurus,1269,ENSBTAP00000017497,HSP7C_BOVI,281831,100%,1,3364-taurus:sapiens
171,Homo sapiens,1269,ENSP00000227378,HSPA8,3312,100%,1,3364-taurus:sapiens
172,Bos taurus,314,ENSBTAP00000017739,BAX_BOVIN,785708,100%,1,13493-taurus:sapiens
173,Homo sapiens,314,ENSP00000293288,BAX,581,100%,1,13493-taurus:sapiens
174,Bos taurus,1739,ENSBTAP00000008728,RB1,534712,100%,1,1782-taurus:sapiens
175,Homo sapiens,1739,ENSP00000267163,RB1,5925,100%,1,1782-taurus:sapiens
176,Bos taurus,383,ENSBTAP00000030177,Q6XZP8_BOV,399681,100%,1,12625-taurus:sapiens
177,Homo sapiens,383,ENSP00000358857,EMD,2010,100%,1,12625-taurus:sapiens
178,Bos taurus,459,ENSBTAP00000006216,Q3T0F9_BOV,535298,100%,1,11588-taurus:sapiens
179,Homo sapiens,459,ENSP00000339007,GRB2,2885,100%,1,11588-taurus:sapiens
180,Bos taurus,1296,ENSBTAP00000014920,FOXO3,535530,100%,1,3245-taurus:sapiens
181,Homo sapiens,1296,ENSP00000339527,FOXO3,2309,100%,1,3245-taurus:sapiens
182,Bos taurus,508,ENSBTAP00000012834,Q2TBG4_BOV,537958,100%,1,10877-taurus:sapiens
183,Homo sapiens,508,ENSP00000364270,XPA,7507,100%,1,10877-taurus:sapiens
184,Bos taurus,379,ENSBTAP00000028825,MSRA_BOVIN,281312,100%,1,12677-taurus:sapiens
185,Homo sapiens,379,ENSP00000313921,MSRA,4482,100%,1,12677-taurus:sapiens
186,Bos taurus,343,ENSBTAP00000008569,SODM_BOVIN,281496,100%,1,13174-taurus:sapiens
187,Homo sapiens,343,ENSP00000356022,SOD2,6648,100%,1,13174-taurus:sapiens
188,Bos taurus,255,ENSBTAP00000032384,SODC_BOVIN,507743,99%,1,14170-taurus:sapiens
189,Homo sapiens,255,ENSP00000270142,SOD1,6647,100%,1,14170-taurus:sapiens
190,Bos taurus,1153,ENSBTAP00000021101,FOXM1,513643,100%,1,3984-taurus:sapiens
191,Homo sapiens,1153,ENSP00000342307,FOXM1,2305,100%,1,3984-taurus:sapiens
192,Bos taurus,391,ENSBTAP00000043418,COQ7_BOVIN,504771,100%,1,12504-taurus:sapiens
193,Homo sapiens,391,ENSP00000322316,COQ7,10229,100%,1,12504-taurus:sapiens
194,Bos taurus,4698,ENSBTAP00000019752,Q95NB9_BOV,282648,100%,1,120-taurus:sapiens
195,Homo sapiens,4698,ENSP00000353362,CACNA1A,773,100%,1,120-taurus:sapiens
196,Bos taurus,7051,ENSBTAP00000005988,LRP2,100337021,100%,1,32-taurus:sapiens
197,Homo sapiens,7051,ENSP00000263816,LRP2,4036,100%,1,32-taurus:sapiens
198,Bos taurus,1158,ENSBTAP00000008987,AIFM1,535714,100%,1,3958-taurus:sapiens
199,Homo sapiens,1158,ENSP00000287295,AIFM1,9131,100%,1,3958-taurus:sapiens
200,Bos taurus,423,ENSBTAP00000044075,UCHL1_BOVI,514394,100%,1,12083-taurus:sapiens
201,Homo sapiens,423,ENSP00000284440,UCHL1,7345,100%,1,12083-taurus:sapiens
202,Homo sapiens,1439,ENSP00000284981,APP,351,100%,1,2665-taurus:sapiens
203,Bos taurus,448,ENSBTAP00000013354,APOE,281004,100%,1,11727-taurus:sapiens
204,Homo sapiens,448,ENSP00000252486,APOE,348,100%,1,11727-taurus:sapiens
205,Bos taurus,2329,ENSBTAP00000006167,A2MG_BOVIN,513856,100%,1,851-taurus:sapiens
206,Homo sapiens,2329,ENSP00000323929,A2M,2,100%,1,851-taurus:sapiens
207,Bos taurus,404,ENSBTAP00000004751,PRDX1_BOVI,281997,100%,1,12340-taurus:sapiens
208,Homo sapiens,404,ENSP00000262746,PRDX1,5052,100%,1,12340-taurus:sapiens
209,Bos taurus,606,ENSBTAP00000020790,Q2KIW1_BOV,523798,100%,1,9424-taurus:sapiens
210,Homo sapiens,606,ENSP00000222381,PON1,5444,100%,1,9424-taurus:sapiens
211,Bos taurus,217,ENSBTAP00000019865,IL6_BOVIN,280826,100%,1,14563-taurus:sapiens
212,Homo sapiens,217,ENSP00000385675,IL6,3569,100%,1,14563-taurus:sapiens
213,Bos taurus,364,ENSBTAP00000024326,ATPO_BOVIN,281640,100%,1,12898-taurus:sapiens
214,Homo sapiens,364,ENSP00000290299,ATP5O,539,100%,1,12898-taurus:sapiens
215,Bos taurus,561,ENSBTAP00000052915,A2VE43_BOV,512897,100%,1,10080-taurus:sapiens
216,Homo sapiens,561,ENSP00000351284,RAD52,5893,100%,1,10080-taurus:sapiens
217,Homo sapiens,1637,ENSP00000349705,TOP3B,8940,100%,1,2033-taurus:sapiens
218,Bos taurus,493,ENSBTAP00000023078,ERCC1_BOVI,615637,100%,1,11086-taurus:sapiens
219,Homo sapiens,493,ENSP00000013807,ERCC1,2067,100%,1,11086-taurus:sapiens
220,Bos taurus,992,ENSBTAP00000016877,HDAC1_BOVI,404126,100%,1,5095-taurus:sapiens
221,Homo sapiens,992,ENSP00000362649,HDAC1,3065,100%,1,5095-taurus:sapiens
222,Bos taurus,899,ENSBTAP00000009363,E1BKZ1_BOV,506406,100%,1,5950-taurus:sapiens
223,Homo sapiens,899,ENSP00000221130,GSR,2936,100%,1,5950-taurus:sapiens
224,Bos taurus,841,ENSBTAP00000004559,GSS,525059,100%,1,6520-taurus:sapiens
225,Homo sapiens,841,ENSP00000216951,GSS,2937,100%,1,6520-taurus:sapiens
226,Bos taurus,422,ENSBTAP00000028640,GSTA4_BOVI,533917,100%,1,12096-taurus:sapiens
227,Homo sapiens,422,ENSP00000360002,GSTA4,2941,100%,1,12096-taurus:sapiens
228,Bos taurus,976,ENSBTAP00000053147,Q6QTG9_BOV,100301020,100%,1,5235-taurus:sapiens
229,Homo sapiens,976,ENSP00000354499,MT-CO1,4512,100%,1,5235-taurus:sapiens
230,Bos taurus,1080,ENSBTAP00000016708,F1MUZ9_BOV,100299770,100%,1,4460-taurus:sapiens
231,Homo sapiens,1080,ENSP00000340019,HSPD1,3329,100%,1,4460-taurus:sapiens
232,Bos taurus,1247,ENSBTAP00000017500,HS71A_BOVI,282254,100%,1,3477-taurus:sapiens
233,Homo sapiens,1247,ENSP00000364801,HSPA1B,3303,100%,1,3477-taurus:sapiens
234,Homo sapiens,1247,ENSP00000364802,HSPA1A,3303,100%,1,3477-taurus:sapiens
235,Homo sapiens,1247,ENSP00000375391,HSPA1B,3303,100%,1,3477-taurus:sapiens
236,Homo sapiens,1247,ENSP00000375399,HSPA1B,3303,100%,1,3477-taurus:sapiens
237,Homo sapiens,1247,ENSP00000382915,HSPA1A,3303,NULL,0.867,3477-taurus:sapiens
238,Bos taurus,443,ENSBTAP00000013464,PIMT_BOVIN,613854,100%,1,11796-taurus:sapiens
239,Homo sapiens,443,ENSP00000356354,PCMT1,5110,100%,1,11796-taurus:sapiens
240,Bos taurus,862,ENSBTAP00000010361,MAPK8,539941,100%,1,6307-taurus:sapiens
241,Homo sapiens,862,ENSP00000363304,MAPK8,5599,99%,1,6307-taurus:sapiens
242,Bos taurus,480,ENSBTAP00000000289,1433Z_BOVI,100336229,100%,1,11286-taurus:sapiens
243,Homo sapiens,480,ENSP00000379287,YWHAZ,7534,100%,1,11286-taurus:sapiens
244,Bos taurus,1971,ENSBTAP00000007819,PTK2B,541008,100%,1,1312-taurus:sapiens
245,Homo sapiens,1971,ENSP00000380638,PTK2B,2185,100%,1,1312-taurus:sapiens
246,Bos taurus,265,ENSBTAP00000021659,IL7_BOVIN,280827,100%,1,14061-taurus:sapiens
247,Homo sapiens,265,ENSP00000263851,IL7,3574,100%,1,14061-taurus:sapiens
248,Bos taurus,736,ENSBTAP00000023988,A6QLR9_BOV,534492,100%,1,7724-taurus:sapiens
249,Homo sapiens,736,ENSP00000229795,MAPK14,1432,100%,1,7724-taurus:sapiens
250,Bos taurus,1657,ENSBTAP00000020550,A4IFL5_BOV,281768,100%,1,1992-taurus:sapiens
251,Homo sapiens,1657,ENSP00000340636,FGFR1,2260,100%,1,1992-taurus:sapiens
252,Bos taurus,1501,ENSBTAP00000003929,A0JNC9_BOV,540741,100%,1,2434-taurus:sapiens
253,Homo sapiens,1501,ENSP00000329357,SP1,6667,100%,1,2434-taurus:sapiens
254,Bos taurus,564,ENSBTAP00000005279,Q08DH1_BOV,280831,100%,1,10026-taurus:sapiens
255,Homo sapiens,564,ENSP00000360266,JUN,3725,100%,1,10026-taurus:sapiens
256,Homo sapiens,832,ENSP00000377029,MAPK9,5601,99%,1,6624-taurus:sapiens
257,Bos taurus,710,ENSBTAP00000021507,MAPK3,531391,100%,1,8062-taurus:sapiens
258,Homo sapiens,710,ENSP00000263025,MAPK3,5595,99%,1,8062-taurus:sapiens
259,Bos taurus,446,ENSBTAP00000024094,HMGB1_BOVI,100301168,65%,1,11754-taurus:sapiens
260,Homo sapiens,446,ENSP00000345347,HMGB1,3146,100%,1,11754-taurus:sapiens
261,Bos taurus,789,ENSBTAP00000006503,CCNA2_BOVI,281667,100%,1,7109-taurus:sapiens
262,Homo sapiens,789,ENSP00000274026,CCNA2,890,100%,1,7109-taurus:sapiens
263,Bos taurus,437,ENSBTAP00000020096,HMGB2_BOVI,540444,100%,1,11884-taurus:sapiens
264,Homo sapiens,437,ENSP00000296503,HMGB2,3148,100%,1,11884-taurus:sapiens
265,Bos taurus,2610,ENSBTAP00000011949,MAP3K5,537380,100%,1,623-taurus:sapiens
266,Homo sapiens,2610,ENSP00000351908,MAP3K5,4217,100%,1,623-taurus:sapiens
267,Bos taurus,354,ENSBTAP00000014282,TNR6_BOVIN,282488,100%,1,13037-taurus:sapiens
268,Homo sapiens,354,ENSP00000360942,FAS,355,100%,1,13037-taurus:sapiens
269,Homo sapiens,1020,ENSP00000261366,LMNB1,4001,100%,1,4880-taurus:sapiens
270,Bos taurus,314,ENSBTAP00000021075,C560_BOVIN,785395,100%,1,13482-taurus:sapiens
271,Homo sapiens,314,ENSP00000356953,SDHC,6391,100%,1,13482-taurus:sapiens
272,Bos taurus,334,ENSBTAP00000001886,F1MPM0_BOV,781811,100%,1,13289-taurus:sapiens
273,Homo sapiens,334,ENSP00000295934,HESX1,8820,100%,1,13289-taurus:sapiens
274,Bos taurus,1397,ENSBTAP00000014594,P85A_BOVIN,282307,100%,1,2839-taurus:sapiens
275,Homo sapiens,1397,ENSP00000379855,PIK3R1,5295,100%,1,2839-taurus:sapiens
276,Bos taurus,705,ENSBTAP00000003254,BSCL2_BOVI,513558,100%,1,8124-taurus:sapiens
277,Homo sapiens,705,ENSP00000301781,BSCL2,26580,100%,1,8124-taurus:sapiens
278,Bos taurus,455,ENSBTAP00000035108,AGPAT2,512112,100%,1,11646-taurus:sapiens
279,Homo sapiens,455,ENSP00000360761,AGPAT2,10555,100%,1,11646-taurus:sapiens
280,Bos taurus,668,ENSBTAP00000020705,BMI1_BOVIN,510666,100%,1,8580-taurus:sapiens
281,Homo sapiens,668,ENSP00000365851,BMI1,648,100%,1,8580-taurus:sapiens
282,Bos taurus,931,ENSBTAP00000019318,EF1A1_BOVI,100336381,100%,1,5640-taurus:sapiens
283,Homo sapiens,931,ENSP00000339063,EEF1A1,1915,100%,1,5640-taurus:sapiens
