"id_biblio","pubmed","title","url","author","publisher","year","journal","volume","pages","editor","book_title","review"
0065,15520384,"Sir2 mediates longevity in the fly through a pathway related to calorie restriction.",NULL,"Rogina B and Helfand SL",NULL,2004,"Proc Natl Acad Sci U S A","101","15998-6003",NULL,NULL,NULL
0066,19470468,"Long-lived Indy and calorie restriction interact to extend life span.",NULL,"Wang PY et al",NULL,2009,"Proc Natl Acad Sci U S A","106","9262-7",NULL,NULL,NULL
0067,18241326,"Role of dFOXO in lifespan extension by dietary restriction in Drosophila melanogaster: not required, but its activity modulates the response.",NULL,"Giannakou ME et al",NULL,2008,"Aging Cell","7","187-98",NULL,NULL,NULL
0068,16055649,"Starvation and oxidative stress resistance in Drosophila are mediated through the eIF4E-binding protein, d4E-BP.",NULL,"Tettweiler G et al",NULL,2005,"Genes Dev","19","1840-3",NULL,NULL,NULL
0069,19804760,"4E-BP extends lifespan upon dietary restriction by enhancing mitochondrial activity in Drosophila.",NULL,"Zid BM et al",NULL,2009,"Cell","139","149-60",NULL,NULL,NULL
0070,16303568,"Neuronal expression of p53 dominant-negative proteins in adult Drosophila melanogaster extends life span.",NULL,"Bauer JH et al",NULL,2005,"Curr Biol","15","2063-8",NULL,NULL,NULL
0071,20195512,"Molecular evolution and functional characterization of Drosophila insulin-like peptides.",NULL,"GrÃ¶nke S et al",NULL,2010,"PLoS Genet","6","e1000857",NULL,NULL,NULL
0072,16682650,"Targeted disruption of growth hormone receptor interferes with the beneficial actions of calorie restriction.",NULL,"Bonkowski MS et al",NULL,2006,"Proc Natl Acad Sci U S A","103","7901-5",NULL,NULL,NULL
0073,21584246,"Identification of potential calorie restriction-mimicking yeast mutants with increased mitochondrial respiratory chain and nitric oxide levels.",NULL,"Li et al",NULL,2011,"J Aging Res","2011",NULL,NULL,NULL,NULL
0074,16530049,"SMK-1, an essential regulator of DAF-16-mediated longevity.",NULL,"Wolff et al",NULL,2006,"Cell","124","1039-1053",NULL,NULL,NULL
0075,16822282,"Regulation of chronological aging in Schizosaccharomyces pombe by the protein kinases Pka1 and Sck2.",NULL,"Roux et al",NULL,2006,"Aging Cell","5","345-357",NULL,NULL,NULL
0076,11336996,"Evidence that age-induced decline in memory retention is delayed in growth hormone resistant GH-R-KO (Laron) mice.",NULL,"Kinney et al",NULL,2001,"Physiol. Behav.","72","653-660",NULL,NULL,NULL
0077,9371826,"A mammalian model for Laron syndrome produced by targeted disruption of the mouse growth hormone receptor/binding protein gene (the Laron mouse).",NULL,"Zhou et al",NULL,1997,"Proc. Natl. Acad. Sci. U.S.A.","94","13215-13220",NULL,NULL,NULL
0078,12933651,"Deletion, but not antagonism, of the mouse growth hormone receptor results in severely decreased body weights, insulin, and insulin-like growth factor I levels and increased life span.",NULL,"Coschigano et al",NULL,2003,"Endocrinology","144","3799-3810",NULL,NULL,NULL
0079,10875265,"Assessment of growth parameters and life span of GHR/BP gene-disrupted mice.",NULL,"Coschigano et al",NULL,2000,"Endocrinology","141","2608-2613",NULL,NULL,NULL
0080,19747233,"The growth hormone receptor gene-disrupted mouse fails to respond to an intermittent fasting diet.",NULL,"Arum et al",NULL,2009,"Aging Cell","8","756-760",NULL,NULL,NULL
0081,21123740,"Endocrine parameters and phenotypes of the growth hormone receptor gene disrupted (GHR-/-) mouse.",NULL,"List et al",NULL,2011,"Endocr. Rev.","32","356-386",NULL,NULL,NULL
0082,19370397,"Nicotinamide adenine dinucleotide extends the lifespan of Caenorhabditis elegans mediated by sir-2.1 and daf-16.",NULL,"Hashimoto et al",NULL,2010,"Biogerontology","11","31-43",NULL,NULL,NULL
0083,18219227,"Longevity pathways converge on autophagy genes to regulate life span in Caenorhabditis elegans.",NULL,"Tóth et al",NULL,2008,"Autophagy","4","330-338",NULL,NULL,NULL
0084,12391171,"High osmolarity extends life span in Saccharomyces cerevisiae by a mechanism related to calorie restriction.",NULL,"Kaeberlein et al",NULL,2002,"Mol. Cell. Biol.","22","8056-8066",NULL,NULL,NULL
0085,18662544,"An elt-3/elt-5/elt-6 GATA transcription circuit guides aging in C. elegans.",NULL,"Budovskaya et al",NULL,2008,"Cell","134","291-303",NULL,NULL,NULL
0086,21884982,"Life span extension and H(2)O(2) resistance elicited by caloric restriction require the peroxiredoxin Tsa1 in Saccharomyces cerevisiae.",NULL,"Molin et al",NULL,2011,"Mol. Cell","43","823-833",NULL,NULL,NULL
0087,14668486,"Regulation of longevity in Caenorhabditis elegans by heat shock factor and molecular chaperones.",NULL,"Morley and Morimoto",NULL,2004,"Mol. Biol. Cell","15","657-664",NULL,NULL,NULL
0088,22737090,"An Engineering Approach to Extending Lifespan in C. elegans.",NULL,"Sagi and Kim",NULL,2012,"PLoS Genet.","8",NULL,NULL,NULL,NULL
0089,12136014,"Genetic analysis of tissue aging in Caenorhabditis elegans: a role for heat-shock factor and bacterial proliferation.",NULL,"Garigan et al",NULL,2002,"Genetics","161","1101-1112",NULL,NULL,NULL
0090,21930912,"Increased transsulfuration mediates longevity and dietary restriction in Drosophila.",NULL,"Kabil et al",NULL,2011,"Proc. Natl. Acad. Sci. U.S.A.","108","16831-16836",NULL,NULL,NULL
0091,17403371,"Reduced TOR signaling extends chronological life span via increased respiration and upregulation of mitochondrial gene expression.",NULL,"Bonawitz et al",NULL,2007,"Cell Metab.","5","265-277",NULL,NULL,NULL
0092,20947565,"Rapamycin increases rDNA stability by enhancing association of Sir2 with rDNA in Saccharomyces cerevisiae.",NULL,"Ha and Huh",NULL,2011,"Nucleic Acids Res.","39","1336-1350",NULL,NULL,NULL
0093,21076178,"Growth signaling promotes chronological aging in budding yeast by inducing superoxide anions that inhibit quiescence.",NULL,"Weinberger et al",NULL,2010,"Aging (Albany NY)","2","709-726",NULL,NULL,NULL
0094,19030232,"Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity.",NULL,"Managbanag et al",NULL,2008,"PLoS ONE","3",NULL,NULL,NULL,NULL
0095,21931558,"Elevated proteasome capacity extends replicative lifespan in Saccharomyces cerevisiae.",NULL,"Kruegel et al",NULL,2011,"PLoS Genet.","7",NULL,NULL,NULL,NULL
0096,12855292,"The Ras and Sch9 pathways regulate stress resistance and longevity.",NULL,"Longo Valter D",NULL,2003,"Exp. Gerontol.","38","807-811",NULL,NULL,NULL
0097,21447998,"A genomic analysis of chronological longevity factors in budding yeast.",NULL,"Burtner et al",NULL,2011,"Cell Cycle","10","1385-1396",NULL,NULL,NULL
0098,17710147,"DNA replication stress is a determinant of chronological lifespan in budding yeast.",NULL,"Weinberger et al",NULL,2007,"PLoS ONE","2",NULL,NULL,NULL,NULL
0099,18340043,"Quantitative evidence for conserved longevity pathways between divergent eukaryotic species.",NULL,"Smith et al",NULL,2008,"Genome Res.","18","564-570",NULL,NULL,NULL
0100,17571923,"No influence of Indy on lifespan in Drosophila after correction for genetic and cytoplasmic background effects.",NULL,"Toivonen et al",NULL,2007,"PLoS Genet.","3",NULL,NULL,NULL,NULL
0101,12626742,"Conditional tradeoffs between aging and organismal performance of Indy long-lived mutant flies.",NULL,"Marden et al",NULL,2003,"Proc. Natl. Acad. Sci. U.S.A.","100","3369-3373",NULL,NULL,NULL
0102,12391301,"Functional characterization and immunolocalization of the transporter encoded by the life-extending gene Indy.",NULL,"Knauf et al",NULL,2002,"Proc. Natl. Acad. Sci. U.S.A.","99","14315-14319",NULL,NULL,NULL
0103,11118146,"Extended life-span conferred by cotransporter gene mutations in Drosophila.",NULL,"Rogina et al",NULL,2000,"Science","290","2137-2140",NULL,NULL,NULL
0104,22768842,"Intramyocellular Fatty-Acid Metabolism Plays a Critical Role in Mediating Responses to Dietary Restriction in Drosophila melanogaster.",NULL,"Katewa et al",NULL,2012,"Cell Metab.","16","97-9103",NULL,NULL,NULL
0105,7789761,"Genes that regulate both development and longevity in Caenorhabditis elegans.",NULL,"Larsen et al",NULL,1995,"Genetics","139","1567-1583",NULL,NULL,NULL
0106,8247153,"A C. elegans mutant that lives twice as long as wild type.",NULL,"Kenyon et al",NULL,1993,"Nature","366","461-464",NULL,NULL,NULL
0107,9504918,"An insulin-like signaling pathway affects both longevity and reproduction in Caenorhabditis elegans.",NULL,"Tissenbaum and Ruvkun",NULL,1998,"Genetics","148","703-717",NULL,NULL,NULL
0108,8601482,"The age-1 and daf-2 genes function in a common pathway to control the lifespan of Caenorhabditis elegans.",NULL,"Dorman et al",NULL,1995,"Genetics","141","1399-1406",NULL,NULL,NULL
0109,16782295,"Increased lifespan in transgenic Caenorhabditis elegans overexpressing human alpha-synuclein.",NULL,"Vartiainen et al",NULL,2006,"Exp. Gerontol.","41","871-876",NULL,NULL,NULL
0110,18043747,"DAF-2/insulin-like signaling in C. elegans modifies effects of dietary restriction and nutrient stress on aging, stress and growth.",NULL,"Iser and Wolkow",NULL,2007,"PLoS ONE","2",NULL,NULL,NULL,NULL
0111,18828672,"Caenorhabditis elegans HCF-1 functions in longevity maintenance as a DAF-16 regulator.",NULL,"Li et al",NULL,2008,"PLoS Biol.","6",NULL,NULL,NULL,NULL
0112,9725835,"Two pleiotropic classes of daf-2 mutation affect larval arrest, adult behavior, reproduction and longevity in Caenorhabditis elegans.",NULL,"Gems et al",NULL,1998,"Genetics","150","129-155",NULL,NULL,NULL
0113,12471266,"Rates of behavior and aging specified by mitochondrial function during development.",NULL,"Dillin et al",NULL,2002,"Science","298","2398-2401",NULL,NULL,NULL
0114,7219552,"Interacting genes in nematode dauer larva formation.",NULL,"Riddle et al",NULL,1981,"Nature","290","668-671",NULL,NULL,NULL
0115,10428762,"The daf-2 gene network for longevity regulates oxidative stress resistance and Mn-superoxide dismutase gene expression in Caenorhabditis elegans.",NULL,"Honda and Honda",NULL,1999,"FASEB J.","13","1385-1393",NULL,NULL,NULL
0116,8638122,"Determination of life-span in Caenorhabditis elegans by four clock genes.",NULL,"Lakowski and Hekimi",NULL,1996,"Science","272","1010-1013",NULL,NULL,NULL
0117,10360574,"Signals from the reproductive system regulate the lifespan of C. elegans.",NULL,"Hsin and Kenyon",NULL,1999,"Nature","399","362-366",NULL,NULL,NULL
0118,21040400,"Pyruvate imbalance mediates metabolic reprogramming and mimics lifespan extension by dietary restriction in Caenorhabditis elegans.",NULL,"Mouchiroud et al",NULL,2011,"Aging Cell","10","39-54",NULL,NULL,NULL
0119,20657825,"Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation.",NULL,"Fabrizio et al",NULL,2010,"PLoS Genet.","6",NULL,NULL,NULL,NULL
0120,22768380,"Genes down-regulated in spaceflight are involved in the control of longevity in Caenorhabditis elegans.",NULL,"Honda et al",NULL,2012,"Sci Rep","2",NULL,NULL,NULL,NULL
0121,11493519,"A regulatory cascade of three homeobox genes, ceh-10, ttx-3 and ceh-23, controls cell fate specification of a defined interneuron class in C. elegans.",NULL,"Altun-Gultekin et al",NULL,2001,"Development","128","1951-1969",NULL,NULL,NULL
0122,9009207,"Transcriptional silencing of Ty1 elements in the RDN1 locus of yeast.",NULL,"Bryk et al",NULL,1997,"Genes Dev.","11","255-269",NULL,NULL,NULL
0123,3297920,"Four genes responsible for a position effect on expression from HML and HMR in Saccharomyces cerevisiae.",NULL,"Rine and Herskowitz",NULL,1987,"Genetics","116","9-22",NULL,NULL,NULL
0124,6098447,"Characterization of two genes required for the position-effect control of yeast mating-type genes.",NULL,"Shore et al",NULL,1984,"EMBO J.","3","2817-2823",NULL,NULL,NULL
0125,9009206,"An unusual form of transcriptional silencing in yeast ribosomal DNA.",NULL,"Smith and Boeke",NULL,1997,"Genes Dev.","11","241-254",NULL,NULL,NULL
0126,1913809,"Modifiers of position effect are shared between telomeric and silent mating-type loci in S. cerevisiae.",NULL,"Aparicio et al",NULL,1991,"Cell","66","1279-1287",NULL,NULL,NULL
0127,8034612,"Divergent roles of RAS1 and RAS2 in yeast longevity.",NULL,"Sun et al",NULL,1994,"J. Biol. Chem.","269","18638-18645",NULL,NULL,NULL
0128,19747824,"Extension of Drosophila life span by RNAi of the mitochondrial respiratory chain.",NULL,"Copeland et al",NULL,2009,"Curr. Biol.","19","1591-1598",NULL,NULL,NULL
0129,19968629,"Perturbation of mitochondrial complex V alters the response to dietary restriction in Drosophila.",NULL,"Bahadorani et al",NULL,2010,"Aging Cell","9","100-103",NULL,NULL,NULL
0130,10082585,"A genetic screen for ribosomal DNA silencing defects identifies multiple DNA replication and chromatin-modulating factors.",NULL,"Smith et al",NULL,1999,"Mol. Cell. Biol.","19","3184-3197",NULL,NULL,NULL
0131,10512855,"Modulation of life-span by histone deacetylase genes in Saccharomyces cerevisiae.",NULL,"Kim et al",NULL,1999,"Mol. Biol. Cell","10","3125-3136",NULL,NULL,NULL
0132,21334311,"The thioredoxin TRX-1 regulates adult lifespan extension induced by dietary restriction in Caenorhabditis elegans.",NULL,"Fierro-González et al",NULL,2011,"Biochem. Biophys. Res. Commun.","406","478-482",NULL,NULL,NULL
0133,16387300,"Lifespan decrease in a Caenorhabditis elegans mutant lacking TRX-1, a thioredoxin expressed in ASJ sensory neurons.",NULL,"Miranda-Vizuete et al",NULL,2006,"FEBS Lett.","580","484-490",NULL,NULL,NULL
0134,16324156,"Thioredoxin is related to life span regulation and oxidative stress response in Caenorhabditis elegans.",NULL,"Jee et al",NULL,2005,"Genes Cells","10","1203-1210",NULL,NULL,NULL
0135,22438832,"The yeast forkhead transcription factors fkh1 and fkh2 regulate lifespan and stress response together with the anaphase-promoting complex.",NULL,"Postnikoff et al",NULL,2012,"PLoS Genet.","8",NULL,NULL,NULL,NULL
0136,17110466,"Dihydrolipoyl dehydrogenase as a source of reactive oxygen species inhibited by caloric restriction and involved in Saccharomyces cerevisiae aging.",NULL,"Tahara et al",NULL,2007,"FASEB J.","21","274-283",NULL,NULL,NULL
0137,10841563,"A phylogenetically conserved NAD+-dependent protein deacetylase activity in the Sir2 protein family.",NULL,"Smith et al",NULL,2000,"Proc. Natl. Acad. Sci. U.S.A.","97","6658-6663",NULL,NULL,NULL
0138,17482543,"Nicotinamide riboside promotes Sir2 silencing and extends lifespan via Nrk and Urh1/Pnp1/Meu1 pathways to NAD+.",NULL,"Belenky et al",NULL,2007,"Cell","129","473-484",NULL,NULL,NULL
0139,7768437,"Mutations in the clk-1 gene of Caenorhabditis elegans affect developmental and behavioral timing.",NULL,"Wong et al",NULL,1995,"Genetics","139","1247-1259",NULL,NULL,NULL
0140,10202142,"CLK-1 controls respiration, behavior and aging in the nematode Caenorhabditis elegans.",NULL,"Felkai et al",NULL,1999,"EMBO J.","18","1783-1792",NULL,NULL,NULL
0141,9020081,"Structural and functional conservation of the Caenorhabditis elegans timing gene clk-1.",NULL,"Ewbank et al",NULL,1997,"Science","275","980-983",NULL,NULL,NULL
0142,11959146,"CLK-1 protein has DNA binding activity specific to O(L) region of mitochondrial DNA.",NULL,"Gorbunova and Seluanov",NULL,2002,"FEBS Lett.","516","279-284",NULL,NULL,NULL
0143,11136229,"A dietary source of coenzyme Q is essential for growth of long-lived Caenorhabditis elegans clk-1 mutants.",NULL,"Jonassen et al",NULL,2001,"Proc. Natl. Acad. Sci. U.S.A.","98","421-426",NULL,NULL,NULL
0144,21641548,"Regulation of yeast chronological life span by TORC1 via adaptive mitochondrial ROS signaling.",NULL,"Pan et al",NULL,2011,"Cell Metab.","13","668-678",NULL,NULL,NULL
0145,18006689,"Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants.",NULL,"Samuelson et al",NULL,2007,"Genes Dev.","21","2976-2994",NULL,NULL,NULL
0146,18041778,"Identification of major classes of cholinergic neurons in the nematode Caenorhabditis elegans.",NULL,"Duerr et al",NULL,2008,"J. Comp. Neurol.","506","398-408",NULL,NULL,NULL
0147,6698395,"Choline acetyltransferase-deficient mutants of the nematode Caenorhabditis elegans.",NULL,"Rand and Russell",NULL,1984,"Genetics","106","227-248",NULL,NULL,NULL
0148,12225660,"TOR deficiency in C. elegans causes developmental arrest and intestinal atrophy by inhibition of mRNA translation.",NULL,"Long et al",NULL,2002,"Curr. Biol.","12","1448-1461",NULL,NULL,NULL
