"id","species","group","identifier","symbol","entrez_id","percentage","score","unique_grouping"
63,"Bos taurus",2461,"2461","SIRT3",614027,NULL,0.083,"2461-taurus:elegans"
64,"Caenorhabditis elegans",2461,"2461","sir-2.1",177924,"100%",1,"2461-taurus:elegans"
65,"Bos taurus",1548,"1548","ATG7",100336030,"100%",1,"1548-taurus:elegans"
66,"Caenorhabditis elegans",1548,"1548","atg-7",178005,"100%",1,"1548-taurus:elegans"
67,"Bos taurus",598,"598","SMEK2",516489,"100%",1,"598-taurus:elegans"
68,"Bos taurus",598,"598","SMEK1",407220,NULL,0.495,"598-taurus:elegans"
69,"Caenorhabditis elegans",598,"598","smk-1",179243,"100%",1,"598-taurus:elegans"
70,"Bos taurus",2163,"2163","",534075,"100%",1,"2163-taurus:elegans"
71,"Bos taurus",2163,"2163","A7E3S2_BOV",536763,NULL,0.159,"2163-taurus:elegans"
72,"Bos taurus",2163,"2163","A7MBA0_BOV",535578,NULL,0.094,"2163-taurus:elegans"
73,"Caenorhabditis elegans",2163,"2163","egl-9",179461,"100%",1,"2163-taurus:elegans"
74,"Bos taurus",962,"962","A6QQH7_BOV",618601,"100%",1,"962-taurus:elegans"
75,"Bos taurus",962,"962","ULK1",526310,NULL,0.278,"962-taurus:elegans"
76,"Caenorhabditis elegans",962,"962","unc-51",180311,"100%",1,"962-taurus:elegans"
77,"Bos taurus",3631,"3631","FOXK2",532359,NULL,0.362,"3631-taurus:elegans"
78,"Caenorhabditis elegans",3631,"3631","pha-4",180357,"100%",1,"3631-taurus:elegans"
79,"Bos taurus",545,"545","MAT1A",541078,"100%",1,"545-taurus:elegans"
80,"Bos taurus",545,"545","A7E3T7_BOV",527403,"100%",1,"545-taurus:elegans"
81,"Caenorhabditis elegans",545,"545","sams-4",177354,NULL,0.76,"545-taurus:elegans"
82,"Caenorhabditis elegans",545,"545","sams-3",178446,"100%",1,"545-taurus:elegans"
83,"Caenorhabditis elegans",545,"545","sams-5",177389,NULL,0.69,"545-taurus:elegans"
84,"Caenorhabditis elegans",545,"545","sams-1",181370,NULL,0.249,"545-taurus:elegans"
85,"Bos taurus",3737,"3737","GATA3_BOVI",505169,"100%",1,"3737-taurus:elegans"
86,"Bos taurus",3737,"3737","GATA2",506809,NULL,0.562,"3737-taurus:elegans"
87,"Caenorhabditis elegans",3737,"3737","elt-3",181503,"100%",1,"3737-taurus:elegans"
88,"Bos taurus",492,"492","A8E649_BOV",782795,"100%",1,"492-taurus:elegans"
89,"Bos taurus",492,"492","PRKAA2",538954,NULL,0.316,"492-taurus:elegans"
90,"Caenorhabditis elegans",492,"492","aak-2",181727,"99%",1,"492-taurus:elegans"
91,"Bos taurus",4088,"4088","THIO_BOVIN",280950,"100%",1,"4088-taurus:elegans"
92,"Bos taurus",4088,"4088","A0JNM2_BOV",777785,NULL,0.144,"4088-taurus:elegans"
93,"Caenorhabditis elegans",4088,"4088","trx-1",181863,"73%",1,"4088-taurus:elegans"
94,"Bos taurus",2594,"2594","A6QLH2_BOV",506207,"84%",1,"2594-taurus:elegans"
95,"Bos taurus",2594,"2594","CCKBR",281665,NULL,0.238,"2594-taurus:elegans"
96,"Caenorhabditis elegans",2594,"2594","ckr-2",175341,"96%",1,"2594-taurus:elegans"
97,"Caenorhabditis elegans",2594,"2594","ckr-1",188774,NULL,0.066,"2594-taurus:elegans"
98,"Bos taurus",1792,"1792","A6QLS9_BOV",783373,"99%",1,"1792-taurus:elegans"
99,"Caenorhabditis elegans",1792,"1792","rab-10",266836,"100%",1,"1792-taurus:elegans"
100,"Bos taurus",1212,"1212","CBS",514525,"100%",1,"1212-taurus:melanogaster"
101,"Drosophila melanogaster",1212,"1212","CG1753",33081,"100%",1,"1212-taurus:melanogaster"
102,"Bos taurus",5042,"5042","EIF4EBP2",782397,"100%",1,"5042-taurus:melanogaster"
103,"Bos taurus",5042,"5042","4EBP1_BOVI",509613,NULL,0.238,"5042-taurus:melanogaster"
104,"Drosophila melanogaster",5042,"5042","Thor",33569,"100%",1,"5042-taurus:melanogaster"
105,"Bos taurus",4991,"4991","COX5B_BOVI",100296311,"100%",1,"4991-taurus:melanogaster"
106,"Drosophila melanogaster",4991,"4991","CG11015",33918,"100%",1,"4991-taurus:melanogaster"
107,"Bos taurus",390,"390","Q3SZ00_BOV",281810,"100%",1,"390-taurus:melanogaster"
108,"Drosophila melanogaster",390,"390","CG4389",34276,"100%",1,"390-taurus:melanogaster"
109,"Bos taurus",1234,"1234","B0JYP8_BOV",100297420,NULL,0.662,"1234-taurus:melanogaster"
110,"Drosophila melanogaster",1234,"1234","Eip55E",37143,"100%",1,"1234-taurus:melanogaster"
111,"Bos taurus",468,"468","HDAC1_BOVI",404126,"100%",1,"468-taurus:melanogaster"
112,"Bos taurus",468,"468","HDAC2",407223,NULL,0.157,"468-taurus:melanogaster"
113,"Drosophila melanogaster",468,"468","Rpd3",38565,"100%",1,"468-taurus:melanogaster"
114,"Bos taurus",1013,"1013","RPS6KB2",506083,"100%",1,"1013-taurus:melanogaster"
115,"Bos taurus",1013,"1013","KS6B1_BOVI",404181,NULL,0.259,"1013-taurus:melanogaster"
116,"Drosophila melanogaster",1013,"1013","S6k",38654,"100%",1,"1013-taurus:melanogaster"
117,"Bos taurus",2229,"2229","F1N2U7_BOV",507021,"99%",1,"2229-taurus:melanogaster"
118,"Bos taurus",2229,"2229","Q2KIJ0_BOV",100335246,NULL,0.252,"2229-taurus:melanogaster"
119,"Drosophila melanogaster",2229,"2229","Bmcp",39322,"100%",1,"2229-taurus:melanogaster"
120,"Bos taurus",1827,"1827","Q3SYV8_BOV",505069,"100%",1,"1827-taurus:melanogaster"
121,"Bos taurus",1827,"1827","SLC13A5",507000,NULL,0.25,"1827-taurus:melanogaster"
122,"Bos taurus",1827,"1827","SLC13A3",526291,NULL,0.135,"1827-taurus:melanogaster"
123,"Bos taurus",1827,"1827","SLC13A1",514983,NULL,0.116,"1827-taurus:melanogaster"
124,"Drosophila melanogaster",1827,"1827","Indy",40049,"100%",1,"1827-taurus:melanogaster"
125,"Drosophila melanogaster",1827,"1827","Indy-2",3772456,NULL,0.17,"1827-taurus:melanogaster"
126,"Drosophila melanogaster",432,"432","gig",40201,"100%",1,"432-taurus:melanogaster"
127,"Bos taurus",2253,"2253","ETFB_BOVIN",617210,"100%",1,"2253-taurus:melanogaster"
128,"Drosophila melanogaster",2253,"2253","CG7834",43515,"100%",1,"2253-taurus:melanogaster"
129,"Drosophila melanogaster",4711,"4711","l(3)neo18",46260,"100%",1,"4711-taurus:melanogaster"
130,"Bos taurus",24,"24","MTOR",100139219,"100%",1,"24-taurus:melanogaster"
131,"Drosophila melanogaster",24,"24","Tor",47396,"100%",1,"24-taurus:melanogaster"
132,"Drosophila melanogaster",3195,"3195","chico",64880,"100%",1,"3195-taurus:melanogaster"
133,"Bos taurus",4555,"4555","UCP2_BOVIN",281562,"98%",1,"4555-taurus:rerio"
134,"Danio rerio",4555,"4555","ucp2",555812,"93%",1,"4555-taurus:rerio"
135,"Bos taurus",5215,"5215","GHR",280805,"100%",1,"5215-taurus:musculus"
136,"Mus musculus",5215,"5215","Ghr",14600,"100%",1,"5215-taurus:musculus"
137,"Bos taurus",1805,"1805","NOX4",378474,"100%",1,"1805-taurus:cerevisiae"
138,"Bos taurus",1805,"1805","CY24B_BOVI",281112,NULL,0.244,"1805-taurus:cerevisiae"
139,"Bos taurus",1805,"1805","NOX1",521681,NULL,0.231,"1805-taurus:cerevisiae"
140,"Bos taurus",1805,"1805","NOX3",526999,NULL,0.214,"1805-taurus:cerevisiae"
141,"Bos taurus",1805,"1805","A7E3L4_BOV",531303,NULL,0.102,"1805-taurus:cerevisiae"
142,"Saccharomyces cerevisiae",1805,"1805","FRE5",854566,"50%",1,"1805-taurus:cerevisiae"
143,"Saccharomyces cerevisiae",1805,"1805","FRE2",853660,NULL,0.326,"1805-taurus:cerevisiae"
144,"Saccharomyces cerevisiae",1805,"1805","FRE3",854563,NULL,0.314,"1805-taurus:cerevisiae"
145,"Saccharomyces cerevisiae",1805,"1805","FRE4",855797,NULL,0.302,"1805-taurus:cerevisiae"
146,"Saccharomyces cerevisiae",1805,"1805","FRE6",850675,NULL,0.225,"1805-taurus:cerevisiae"
147,"Saccharomyces cerevisiae",1805,"1805","FRE1",850911,NULL,0.085,"1805-taurus:cerevisiae"
148,"Bos taurus",914,"914","Q3SYX8_BOV",525154,"100%",1,"914-taurus:cerevisiae"
149,"Saccharomyces cerevisiae",914,"914","ERG3",850745,"100%",1,"914-taurus:cerevisiae"
150,"Bos taurus",2021,"2021","MT21C_BOVI",519447,"60%",1,"2021-taurus:cerevisiae"
151,"Bos taurus",2021,"2021","LOC513822",513822,NULL,0.336,"2021-taurus:cerevisiae"
152,"Bos taurus",2021,"2021","MT21A_BOVI",615773,NULL,0.105,"2021-taurus:cerevisiae"
153,"Bos taurus",2021,"2021","MT21B_BOVI",100125307,NULL,0.075,"2021-taurus:cerevisiae"
154,"Saccharomyces cerevisiae",2021,"2021","NNT1",850991,"100%",1,"2021-taurus:cerevisiae"
155,"Bos taurus",1576,"1576","ELOV5_BOVI",617293,"81%",1,"1576-taurus:cerevisiae"
156,"Bos taurus",1576,"1576","A4FUF2_BOV",615756,NULL,0.481,"1576-taurus:cerevisiae"
157,"Bos taurus",1576,"1576","A5PKE6_BOV",532015,NULL,0.279,"1576-taurus:cerevisiae"
158,"Bos taurus",1576,"1576","ELOV7_BOVI",614096,NULL,0.161,"1576-taurus:cerevisiae"
159,"Bos taurus",1576,"1576","Q3T120_BOV",540348,NULL,0.146,"1576-taurus:cerevisiae"
160,"Saccharomyces cerevisiae",1576,"1576","FEN1",850400,"100%",1,"1576-taurus:cerevisiae"
161,"Saccharomyces cerevisiae",1576,"1576","ELO1",853243,NULL,0.451,"1576-taurus:cerevisiae"
162,"Saccharomyces cerevisiae",1576,"1576","SUR4",851087,NULL,0.344,"1576-taurus:cerevisiae"
163,"Saccharomyces cerevisiae",1264,"1264","VPS8",851261,"100%",1,"1264-taurus:cerevisiae"
164,"Bos taurus",240,"240","ADHX_BOVIN",505515,"99%",1,"240-taurus:cerevisiae"
165,"Bos taurus",240,"240","F1MFZ4_BOV",520508,NULL,0.085,"240-taurus:cerevisiae"
166,"Saccharomyces cerevisiae",240,"240","SFA1",851386,"100%",1,"240-taurus:cerevisiae"
167,"Bos taurus",1311,"1311","RL31_BOVIN",783541,"100%",1,"1311-taurus:cerevisiae"
168,"Saccharomyces cerevisiae",1311,"1311","RPL31B",851122,"100%",1,"1311-taurus:cerevisiae"
169,"Saccharomyces cerevisiae",1311,"1311","RPL31A",851484,"100%",1,"1311-taurus:cerevisiae"
170,"Bos taurus",915,"915","SIRT1",613629,"99%",1,"915-taurus:cerevisiae"
171,"Saccharomyces cerevisiae",915,"915","HST1",854086,"99%",1,"915-taurus:cerevisiae"
172,"Saccharomyces cerevisiae",915,"915","SIR2",851520,NULL,0.498,"915-taurus:cerevisiae"
173,"Bos taurus",410,"410","1433E_BOVI",282125,"99%",1,"410-taurus:cerevisiae"
174,"Saccharomyces cerevisiae",410,"410","BMH2",851676,"100%",1,"410-taurus:cerevisiae"
175,"Saccharomyces cerevisiae",410,"410","BMH1",856924,NULL,0.691,"410-taurus:cerevisiae"
176,"Bos taurus",978,"978","H4_BOVIN",789113,"91%",1,"978-taurus:cerevisiae"
177,"Bos taurus",978,"978","H4_BOVIN",789113,"92%",1,"978-taurus:cerevisiae"
178,"Bos taurus",978,"978","H4_BOVIN",789113,"91%",1,"978-taurus:cerevisiae"
179,"Bos taurus",978,"978","H4_BOVIN",789113,"92%",1,"978-taurus:cerevisiae"
180,"Bos taurus",978,"978","H4_BOVIN",789113,"92%",1,"978-taurus:cerevisiae"
181,"Bos taurus",978,"978","H4_BOVIN",789113,"92%",1,"978-taurus:cerevisiae"
182,"Bos taurus",978,"978","H4_BOVIN",789113,"92%",1,"978-taurus:cerevisiae"
183,"Bos taurus",978,"978","H4_BOVIN",789113,"93%",1,"978-taurus:cerevisiae"
184,"Bos taurus",978,"978","H4_BOVIN",789113,"92%",1,"978-taurus:cerevisiae"
185,"Bos taurus",978,"978","H4_BOVIN",789113,"92%",1,"978-taurus:cerevisiae"
186,"Bos taurus",978,"978","H4_BOVIN",789113,"92%",1,"978-taurus:cerevisiae"
187,"Bos taurus",978,"978","H4_BOVIN",789113,"91%",1,"978-taurus:cerevisiae"
188,"Bos taurus",978,"978","E1B7N2_BOV",619094,"92%",1,"978-taurus:cerevisiae"
189,"Bos taurus",978,"978","E1B9M9_BOV",525863,NULL,0.917,"978-taurus:cerevisiae"
190,"Bos taurus",978,"978","E1BLC2_BOV",100337407,NULL,0.833,"978-taurus:cerevisiae"
191,"Saccharomyces cerevisiae",978,"978","HHF2",852294,"100%",1,"978-taurus:cerevisiae"
192,"Saccharomyces cerevisiae",978,"978","HHF1",852294,"100%",1,"978-taurus:cerevisiae"
193,"Bos taurus",646,"646","A6QR34_BOV",616576,"100%",1,"646-taurus:cerevisiae"
194,"Saccharomyces cerevisiae",646,"646","HXK1",850614,"92%",1,"646-taurus:cerevisiae"
195,"Saccharomyces cerevisiae",646,"646","HXK2",852639,NULL,0.729,"646-taurus:cerevisiae"
196,"Saccharomyces cerevisiae",1867,"1867","GUP1",852796,"100%",1,"1867-taurus:cerevisiae"
197,"Saccharomyces cerevisiae",1867,"1867","GUP2",855912,NULL,0.552,"1867-taurus:cerevisiae"
198,"Saccharomyces cerevisiae",245,"245","GSH1",853344,"100%",1,"245-taurus:cerevisiae"
199,"Bos taurus",6,"6","MTOR",100139219,"100%",1,"6-taurus:cerevisiae"
200,"Saccharomyces cerevisiae",6,"6","TOR1",853529,"100%",1,"6-taurus:cerevisiae"
201,"Saccharomyces cerevisiae",6,"6","TOR2",853632,NULL,0.501,"6-taurus:cerevisiae"
202,"Bos taurus",1959,"1959","SRXN1",531606,"100%",1,"1959-taurus:cerevisiae"
203,"Saccharomyces cerevisiae",1959,"1959","SRX1",853776,"100%",1,"1959-taurus:cerevisiae"
204,"Saccharomyces cerevisiae",512,"512","MDH1",853777,"96%",1,"512-taurus:cerevisiae"
205,"Bos taurus",1813,"1813","ZN238_BOVI",538793,"54%",1,"1813-taurus:cerevisiae"
206,"Bos taurus",1813,"1813","ZBTB3",508118,NULL,0.18,"1813-taurus:cerevisiae"
207,"Bos taurus",1813,"1813","ZN397_BOVI",506448,NULL,0.155,"1813-taurus:cerevisiae"
208,"Bos taurus",1813,"1813","Q3SYX4_BOV",522836,NULL,0.13,"1813-taurus:cerevisiae"
209,"Bos taurus",1813,"1813","ZNF263",100138099,NULL,0.125,"1813-taurus:cerevisiae"
210,"Bos taurus",1813,"1813","ZNF24",538969,NULL,0.12,"1813-taurus:cerevisiae"
211,"Bos taurus",1813,"1813","ZSCAN10",538853,NULL,0.101,"1813-taurus:cerevisiae"
212,"Bos taurus",1813,"1813","ZBTB49",507385,NULL,0.099,"1813-taurus:cerevisiae"
213,"Bos taurus",1813,"1813","HIC2",539541,NULL,0.098,"1813-taurus:cerevisiae"
214,"Bos taurus",1813,"1813","ZNF24",538969,NULL,0.092,"1813-taurus:cerevisiae"
215,"Bos taurus",1813,"1813","HIC1",786191,NULL,0.091,"1813-taurus:cerevisiae"
216,"Bos taurus",1813,"1813","ZBTB7A",788491,NULL,0.09,"1813-taurus:cerevisiae"
217,"Bos taurus",1813,"1813","A0JN94_BOV",518910,NULL,0.087,"1813-taurus:cerevisiae"
218,"Bos taurus",1813,"1813","ZNF215",529157,NULL,0.085,"1813-taurus:cerevisiae"
219,"Bos taurus",1813,"1813","ZBTB7B",509019,NULL,0.08,"1813-taurus:cerevisiae"
220,"Bos taurus",1813,"1813","ZNF677",525522,NULL,0.077,"1813-taurus:cerevisiae"
221,"Bos taurus",1813,"1813","BCL6B",100138731,NULL,0.076,"1813-taurus:cerevisiae"
222,"Bos taurus",1813,"1813","BCL6",539020,NULL,0.074,"1813-taurus:cerevisiae"
223,"Bos taurus",1813,"1813","ZNF41",531674,NULL,0.074,"1813-taurus:cerevisiae"
224,"Bos taurus",1813,"1813","ZN227_BOVI",789006,NULL,0.06,"1813-taurus:cerevisiae"
225,"Bos taurus",1813,"1813","ZBTB24",539966,NULL,0.06,"1813-taurus:cerevisiae"
226,"Bos taurus",1813,"1813","ZBTB22",538456,NULL,0.059,"1813-taurus:cerevisiae"
227,"Bos taurus",1813,"1813","PATZ1",532416,NULL,0.058,"1813-taurus:cerevisiae"
228,"Bos taurus",1813,"1813","GZF1",525199,NULL,0.058,"1813-taurus:cerevisiae"
229,"Bos taurus",1813,"1813","ZNF205",514765,NULL,0.057,"1813-taurus:cerevisiae"
230,"Bos taurus",1813,"1813","ZBTB26",540217,NULL,0.057,"1813-taurus:cerevisiae"
231,"Bos taurus",1813,"1813","ZBTB8A",541221,NULL,0.054,"1813-taurus:cerevisiae"
232,"Bos taurus",1813,"1813","ZBTB37",617314,NULL,0.052,"1813-taurus:cerevisiae"
233,"Saccharomyces cerevisiae",1813,"1813","MSN2",855053,"100%",1,"1813-taurus:cerevisiae"
234,"Saccharomyces cerevisiae",1813,"1813","MSN4",853803,NULL,0.133,"1813-taurus:cerevisiae"
235,"Bos taurus",1330,"1330","Q2KJF3_BOV",615964,"100%",1,"1330-taurus:cerevisiae"
236,"Saccharomyces cerevisiae",1330,"1330","NFU1",853826,"100%",1,"1330-taurus:cerevisiae"
237,"Bos taurus",868,"868","MAST1",539825,"83%",1,"868-taurus:cerevisiae"
238,"Bos taurus",868,"868","MAST2",535643,NULL,0.522,"868-taurus:cerevisiae"
239,"Saccharomyces cerevisiae",868,"868","PKH2",854053,"92%",1,"868-taurus:cerevisiae"
240,"Saccharomyces cerevisiae",868,"868","PKH1",852101,NULL,0.154,"868-taurus:cerevisiae"
241,"Bos taurus",915,"915","SIRT1",613629,"99%",1,"915-taurus:cerevisiae"
242,"Saccharomyces cerevisiae",915,"915","HST1",854086,"99%",1,"915-taurus:cerevisiae"
243,"Saccharomyces cerevisiae",915,"915","SIR2",851520,NULL,0.498,"915-taurus:cerevisiae"
244,"Bos taurus",532,"532","CY1_BOVIN",512500,"100%",1,"532-taurus:cerevisiae"
245,"Saccharomyces cerevisiae",532,"532","CYT1",854231,"100%",1,"532-taurus:cerevisiae"
246,"Bos taurus",901,"901","RAB5C_BOVI",613749,"97%",1,"901-taurus:cerevisiae"
247,"Bos taurus",901,"901","F1MNI4_BOV",539150,NULL,0.673,"901-taurus:cerevisiae"
248,"Saccharomyces cerevisiae",901,"901","VPS21",854256,"77%",1,"901-taurus:cerevisiae"
249,"Saccharomyces cerevisiae",901,"901","YPT53",855631,NULL,0.118,"901-taurus:cerevisiae"
250,"Bos taurus",450,"450","F1MN74_BOV",282446,"100%",1,"450-taurus:cerevisiae"
251,"Saccharomyces cerevisiae",450,"450","IDH2",854303,"99%",1,"450-taurus:cerevisiae"
252,"Bos taurus",1275,"1275","SPHK2",533103,"90%",1,"1275-taurus:cerevisiae"
253,"Saccharomyces cerevisiae",1275,"1275","LCB4",854342,"100%",1,"1275-taurus:cerevisiae"
254,"Bos taurus",253,"253","GPDM_BOVIN",504948,"100%",1,"253-taurus:cerevisiae"
255,"Saccharomyces cerevisiae",253,"253","GUT2",854651,"100%",1,"253-taurus:cerevisiae"
256,"Bos taurus",1931,"1931","FOXO3",535530,"100%",1,"1931-taurus:cerevisiae"
257,"Bos taurus",1931,"1931","A6QLP0_BOV",618793,NULL,0.219,"1931-taurus:cerevisiae"
258,"Saccharomyces cerevisiae",1931,"1931","FKH2",855656,"100%",1,"1931-taurus:cerevisiae"
259,"Saccharomyces cerevisiae",1931,"1931","FKH1",854675,NULL,0.208,"1931-taurus:cerevisiae"
260,"Bos taurus",535,"535","",614531,"100%",1,"535-taurus:cerevisiae"
261,"Bos taurus",535,"535","RRAGA_BOVI",618207,"100%",1,"535-taurus:cerevisiae"
262,"Bos taurus",535,"535","RRAGB",506754,NULL,0.923,"535-taurus:cerevisiae"
263,"Saccharomyces cerevisiae",535,"535","GTR1",854918,"100%",1,"535-taurus:cerevisiae"
264,"Bos taurus",656,"656","PRDX1_BOVI",281997,NULL,0.34,"656-taurus:cerevisiae"
265,"Bos taurus",656,"656","PRDX4_BOVI",281999,NULL,0.17,"656-taurus:cerevisiae"
266,"Bos taurus",656,"656","PRDX3_BOVI",281998,NULL,0.088,"656-taurus:cerevisiae"
267,"Saccharomyces cerevisiae",656,"656","TSA1",854980,"100%",1,"656-taurus:cerevisiae"
268,"Saccharomyces cerevisiae",656,"656","TSA2",852064,NULL,0.715,"656-taurus:cerevisiae"
269,"Bos taurus",749,"749","F1MJQ1_BOV",509970,"97%",1,"749-taurus:cerevisiae"
270,"Saccharomyces cerevisiae",749,"749","YPT7",855012,"100%",1,"749-taurus:cerevisiae"
271,"Bos taurus",1813,"1813","ZN238_BOVI",538793,"54%",1,"1813-taurus:cerevisiae"
272,"Bos taurus",1813,"1813","ZBTB3",508118,NULL,0.18,"1813-taurus:cerevisiae"
273,"Bos taurus",1813,"1813","ZN397_BOVI",506448,NULL,0.155,"1813-taurus:cerevisiae"
274,"Bos taurus",1813,"1813","Q3SYX4_BOV",522836,NULL,0.13,"1813-taurus:cerevisiae"
275,"Bos taurus",1813,"1813","ZNF263",100138099,NULL,0.125,"1813-taurus:cerevisiae"
276,"Bos taurus",1813,"1813","ZNF24",538969,NULL,0.12,"1813-taurus:cerevisiae"
277,"Bos taurus",1813,"1813","ZSCAN10",538853,NULL,0.101,"1813-taurus:cerevisiae"
278,"Bos taurus",1813,"1813","ZBTB49",507385,NULL,0.099,"1813-taurus:cerevisiae"
279,"Bos taurus",1813,"1813","HIC2",539541,NULL,0.098,"1813-taurus:cerevisiae"
