hagrid,imr,mrdt,tmax,size_sample,quality,origin,biblioid,phenotype
55,NULL,NULL,7.8,medium,acceptable,captivity,485,One gray treefrog lived 7.8 years in captivity but it is not clear whether it was a specimen of this species or of the gray treefrog (<i>Hyla versicolor</i>).
56,NULL,NULL,NULL,medium,low,unknown,NULL,"These animals have been known to live up to 6.2 years [0485], but considering the longevity of similar species this value is likely significantly underestimated."
57,NULL,NULL,12.5,medium,acceptable,captivity,451,NULL
58,NULL,NULL,8.9,small,acceptable,captivity,451,NULL
59,NULL,NULL,8.5,medium,acceptable,captivity,485,NULL
60,NULL,NULL,7.8,medium,acceptable,captivity,543,"One gray treefrog lived 7.8 years in captivity but it is not clear whether it was a specimen of this species or of the Cope's gray treefrog (<i>Hyla chrysoscelis</i>). Given the longevity of similar species, however, it is likely that maximum longevity of these animals is higher."
61,NULL,NULL,NULL,small,low,unknown,NULL,"These animals have been known to live up to 6.1 years [0485], but considering the longevity of similar species this value is likely significantly underestimated."
62,NULL,NULL,20,large,acceptable,captivity,451,NULL
63,NULL,NULL,12.9,medium,acceptable,captivity,451,NULL
64,NULL,NULL,6.6,small,questionable,captivity,451,"Considering the longevity of similar species, maximum longevity in this species could be significantly underestimated."
65,NULL,NULL,8.7,small,acceptable,captivity,451,NULL
66,NULL,NULL,10.3,medium,acceptable,captivity,451,NULL
67,NULL,NULL,NULL,small,low,unknown,NULL,"In the wild, these animals may live up to 4 years [0525]. Longevity in captivity has not exceeded 2.2 years, but with few animals being kept. Their maximum lifespan is likely underestimated."
68,NULL,NULL,11,small,acceptable,captivity,451,"This species is also known as the ""shrinking frog"" because animals shrink during their lifespan. Tadpoles are at least four times larger than adults. Nothing is known about their ageing process, though."
69,NULL,NULL,6.3,small,acceptable,captivity,485,NULL
70,NULL,NULL,5.1,small,acceptable,captivity,485,NULL
71,NULL,NULL,4.1,small,acceptable,captivity,485,NULL
72,NULL,NULL,10.5,small,acceptable,captivity,451,NULL
73,NULL,NULL,14,medium,acceptable,wild,525,"In the wild, these animals may live up to 14 years [0525]. Some speculate that females may live 15-20 years and males somewhat less. In inland populations females appear to bread every other year, while in coastal populations may breed every year [0749]."
74,NULL,NULL,18.8,medium,acceptable,captivity,451,NULL
75,NULL,NULL,10.9,large,acceptable,captivity,451,NULL
76,NULL,NULL,3,small,questionable,wild,1060,"In the wild, these animals have a short lifespan and have been estimated to live up to 3 years [1060]."
77,NULL,NULL,6.8,small,acceptable,captivity,485,NULL
78,NULL,NULL,11,medium,acceptable,captivity,485,NULL
79,NULL,NULL,5,small,acceptable,wild,964,In the wild these animals have been found to live up to 5 years. Males appear to mature in their first year and females in their second [0964].
80,NULL,NULL,10.3,medium,acceptable,captivity,451,NULL
81,NULL,NULL,2,small,questionable,wild,1060,"In the wild, these animals have a short lifespan and have been estimated to live up to 2 years [1060]."
82,NULL,NULL,11,medium,acceptable,captivity,485,NULL
83,NULL,NULL,5.9,small,acceptable,captivity,451,"Weighting over 3Kgs, this is considered the largest frog in the world [0749]."
84,NULL,NULL,7.7,medium,acceptable,captivity,485,NULL
85,NULL,NULL,30.3,large,acceptable,captivity,451,"This animal does not show explicit signs of ageing [0010]. Reproductive senescence has not been demonstrated, but growth rates appear to slow down with age. Increased tensile strength in tendon collagen with age, a frequent marker of ageing in mammals, has been reported [0526]."
86,NULL,NULL,45,medium,acceptable,captivity,451,"These are the largest South African amphibians, with males reaching 1400g [0749]."
87,NULL,NULL,11.3,small,acceptable,captivity,451,NULL
88,NULL,NULL,16,medium,acceptable,captivity,485,"Increased reproductive output with age has been documented in these animals [0002]. Record longevity may be underestimated. In the wild, mortality rates appear to rise at later ages. Growth rates also appear to decline [0526]."
89,NULL,NULL,10,medium,acceptable,captivity,528,In the wild these animals live up to 6 years but they have been reported to live up to 10 years in captivity [0528].
90,NULL,NULL,9,medium,acceptable,wild,525,"In the wild, these animals may live up to 5 years [0525]."
91,NULL,NULL,6,medium,acceptable,wild,528,In the wild these animals live about 5-6 years [0528].
92,NULL,NULL,5,medium,questionable,unknown,NULL,The wood frog is fascinating because it may spend winter with over 50% of its body frozen and no heartbeat or breathing. Their maximum longevity could be underestimated due to lack of precise data. In the wild these animals rarely live more than 3 years [0528].
93,NULL,NULL,6.2,small,acceptable,captivity,485,NULL
94,NULL,NULL,6,medium,acceptable,wild,525,"In the wild, these animals may live up to 6 years [0525]."
95,NULL,NULL,15,medium,acceptable,wild,651,"One field study found an increase in mortality in animals age 6 years and older. Eggs from older females were commonly found to be retarded in development and growth, indicating an age-related decline in reproductive ability. Their maximum longevity was calculated to be 15 years [0651]."
96,NULL,NULL,6.8,small,acceptable,captivity,650,"In the wild, these animals may live up to 5 years [0525]. One study in captivity reported a lower mortality in 2 year-old animals than in those with 4.3 years of age. The maximum longevity in this study was 6.8 years [0650]."
97,NULL,NULL,11,medium,acceptable,wild,525,"In the wild, maturity and longevity are dependent on environmental conditions. Animals may live 11 years or maybe even more in colder climates or mountain regions [0525]."
98,NULL,NULL,9,medium,acceptable,wild,525,"In the wild, these animals may live up to 9 years. In the Yakutsk region, they attain sexual maturity at 4-5 years with the unusual feature of females attaining maturity earlier than males [0525]."
99,NULL,NULL,11,medium,acceptable,wild,525,"In the wild, females may live up to 11 years [0525]."
100,NULL,NULL,15,medium,acceptable,wild,503,"Animals living in the north, also called Northern red-legged frogs, appear to develop slower, probably due to the colder water temperatures, and live longer. In California, maximum lifespan is probably around 10 years. Northern frogs also lay fewer eggs."
101,NULL,NULL,12,medium,acceptable,wild,525,"The edible frog, which as the name implies is used for food, is not a real species but it is a natural hybrid between <i>Pelophylax lessonae</i> and <i>Pelophylax ridibunda</i>. In the wild, these animals may live up to 12 years [0525]."
102,NULL,NULL,8,medium,acceptable,wild,525,"In the wild, these animals may live up to 8 years [0525]."
103,NULL,NULL,5,medium,acceptable,wild,525,"In the wild, these animals may live up to 5 years [0525]."
104,NULL,NULL,27,medium,acceptable,unknown,NULL,"An age-related decline in the immune system has been described in the common frog [0025]. In the wild, these animals may live up to 14 years [0525]."
105,NULL,NULL,6.7,small,questionable,captivity,485,"There are estimates that most of the breeding population is between 5 and 10 years old, and the maximum longevity may be 13 years for females and 11 years for males [0749]. Further studies are necessary."
106,NULL,NULL,12.3,small,acceptable,captivity,485,NULL
107,NULL,NULL,20,medium,acceptable,wild,437,"While the average longevity of this animal is certainly much shorter, it has been suggested that dormant animals may have survived over 20 years in the arid Imperial Valley [0437]."
108,NULL,NULL,10.2,small,acceptable,captivity,485,NULL
109,NULL,NULL,8.8,small,acceptable,captivity,485,NULL
110,NULL,NULL,10,medium,acceptable,wild,437,"Their life history depends greatly on temperature. In the wild, they live up to 10 years [0437]."
111,NULL,NULL,32,medium,acceptable,unknown,NULL,NULL
112,NULL,NULL,17,large,acceptable,captivity,451,"The axolotl is a classic case of neoteny in that animals become sexually mature without undergoing the final metamorphosis to the land-borne adult. Although very rare in the wild, it is possible to induce metamorphosis in the lab using thyroxine injections but animals die shortly afterwards [0449]. Like other similar species, the axolotl is capable of limb regeneration, the study of which could be of benefit to regenerative medicine; they are also extremely resistant to cancer [0843]. Anecdotal evidence, which seems possible, suggests these animals may live up to 25 years."
113,NULL,NULL,11.3,small,acceptable,captivity,485,NULL
114,NULL,NULL,14.4,small,acceptable,captivity,451,NULL
115,NULL,NULL,9,medium,acceptable,unknown,749,It is estimated that these animals may live over 9 years [0749].
116,NULL,NULL,13.8,tiny,acceptable,captivity,485,NULL
117,NULL,NULL,25,medium,acceptable,captivity,485,"Age-related changes have been described in the retina of these animals [0027]. On average, they may live 12-15 years in the wild [0440]."
118,NULL,NULL,16.9,tiny,acceptable,captivity,451,NULL
119,NULL,NULL,27,small,acceptable,captivity,485,NULL
120,NULL,NULL,15.9,small,acceptable,captivity,485,NULL
121,NULL,NULL,NULL,small,low,unknown,NULL,"In captivity, these animals have been reported to live 19.9 years [0485]. Considering the longevity of similar species, however, it is possible that they live much longer. Anecdotal reports suggest they can live over 50 years, but further studies are warranted."
122,NULL,NULL,55,small,acceptable,captivity,485,"The longest-lived amphibians on record, it is possible that these animals feature negligible senescence. Their longevity may be underestimated and there are anecdotal claims that these animals live up to 80 or even 100 years."
123,NULL,NULL,29,medium,acceptable,wild,528,"This is a relatively long-lived species, and some estimates indicate these animals may live over 30 years in the wild [0528]."
124,NULL,NULL,11.9,small,acceptable,captivity,485,NULL
125,NULL,NULL,7.1,small,acceptable,captivity,451,NULL
126,NULL,NULL,14.2,medium,acceptable,captivity,485,NULL
127,NULL,NULL,12.9,small,acceptable,captivity,485,NULL
128,NULL,NULL,17,medium,acceptable,wild,525,In the wild these animals live up to 17 years [0525].
129,NULL,NULL,14.2,small,acceptable,captivity,451,NULL
130,NULL,NULL,11,small,acceptable,captivity,451,NULL
131,NULL,NULL,8,medium,acceptable,wild,525,"In the wild, these animals live up to 8 years [0525]. Adults of this species are able to survive for a very long time at temperatures as low as -40 degrees C. The spawn can survive in the ice for short periods of time [0749]."
132,NULL,NULL,NULL,tiny,low,unknown,NULL,"Very little is known about the longevity of these animals, but one specimen lived 6.4 years in captivity [0451]."
133,NULL,NULL,NULL,small,low,unknown,NULL,"Very little is known about the longevity of these animals, but one specimen lived 5.3 years in captivity [0485]."
134,NULL,NULL,6.9,small,acceptable,captivity,451,"A wild caught animal has lived nearly 7 years in captivity [0451], so the maximum longevity of this species is likely underestimated."
135,NULL,NULL,12.2,small,acceptable,captivity,451,NULL
136,NULL,NULL,17.7,tiny,acceptable,captivity,485,NULL
137,0.3,NULL,19.8,tiny,acceptable,captivity,485,"In the wild, these animals may live up to 16 years. IMR values were estimated in the wild and might decline at later ages. Fertility does not decline at older ages [0526]."
138,NULL,NULL,15,small,acceptable,captivity,485,NULL
139,NULL,NULL,20,small,acceptable,captivity,485,NULL
140,NULL,NULL,NULL,tiny,low,unknown,NULL,"Very little is known about the longevity of these animals, but one specimen lived 6.9 years in captivity [0451]. Some estimates suggest these animals may live up to 15 years [0749]."
141,NULL,NULL,9.1,small,acceptable,captivity,451,"In captivity, these animals may live more than 9 years [0451]."
142,NULL,NULL,10.3,small,acceptable,captivity,451,NULL
143,NULL,NULL,9.9,small,acceptable,captivity,485,NULL
144,NULL,NULL,8,small,acceptable,captivity,485,NULL
145,NULL,NULL,18.5,small,acceptable,captivity,485,NULL
146,NULL,NULL,18.5,small,acceptable,captivity,485,At higher elevations maturity is reached about one year later [0528]. They become sexual mature soon after metamorphosing [0749].
147,NULL,NULL,8.9,small,acceptable,captivity,485,NULL
148,NULL,NULL,19.7,small,acceptable,captivity,485,NULL
149,NULL,NULL,25,medium,acceptable,wild,528,These animals have been estimated to live up to 20-25 years in the wild [0528].
150,NULL,NULL,11,small,acceptable,captivity,485,NULL
151,NULL,NULL,13.3,small,acceptable,captivity,485,NULL
152,NULL,NULL,20.1,small,acceptable,captivity,485,NULL
153,NULL,NULL,19.8,tiny,acceptable,captivity,485,"One study in the wild found that 77% of these animals survive to age 10 [0512], so maximum longevity could be underestimated."
154,NULL,NULL,11.1,small,acceptable,captivity,485,NULL
155,NULL,NULL,NULL,tiny,low,unknown,NULL,The maximum longevity of these animals is unknown but one animal caught as an adult in the wild lived 5.8 years in captivity [0451].
156,NULL,NULL,15.1,small,acceptable,captivity,485,NULL
157,NULL,NULL,20.1,small,acceptable,captivity,485,NULL
158,NULL,NULL,10.6,small,acceptable,captivity,485,NULL
159,NULL,NULL,34,medium,acceptable,unknown,NULL,NULL
160,NULL,NULL,NULL,tiny,low,unknown,NULL,"One animal in captivity lived for 5.7 years [0451]. Still, the longevity of these animals is likely underestimated and more data required."
161,NULL,999,102,medium,acceptable,wild,934,"The development of these animals depends highly on the ambient temperature. Sexual maturity, for instance, takes an extra 14 years to occur at temperatures of 10 degrees C [0749]. Based on mortality patterns, these animals have been estimated to live over 102 years in the wild; signs of ageing have not been detected [0934]. In captivity, record longevity is 58 years [0485]. As such, this species appears to be a case of negligible senescence."
162,NULL,NULL,26,medium,acceptable,wild,525,"In the wild, these animals might live up to 26 years [0525]. Their longevity in captivity is unknown."
163,NULL,NULL,17.9,medium,acceptable,captivity,451,NULL
164,NULL,NULL,25,medium,acceptable,captivity,485,NULL
165,NULL,NULL,15,small,acceptable,captivity,451,"In the wild, these animals live up to 10 years. Neoteny does not appear to affect longevity in the wild [0525]."
166,NULL,NULL,8,medium,acceptable,wild,525,"In the wild, these animals may live up to 8 years [0525]."
167,NULL,NULL,20,medium,acceptable,captivity,525,"In northern populations animals tend to mature later and live longer. In Scandinavia, these animals may live up to 14 years [0525]. In captivity they can live for 20 years, and maybe even longer [0525]."
168,NULL,NULL,12.9,large,acceptable,captivity,485,NULL
169,NULL,NULL,25,medium,acceptable,captivity,website feedback,"As in other similar species, these newts feature extensive regeneration capabilities [0483]. They can live up to 15 years in the wild [0749]. One specimen kept as a pet was still alive when over 25 years of age (website feedback), which is a plausible anecdote. A female reportedly lived for 15 years in captivity [0528]. In some populations, sexual maturity can be reached in 1 year, but it usually takes at least 3 years. Some data suggests males may reach sexual maturity slightly sooner than females [0749]."
170,NULL,NULL,6.5,small,acceptable,captivity,451,NULL
171,NULL,NULL,10.3,tiny,acceptable,captivity,485,One specimen of the <i>hongkongensis</i> subspecies lived 10.3 years in captivity [0485].
172,NULL,NULL,14,small,acceptable,captivity,451,NULL
173,NULL,NULL,19.5,medium,acceptable,captivity,451,NULL
174,NULL,NULL,17,medium,acceptable,wild,525,"In the wild, these animals may live up to 17 years [0525]. They are classified as viviparous."
175,NULL,NULL,24,medium,acceptable,captivity,451,"Anecdotal evidence, which may or may not be true, suggests these animals may live up to 50 years. It is generally classified as viviparous."
176,NULL,NULL,NULL,small,low,unknown,NULL,"Longevity in captivity is probably underestimated. One animal caught as an adult lived 3.5 years in captivity [0451]. Based on size and growth rates, the average longevity in the wild is estimated to be 12 years [0749]."
177,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals. One specimen lived 9 years in captivity [0485]. Based on survival rates, it is speculated that these animals may live up to 20-30 years [0749]."
178,NULL,NULL,21.8,small,acceptable,captivity,451,NULL
179,NULL,NULL,11,medium,acceptable,wild,525,"In the wild, these animals may live up to 11 years [0525]."
180,NULL,NULL,28,medium,acceptable,captivity,525,"In the wild, these animals may live up to 16 years. In captivity they have lived for 28 years [0525]."
181,NULL,NULL,25,small,acceptable,captivity,525,"Studies in Portugal have shown that in mountain populations animals tend to mature later and live longer, in some cases up to 16 years. In captivity they can live for 25 years [0525]."
182,NULL,NULL,11,medium,acceptable,wild,525,"In the wild, these animals live up to 11 years [0525]. One animal lived nearly 10 years in captivity [0485], so their longevity may be underestimated."
183,NULL,NULL,25.7,medium,acceptable,captivity,451,NULL
184,NULL,NULL,25,small,acceptable,captivity,485,NULL
185,NULL,NULL,13.8,small,acceptable,captivity,451,NULL
186,NULL,NULL,4.9,small,acceptable,captivity,485,NULL
187,NULL,NULL,NULL,medium,low,unknown,NULL,The record longevity in captivity of these animals is 4.1 years [0451]. This value is most likely underestimated to a large degree and there are anecdotal reports that these animals can live up to 20 years in captivity.
188,NULL,NULL,7.3,small,acceptable,captivity,451,NULL
189,NULL,NULL,NULL,tiny,low,unknown,NULL,"Birds tend to be longer-lived than size-equivalent animals from other classes [0405] (two-three times longer than mammals of the same size [1275]). Nonetheless, there are no confirmed reports of birds with negligible senescence or animals living over 100 years. This is because a large number of longevity records in birds come from banding studies in the wild, though, many longevity records may be underestimated. Males are generally longer-lived than females. As observed in other taxa, developmental schedules correlate strongly with longevity, yet metabolic rates do not correlate with longevity [0859]. High metabolic rate is predicted to be a liability in other classes, yet birds have generally high metabolic rates [1276]."
190,NULL,NULL,20.3,medium,acceptable,wild,427,NULL
191,NULL,NULL,22,medium,acceptable,wild,450,NULL
192,NULL,NULL,20.2,medium,acceptable,wild,450,NULL
193,NULL,NULL,19.9,medium,acceptable,wild,427,"Though breeding at just over one year of age is possible, most animals breed at later ages. Few of these animals live over 5 years in the wild [0437]."
194,NULL,NULL,39,medium,acceptable,captivity,1,NULL
195,NULL,NULL,44.5,small,acceptable,captivity,575,NULL
196,NULL,NULL,40,small,acceptable,captivity,1,NULL
197,NULL,NULL,48,medium,acceptable,captivity,437,"In captivity, these animals have been reported to live up to 48 years [0437]."
198,NULL,NULL,20,small,acceptable,captivity,1,NULL
199,NULL,NULL,56,medium,acceptable,captivity,1,NULL
200,NULL,NULL,41,small,acceptable,captivity,1,NULL
201,NULL,NULL,26.1,medium,acceptable,wild,1,NULL
202,NULL,NULL,40.3,medium,acceptable,captivity,575,"Anecdotal reports suggest these animals may live up to 45 years in captivity, but these have not been confirmed."
203,NULL,NULL,8.5,medium,acceptable,wild,1,NULL
204,NULL,NULL,28.8,medium,acceptable,wild,450,NULL
205,NULL,NULL,30.7,large,acceptable,wild,427,"The average longevity for these animals once they reach maturity is about 6 to 7 years. In the wild they do not normally live more than 16 years [0437]; record longevity in the wild is 30.7 years [0427]. In captivity they have been reported to live up to 29.5 years [0001]. There is also anecdotal evidence that a male called 'Pale Male' has been living in New York City since 1991, making it over 20 years of age."
206,NULL,NULL,18.8,small,acceptable,wild,450,The average longevity of these animals does not exceed 2 years [0437].
207,NULL,NULL,22.4,medium,acceptable,wild,427,"One banded animal was 22.4 years of age when it was found dead [0427]. Besides, one animal was caught and released at age 20 [0444]."
208,NULL,NULL,18.3,small,acceptable,wild,577,NULL
209,NULL,NULL,23.7,medium,acceptable,wild,427,Maximum longevity from banding studies is 23.7 years [0427].
210,NULL,NULL,NULL,small,low,unknown,NULL,"Little is known about the longevity of these animals, though they have been reported to live up to 8.5 years in the wild [0450]. Considering the longevity of similar species, however, maximum longevity could be significantly underestimated."
211,NULL,NULL,17,medium,acceptable,wild,445,"Does not breed every year. There is a 17% chance of nesting attempt the following year after a successful breeding season, and 25% following an unsuccessful breeding season [0445]."
212,NULL,NULL,24.9,medium,acceptable,wild,427,Maximum longevity in banded birds was 24.9 years [0427].
213,NULL,NULL,13.5,medium,acceptable,wild,1,NULL
214,NULL,NULL,NULL,tiny,low,unknown,NULL,"Little is known about the longevity of these animals, though they have been reported to live up to 6.8 years in the wild [0001]. Considering the longevity of similar species, however, maximum longevity could be significantly underestimated."
215,NULL,NULL,17.3,medium,acceptable,wild,1,NULL
216,NULL,NULL,20.1,medium,acceptable,wild,450,NULL
217,NULL,NULL,17.1,medium,acceptable,wild,450,NULL
218,NULL,NULL,13.5,medium,acceptable,wild,1,NULL
219,NULL,NULL,16.3,medium,acceptable,wild,1,NULL
220,NULL,NULL,6,medium,acceptable,wild,1,Maximum lifespan in the wild has been reported to be 6 years [0001].
221,NULL,NULL,6,tiny,acceptable,wild,427,The record longevity of this species is 6 years for a banded animal that was shot [0427].
222,NULL,NULL,42,medium,acceptable,captivity,575,NULL
223,NULL,NULL,40,medium,acceptable,captivity,1,NULL
224,NULL,NULL,27.1,medium,acceptable,captivity,575,NULL
225,NULL,NULL,19.7,medium,acceptable,captivity,575,NULL
226,NULL,NULL,NULL,tiny,low,unknown,NULL,"The record longevity for this species is 17.2 years [0575]. Anecdotal reports, however, suggest that these animals may live over 40 years, which may be true."
227,NULL,NULL,41.4,large,acceptable,captivity,1,One captive specimen reportedly lived to 41.4 years of age [0001].
228,NULL,NULL,42,medium,acceptable,captivity,1,"While some animals may be sexually mature at age 4, first breeding normally does not occur until later [0444]. One captive specimen reportedly lived to the age of 42 [0001]. There is also one mention to animals living up to 95 years [1146], but this has not been confirmed."
229,NULL,NULL,48,large,acceptable,captivity,NULL,"In the wild, the bald eagle may live over 30 years [0440]."
230,NULL,NULL,16.8,medium,acceptable,captivity,575,NULL
231,NULL,NULL,30,tiny,acceptable,captivity,1,NULL
