pubmed_id,terms,title,journal,author,volume,authors,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
9312059,"['Alleles', 'Ataxia Telangiectasia Mutated Proteins', 'Cell Aging/genetics', 'Cell Cycle Proteins', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclins/metabolism', 'DNA/metabolism', 'DNA Damage', 'DNA-Binding Proteins', 'Enzyme Inhibitors/metabolism', 'Fibroblasts/cytology', 'Humans', 'Nuclear Proteins/metabolism', 'Oxygen/metabolism', 'Poly(ADP-ribose) Polymerases/metabolism', 'Promoter Regions, Genetic', 'Protein Processing, Post-Translational', 'Protein-Serine-Threonine Kinases', 'Proteins/metabolism', 'Telomere', 'Trans-Activators', 'Transcription Factors/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Tumor Suppressor Proteins']",ATM-dependent telomere loss in aging human diploid fibroblasts and DNA damage lead to the post-translational activation of p53 protein involving poly(ADP-ribose) polymerase.,EMBO J.,Vaziri et al.,16,,"Vaziri, H et al.",1997,,19,6018-6033,,,,
9454332,"['Biomarkers', 'Catalysis', 'Cell Aging', 'Cell Division', 'Cell Line', 'Cell Transformation, Neoplastic', 'Cloning, Molecular', 'DNA-Binding Proteins', 'Fibroblasts/cytology', 'Homeostasis', 'Humans', 'Karyotyping', 'Phenotype', 'Pigment Epithelium of Eye/cytology', 'Proteins/genetics/metabolism', 'RNA', 'RNA-Directed DNA Polymerase/genetics/metabolism', 'Stem Cells/cytology/enzymology', 'Telomerase/genetics/metabolism', 'Telomere/metabolism/physiology/ultrastructure', 'Transfection', 'Tumor Cells, Cultured', 'beta-Galactosidase/metabolism']",Extension of life-span by introduction of telomerase into normal human cells.,Science,Bodnar et al.,279,,"Bodnar, AG et al.",1998,,5349,349-352,,,,
9512419,"['Animals', 'Cell Aging/physiology', 'Cell Cycle Proteins', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p15', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclin-Dependent Kinase Inhibitor p27', 'Cyclin-Dependent Kinases/antagonists & inhibitors', 'Cyclins/metabolism', 'Enzyme Inhibitors/administration & dosage', 'Fibroblasts/physiology', 'Fluorescent Antibody Technique', 'Humans', 'Microtubule-Associated Proteins/metabolism', 'Phenotype', 'RNA', 'Time Factors', 'Transcription Factors/metabolism', 'Tumor Suppressor Proteins']",Inhibitors of cyclin-dependent kinases induce features of replicative senescence in early passage human diploid fibroblasts.,Curr. Biol.,McConnell et al.,8,,"McConnell, BB et al.",1998,,6,351-354,,,,
9607312,"['Antennapedia Homeodomain Protein', 'Cell Aging/physiology', 'Cell Division', 'Cell Nucleus/metabolism', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism/physiology', 'Diploidy', 'Escherichia coli/genetics', 'Fibroblasts/cytology/metabolism', 'G1 Phase/physiology', 'Homeodomain Proteins/genetics', 'Humans', 'Nuclear Proteins', 'Phenotype', 'Phosphorylation', 'Recombinant Fusion Proteins/metabolism', 'Retinoblastoma Protein/metabolism', 'Transcription Factors']",Features of replicative senescence induced by direct addition of antennapedia-p16INK4A fusion protein to human diploid fibroblasts.,FEBS Lett.,Kato et al.,427,,"Kato, D et al.",1998,,2,203-208,,,,
9765202,"['Animals', 'Calcium-Calmodulin-Dependent Protein Kinases/metabolism', 'Cell Aging/drug effects', 'Cell Cycle Proteins/metabolism', 'Cell Division/drug effects', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclins/metabolism', 'Fibroblasts/drug effects', 'Humans', 'Mice', 'Proto-Oncogene Proteins c-raf/metabolism/pharmacology', 'Signal Transduction', 'Tumor Suppressor Protein p53/metabolism', 'beta-Galactosidase', 'ras Proteins/metabolism']",Senescence of human fibroblasts induced by oncogenic Raf.,Genes Dev.,Zhu et al.,12,,"Zhu, J et al.",1998,,19,2997-3007,,,,
9765203,"['Animals', 'Calcium-Calmodulin-Dependent Protein Kinases/metabolism', 'Cell Aging', 'Cell Cycle', 'Cell Transformation, Neoplastic', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p16/physiology', 'Fibroblasts/physiology', 'Humans', 'MAP Kinase Kinase 1', 'MAP Kinase Kinase 2', 'Mice', 'Microinjections', 'Mitogen-Activated Protein Kinase Kinases', 'Protein-Serine-Threonine Kinases/metabolism', 'Protein-Tyrosine Kinases/metabolism', 'Signal Transduction', 'Tumor Suppressor Protein p53/physiology', 'ras Proteins/metabolism']",Premature senescence involving p53 and p16 is activated in response to constitutive MEK/MAPK mitogenic signaling.,Genes Dev.,Lin et al.,12,,"Lin, AW et al.",1998,,19,3008-3019,,,,
9891081,"['Amino Acid Sequence', 'Base Sequence', 'Cell Aging/genetics', 'Cell Division/genetics', 'Cell Line', 'Cell Nucleus/metabolism', 'Gene Expression', 'Genetic Complementation Test', 'Humans', 'Molecular Sequence Data', 'Multigene Family', 'Oligonucleotide Probes/genetics', 'Phenotype', 'RNA, Messenger/genetics/metabolism', 'Sequence Homology, Amino Acid', 'Transcription Factors/genetics/metabolism']",Identification of a gene that reverses the immortal phenotype of a subset of cells and is a member of a novel family of transcription factor-like genes.,Mol. Cell. Biol.,Bertram et al.,19,,"Bertram, MJ et al.",1999,,2,1479-1485,,,,
10594030,"['Carrier Proteins', 'Cell Aging/genetics', 'Cell Cycle Proteins/genetics', 'Cell Differentiation/genetics', 'Cell Division/genetics', 'Cell Line', 'DNA-Binding Proteins', 'E2F Transcription Factors', 'E2F1 Transcription Factor', 'Gene Expression Regulation', 'Genes, Tumor Suppressor', 'Humans', 'Proteins/genetics', 'Retinoblastoma-Binding Protein 1', 'Transcription Factor DP1', 'Transcription Factors/genetics', 'Tumor Suppressor Protein p14ARF']",Regulation of a senescence checkpoint response by the E2F1 transcription factor and p14(ARF) tumor suppressor.,Mol. Cell. Biol.,Dimri et al.,20,,"Dimri, GP et al.",2000,,1,273-285,,,,
10910364,"['Acetylation', 'Animals', 'Cell Aging/genetics/physiology', 'Cell Nucleus/metabolism', 'Genes, ras', 'Humans', 'Lysine/metabolism', 'Mice', 'Neoplasm Proteins/metabolism/physiology', 'Nuclear Proteins/metabolism/physiology', 'Promyelocytic Leukemia Protein', 'Signal Transduction', 'Transcription Factors/metabolism/physiology', 'Tumor Suppressor Protein p53/metabolism', 'Tumor Suppressor Proteins', 'Up-Regulation']",PML regulates p53 acetylation and premature senescence induced by oncogenic Ras.,Nature,Pearson et al.,406,,"Pearson, M et al.",2000,,6792,207-210,,,,
10939591,"['Adenoviridae/genetics/metabolism', 'Carrier Proteins/genetics/immunology/metabolism', 'Cell Aging', 'Cell Cycle Proteins', 'Cell Division', 'Cell Line', 'Cell Size', 'Cyclin D1/genetics/metabolism', 'Cyclin-Dependent Kinase 4', 'Cyclin-Dependent Kinase 6', 'Cyclin-Dependent Kinase Inhibitor p15', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/immunology/metabolism', 'Cyclin-Dependent Kinases/antagonists & inhibitors/genetics/metabolism', 'Enzyme Induction', 'Glioma', 'Humans', 'Immunoblotting', 'Mutation', 'Protein-Serine-Threonine Kinases/metabolism', 'Proto-Oncogene Proteins', 'Recombinant Proteins/metabolism', 'Retinoblastoma Protein/genetics/metabolism', 'Telomerase/antagonists & inhibitors/metabolism', 'Transfection', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Tumor Suppressor Proteins']","Adenovirus-mediated overexpression of p15INK4B inhibits human glioma cell growth, induces replicative senescence, and inhibits telomerase activity similarly to p16INK4A.",Cell Growth Differ.,Fuxe et al.,11,,"Fuxe, J et al.",2000,,7,373-384,,,,
10980404,"['Cell Aging', 'Cell Cycle', 'Cell Division', 'Cells, Cultured', 'Fibroblasts/cytology/physiology', 'Glucosephosphate Dehydrogenase/metabolism', 'Glucosephosphate Dehydrogenase Deficiency/pathology/physiopathology', 'Humans', 'Infant, Newborn', 'Kinetics', 'Male', 'Oxidative Stress', 'Reactive Oxygen Species/metabolism', 'Reference Values', 'Skin/cytology/pathology/physiopathology', 'Skin Physiological Phenomena', 'Telomere/genetics', 'Transfection', 'beta-Galactosidase/metabolism']",Enhanced oxidative stress and accelerated cellular senescence in glucose-6-phosphate dehydrogenase (G6PD)-deficient human fibroblasts.,Free Radic. Biol. Med.,Ho et al.,29,,"Ho, HY et al.",2000,,2,156-169,,,,
11234019,"['Animals', 'Cell Aging/genetics', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p16/biosynthesis/genetics', 'DNA-Binding Proteins/physiology', 'Fibroblasts', 'Gene Expression Regulation', 'Humans', 'Inhibitor of Differentiation Protein 1', 'MAP Kinase Kinase Kinase 1', 'MAP Kinase Signaling System', 'Mice', 'Promoter Regions, Genetic', 'Protein Binding', 'Protein-Serine-Threonine Kinases/metabolism', 'Proto-Oncogene Protein c-ets-1', 'Proto-Oncogene Protein c-ets-2', 'Proto-Oncogene Proteins/physiology', 'Proto-Oncogene Proteins c-ets', 'Proto-Oncogene Proteins c-raf/metabolism', 'Repressor Proteins', 'Trans-Activators/physiology', 'Transcription Factors/physiology', 'ras Proteins/metabolism']",Opposing effects of Ets and Id proteins on p16INK4a expression during cellular senescence.,Nature,Ohtani et al.,409,,"Ohtani, N et al.",2001,,6823,1067-1070,,,,
11914273,"['Animals', 'B-Lymphocytes/metabolism', 'Blotting, Western', 'Cell Aging', 'Cell Division', 'Cells, Cultured', 'Cyclin D1/genetics/metabolism', 'Cyclin E/metabolism', 'Cyclin-Dependent Kinase Inhibitor p16', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclins/metabolism', 'DNA, Complementary/metabolism', 'DNA-Binding Proteins/metabolism', 'Fibroblasts/metabolism', 'Gene Library', 'Humans', 'Mice', 'Mice, Knockout', 'Precipitin Tests', 'Proto-Oncogene Proteins/metabolism', 'Proto-Oncogene Proteins c-bcl-6', 'Retroviridae/genetics', 'Signal Transduction', 'Temperature', 'Time Factors', 'Transcription Factors/metabolism', 'Tumor Suppressor Protein p14ARF/metabolism', 'Tumor Suppressor Protein p53/metabolism']",A senescence rescue screen identifies BCL6 as an inhibitor of anti-proliferative p19(ARF)-p53 signaling.,Genes Dev.,Shvarts et al.,16,,"Shvarts, A et al.",2002,,6,681-686,,,,
12082615,"['Apoptosis', 'Cell Aging/genetics', 'Cell Cycle/genetics', 'Cell Division/genetics', 'Cell Transformation, Viral/genetics', 'Clone Cells/cytology/metabolism', 'Cyclin-Dependent Kinase 4', 'Cyclin-Dependent Kinase 6', 'Cyclin-Dependent Kinase Inhibitor p16/biosynthesis', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclin-Dependent Kinases/genetics/physiology', 'Cyclins/biosynthesis/genetics', 'Fibroblasts/cytology/metabolism', 'Genes, Retinoblastoma', 'Genes, p16', 'Genes, p53', 'Genetic Vectors/genetics/pharmacology', 'Humans', 'Models, Biological', 'Oncogene Proteins, Viral/genetics/physiology', 'Papillomavirus E7 Proteins', 'Protein Binding', 'Protein-Serine-Threonine Kinases/genetics/physiology', 'Proto-Oncogene Proteins', 'Recombinant Fusion Proteins/physiology', 'Repressor Proteins', 'Retinoblastoma Protein/physiology', 'Tumor Suppressor Protein p53/deficiency/physiology']",Sequential extension of proliferative lifespan in human fibroblasts induced by over-expression of CDK4 or 6 and loss of p53 function.,Oncogene,Morris et al.,21,,"Morris, M et al.",2002,,27,4277-4288,,,,
12177246,"['Cell Aging/physiology', 'Cell Cycle Proteins/biosynthesis', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p16/biosynthesis', 'Cyclin-Dependent Kinase Inhibitor p21', 'Cyclin-Dependent Kinase Inhibitor p27', 'Cyclins/biosynthesis', 'DNA-Binding Proteins/physiology', 'Endothelium, Vascular/cytology/physiology', 'Gene Expression Regulation/physiology', 'Helix-Loop-Helix Motifs', 'Humans', 'Inhibitor of Differentiation Protein 1', 'Repressor Proteins', 'Transcription Factors/physiology', 'Tumor Suppressor Proteins/biosynthesis']",The helix-loop-helix protein id-1 delays onset of replicative senescence in human endothelial cells.,Lab. Invest.,Tang et al.,82,,"Tang, J et al.",2002,,8,1073-1079,,,,
12208764,"['Calcium-Calmodulin-Dependent Protein Kinases/metabolism/physiology', 'Cell Aging/physiology', 'Cell Cycle/physiology', 'Cell Division/physiology', 'Enzyme Activation', 'Gene Expression Regulation, Neoplastic', 'Humans', 'JNK Mitogen-Activated Protein Kinases', 'MAP Kinase Kinase 4', 'MAP Kinase Kinase 6', 'MAP Kinase Signaling System/physiology', 'Mitogen-Activated Protein Kinase Kinases/metabolism/physiology', 'Mitogen-Activated Protein Kinases/metabolism/physiology', 'Osteosarcoma/enzymology/pathology', 'Oxidative Stress/physiology', 'Tumor Cells, Cultured', 'p38 Mitogen-Activated Protein Kinases']",Constitutive p38HOG mitogen-activated protein kinase activation induces permanent cell cycle arrest and senescence.,Cancer Res.,Haq et al.,62,,"Haq, R et al.",2002,,17,5076-5082,,,,
12482990,"['Cell Aging/physiology', 'Cell Division/genetics', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'DNA Replication', 'Fibroblasts/cytology/physiology', 'Helix-Turn-Helix Motifs', 'Humans', 'Mutation', 'Nuclear Proteins/genetics/metabolism', 'Oxygen/metabolism', 'Polycomb Repressive Complex 1', 'Polycomb-Group Proteins', 'Protein Structure, Tertiary', 'Proto-Oncogene Proteins/genetics/metabolism', 'Repressor Proteins', 'Retinoblastoma Protein/genetics/metabolism', 'Telomerase/genetics/metabolism', 'Telomere/genetics', 'Tumor Suppressor Protein p53/genetics/metabolism']",Control of the replicative life span of human fibroblasts by p16 and the polycomb protein Bmi-1.,Mol. Cell. Biol.,Itahana et al.,23,,"Itahana, K et al.",2003,,1,389-401,,,,
12581156,"['Animals', 'Cell Aging/physiology', 'Cell Line', 'Enzyme Activation', 'Enzyme Inhibitors/pharmacology', 'Fibroblasts/cytology/metabolism', 'Genes, ras', 'Humans', 'Imidazoles/pharmacology', 'MAP Kinase Signaling System', 'Mice', 'Mitogen-Activated Protein Kinases/drug effects/metabolism', 'Models, Biological', 'Oxidative Stress', 'Papillomaviridae/metabolism', 'Pyridines/pharmacology', 'Retinoblastoma Protein/metabolism', 'Signal Transduction', 'Telomerase/metabolism', 'Telomere/metabolism', 'p38 Mitogen-Activated Protein Kinases', 'ras Proteins/metabolism']",Mitogen-activated protein kinase p38 defines the common senescence-signalling pathway.,Genes Cells,Iwasa et al.,8,,"Iwasa, H et al.",2003,,2,131-144,,,,
12721301,"['Antineoplastic Agents/pharmacology', 'Cell Cycle/drug effects/genetics', 'Down-Regulation/drug effects', 'Exoribonucleases/genetics', 'Gene Expression Regulation, Neoplastic/drug effects', 'Genes, myc', 'Humans', 'Interferon-beta/pharmacology', 'Melanoma/enzymology/genetics/pathology', 'Polyribonucleotide Nucleotidyltransferase/genetics', 'Tumor Cells, Cultured']",Down-regulation of Myc as a potential target for growth arrest induced by human polynucleotide phosphorylase (hPNPaseold-35) in human melanoma cells.,J. Biol. Chem.,Sarkar et al.,278,,"Sarkar, D et al.",2003,,27,24542-24551,,,,
12761891,"['Amino Acid Sequence', 'Base Sequence', 'Cell Aging/physiology', 'Cell Division/physiology', 'DNA, Complementary', 'DNA-Binding Proteins/genetics/metabolism/physiology', 'Fibroblasts/metabolism', 'Humans', 'Molecular Sequence Data', 'Sequence Homology, Amino Acid', 'Smad4 Protein', 'Trans-Activators/genetics/metabolism/physiology']","hMad4, c-Myc endogenous inhibitor, induces a replicative senescence-like state when overexpressed in human fibroblasts.",J. Cell. Biochem.,Marcotte et al.,89,,"Marcotte, R et al.",2003,,3,576-588,,,,
12842909,"['Cell Aging', 'Cell Division', 'Cell Transformation, Neoplastic', 'Cells, Cultured', 'DNA Helicases/genetics/physiology', 'DNA-Binding Proteins', 'Exodeoxyribonucleases', 'Gene Expression Regulation', 'Genes, myc', 'Humans', 'Models, Biological', 'Promoter Regions, Genetic', 'Proto-Oncogene Proteins c-myc/genetics/physiology', 'RNA Interference', 'RNA, Messenger/genetics/metabolism', 'RecQ Helicases', 'Telomerase/genetics/metabolism', 'Transcription, Genetic', 'Tumor Cells, Cultured', 'Up-Regulation', 'Werner Syndrome/genetics', 'Werner Syndrome Helicase']",Werner syndrome protein limits MYC-induced cellular senescence.,Genes Dev.,Grandori et al.,17,,"Grandori, C et al.",2003,,13,1569-1574,,,,
12871978,"['Aging', 'Anions', 'Blotting, Western', 'Cell Aging', 'Cell Death', 'Cell Line', 'Fibroblasts/metabolism', 'Genetic Vectors', 'HeLa Cells', 'Humans', 'Microscopy, Fluorescence', 'Oxygen/metabolism', 'Plasmids/metabolism', 'RNA Interference', 'Reactive Oxygen Species', 'Superoxide Dismutase/genetics/metabolism', 'Transfection', 'Transgenes', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53/metabolism', 'beta-Galactosidase/metabolism']",Superoxide dismutase 1 knock-down induces senescence in human fibroblasts.,J. Biol. Chem.,Blander et al.,278,,"Blander, G et al.",2003,,40,38966-38969,,,,
14604992,"['Antigens, CD44/biosynthesis', 'Apoptosis', 'Cell Aging', 'Cell Cycle', 'Cell Division', 'Cell Line, Tumor', 'Chromatin/metabolism', 'Chromosomal Proteins, Non-Histone', 'Cyclin D1/metabolism', 'Cyclin-Dependent Kinase Inhibitor p16/physiology', 'DNA-Binding Proteins/metabolism', 'Down-Regulation', 'Electrophoresis, Polyacrylamide Gel', 'G1 Phase', 'HeLa Cells', 'Humans', 'Immunoblotting', 'Lentivirus/genetics', 'Neoplasm Metastasis', 'Precipitin Tests', 'Promoter Regions, Genetic', 'RNA, Messenger/metabolism', 'RNA, Small Interfering/metabolism', 'Resting Phase, Cell Cycle', 'Retinoblastoma Protein/metabolism', 'Rhabdoid Tumor/metabolism', 'SMARCB1 Protein', 'Time Factors', 'Transcription Factors', 'Transcriptional Activation', 'Tumor Suppressor Protein p14ARF/metabolism', 'Tumor Suppressor Protein p53/metabolism']",P16INK4a is required for hSNF5 chromatin remodeler-induced cellular senescence in malignant rhabdoid tumor cells.,J. Biol. Chem.,Oruetxebarria et al.,279,,"Oruetxebarria, I et al.",2004,,5,3807-3816,,,,
14647293,"['ADP-Ribosylation Factor 1/genetics/metabolism', 'Amino Acid Sequence/genetics', 'Animals', 'Base Sequence/genetics', 'Cell Aging/genetics', 'Cell Line, Transformed/cytology/metabolism', 'Cell Survival/genetics', 'Cell Transformation, Neoplastic/genetics', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'DNA, Complementary/analysis/genetics', 'Down-Regulation/genetics', 'Epithelial Cells/metabolism', 'Humans', 'Mice', 'Molecular Sequence Data', 'Nuclear Proteins/genetics/metabolism', 'Polycomb Repressive Complex 1', 'Polycomb-Group Proteins', 'Proto-Oncogene Proteins/genetics/metabolism', 'RNA/genetics', 'Repressor Proteins/genetics/isolation & purification/metabolism', 'Sequence Homology, Nucleic Acid']",Polycomb CBX7 has a unifying role in cellular lifespan.,Nat. Cell Biol.,Gil et al.,6,,"Gil, J et al.",2004,,1,67-72,,,,
14701721,"['Animals', 'Cell Aging/physiology', 'Cell Line', 'G1 Phase', 'Humans', 'Intestinal Mucosa/cytology/physiology', 'MAP Kinase Kinase 1', 'Mitogen-Activated Protein Kinase Kinases/genetics/physiology', 'Mitogen-Activated Protein Kinases/physiology', 'Mutation', 'Proteins/metabolism', 'Rats', 'Signal Transduction/physiology']",Dual role of MEK/ERK signaling in senescence and transformation of intestinal epithelial cells.,Am. J. Physiol. Gastrointest. Liver Physiol.,Boucher et al.,286,,"Boucher, MJ et al.",2004,,5,G736-G746,,,,
15263006,"['Antigens, CD29/analysis', 'Caveolin 1', 'Caveolins/metabolism/physiology', 'Cell Aging', 'Cell Size', 'Cells, Cultured', 'Fibroblasts/cytology', 'Focal Adhesion Kinase 1', 'Focal Adhesion Protein-Tyrosine Kinases', 'Focal Adhesions', 'Humans', 'Integrins/analysis', 'Protein Binding', 'Protein-Tyrosine Kinases/analysis/metabolism', 'Transfection', 'Up-Regulation', 'cdc42 GTP-Binding Protein/analysis/metabolism', 'rac1 GTP-Binding Protein/analysis/metabolism', 'rho GTP-Binding Proteins/analysis']",Morphological adjustment of senescent cells by modulating caveolin-1 status.,J. Biol. Chem.,Cho et al.,279,,"Cho, KA et al.",2004,,40,42270-42278,,,,
