mapping,gene_symbol,gene_name,entrez_id,total,overexp,underexp,p_value,classification,ensembl,alias
NULL,RND3,Rho family GTPase 3,390,20,1,0,0.001568256,NULL,NULL,NULL
NULL,STS,steroid sulfatase,412,20,1,0,0.001568256,NULL,NULL,NULL
NULL,ASAH1,N-acylsphingosine amidohydrolase 1,427,19,1,0,0.000016,NULL,NULL,NULL
NULL,ASNS,asparagine synthetase (glutamine-hydrolyzing),440,19,0,1,0.000032,NULL,NULL,NULL
NULL,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,493,20,1,0,0.0000251,NULL,NULL,NULL
NULL,ATP5F1C,ATP synthase F1 subunit gamma,509,20,0,1,0.002548858,NULL,NULL,NULL
NULL,ATP6V1A,ATPase H+ transporting V1 subunit A,523,21,1,0,0.0000382,NULL,NULL,NULL
NULL,ATP6V0C,ATPase H+ transporting V0 subunit c,527,20,1,0,0.00021949,NULL,NULL,NULL
NULL,ATP6AP1,ATPase H+ transporting accessory protein 1,537,21,1,0,0.0000039,NULL,NULL,NULL
NULL,BARD1,BRCA1 associated RING domain 1,580,17,0,1,0.000120396,NULL,NULL,NULL
NULL,CCND1,cyclin D1,595,18,1,0,0.000000777,NULL,NULL,NULL
NULL,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",617,20,0,1,0.00039374,NULL,NULL,NULL
NULL,BGN,biglycan,633,20,0,1,0.002548858,NULL,NULL,NULL
NULL,BLM,BLM RecQ like helicase,641,17,0,1,0.000120396,NULL,NULL,NULL
NULL,BPGM,bisphosphoglycerate mutase,669,21,1,0,0.00031014,NULL,NULL,NULL
NULL,BRCA1,BRCA1 DNA repair associated,672,17,0,1,0.000986749,NULL,NULL,NULL
NULL,BTC,betacellulin,685,17,1,0,0.004278705,NULL,NULL,NULL
NULL,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,699,18,0,1,0.000000007,NULL,NULL,NULL
NULL,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,701,17,0,1,0.0000118,NULL,NULL,NULL
NULL,C1QBP,complement C1q binding protein,708,16,0,1,0.0000757,NULL,NULL,NULL
NULL,C3,complement C3,718,15,1,0,0.002324938,NULL,NULL,NULL
NULL,SLC25A20,solute carrier family 25 member 20,788,19,1,0,0.000151463,NULL,NULL,NULL
NULL,CALD1,caldesmon 1,800,20,1,0,0.0000251,NULL,NULL,NULL
NULL,CASP1,caspase 1,834,18,0,1,0.001387913,NULL,NULL,NULL
NULL,CAV2,caveolin 2,858,16,1,0,0.003195709,NULL,NULL,NULL
NULL,RUNX1T1,RUNX1 partner transcriptional co-repressor 1,862,21,0,1,0.0033472,NULL,NULL,NULL
NULL,CBR3,carbonyl reductase 3,874,18,0,1,0.001387913,NULL,NULL,NULL
NULL,CBS,cystathionine beta-synthase,875,11,0,1,0.006447211,NULL,NULL,NULL
NULL,CCNA2,cyclin A2,890,21,0,1,2.26E-10,NULL,NULL,NULL
NULL,CCNB1,cyclin B1,891,16,0,1,0.00000666,NULL,NULL,NULL
NULL,CCND2,cyclin D2,894,19,1,0,0.001163626,NULL,NULL,NULL
NULL,CCNF,cyclin F,899,16,0,1,0.000000465,NULL,NULL,NULL
NULL,CCNG1,cyclin G1,900,18,1,0,0.000843996,NULL,NULL,NULL
NULL,CD36,CD36 molecule,948,19,1,0,0.000151463,NULL,NULL,NULL
NULL,CD81,CD81 molecule,975,21,1,0,0.00031014,NULL,NULL,NULL
NULL,CDK1,cyclin dependent kinase 1,983,19,0,1,1.55E-08,NULL,NULL,NULL
NULL,CDC6,cell division cycle 6,990,21,0,1,0.000000799,NULL,NULL,NULL
NULL,CDC20,cell division cycle 20,991,16,0,1,0.000000465,NULL,NULL,NULL
NULL,CDC25B,cell division cycle 25B,994,21,0,1,0.00000849,NULL,NULL,NULL
NULL,CDC25C,cell division cycle 25C,995,18,0,1,0.00018442,NULL,NULL,NULL
NULL,CDH10,cadherin 10,1008,15,1,0,0.002324938,NULL,NULL,NULL
NULL,CDH11,cadherin 11,1009,20,0,1,0.002548858,NULL,NULL,NULL
NULL,CDK2,cyclin dependent kinase 2,1017,19,0,1,0.000032,NULL,NULL,NULL
NULL,CDK4,cyclin dependent kinase 4,1019,20,0,1,0.00000519,NULL,NULL,NULL
NULL,CDKN1A,cyclin dependent kinase inhibitor 1A,1026,16,1,0,0.000000207,NULL,NULL,NULL
NULL,CDKN2A,cyclin dependent kinase inhibitor 2A,1029,14,1,0,0.001640363,NULL,NULL,NULL
NULL,CDKN2B,cyclin dependent kinase inhibitor 2B,1030,20,1,0,0.00021949,NULL,NULL,NULL
NULL,CDKN2C,cyclin dependent kinase inhibitor 2C,1031,19,0,1,0.00000306,NULL,NULL,NULL
NULL,CDKN3,cyclin dependent kinase inhibitor 3,1033,19,0,1,0.00000024,NULL,NULL,NULL
NULL,CENPA,centromere protein A,1058,14,0,1,0.00000178,NULL,NULL,NULL
NULL,CENPE,centromere protein E,1062,19,0,1,0.00000306,NULL,NULL,NULL
NULL,CENPF,centromere protein F,1063,18,0,1,0.000000122,NULL,NULL,NULL
NULL,CTSC,cathepsin C,1075,20,0,1,0.00039374,NULL,NULL,NULL
NULL,CHD1,chromodomain helicase DNA binding protein 1,1105,19,0,1,0.001902323,NULL,NULL,NULL
NULL,CHEK1,checkpoint kinase 1,1111,19,0,1,0.000273358,NULL,NULL,NULL
NULL,CKS1B,CDC28 protein kinase regulatory subunit 1B,1163,17,0,1,0.0000118,NULL,NULL,NULL
NULL,CKS2,CDC28 protein kinase regulatory subunit 2,1164,21,0,1,0.00000849,NULL,NULL,NULL
NULL,CNN1,calponin 1,1264,21,1,0,0.00031014,NULL,NULL,NULL
NULL,COL6A3,collagen type VI alpha 3 chain,1293,21,0,1,0.0033472,NULL,NULL,NULL
NULL,COL8A1,collagen type VIII alpha 1 chain,1295,19,1,0,0.000151463,NULL,NULL,NULL
NULL,COL15A1,collagen type XV alpha 1 chain,1306,16,0,1,0.004818595,NULL,NULL,NULL
NULL,SLC31A2,solute carrier family 31 member 2,1318,20,1,0,0.001568256,NULL,NULL,NULL
NULL,COX7A1,cytochrome c oxidase subunit 7A1,1346,19,1,0,0.000016,NULL,NULL,NULL
NULL,CRYAB,crystallin alpha B,1410,20,1,0,0.00021949,NULL,NULL,NULL
NULL,CSE1L,chromosome segregation 1 like,1434,19,0,1,0.000273358,NULL,NULL,NULL
NULL,CTGF,cellular communication network factor 2,1490,19,1,0,0.001163626,NULL,NULL,NULL
NULL,CTSB,cathepsin B,1508,21,1,0,0.0000382,NULL,NULL,NULL
NULL,CTSD,cathepsin D,1509,18,1,0,0.00000986,NULL,NULL,NULL
NULL,CTSZ,cathepsin Z,1522,20,1,0,0.00021949,NULL,NULL,NULL
NULL,DAB2,DAB adaptor protein 2,1601,19,1,0,0.000151463,NULL,NULL,NULL
NULL,DGKA,diacylglycerol kinase alpha,1606,15,1,0,0.002324938,NULL,NULL,NULL
NULL,DARS,aspartyl-tRNA synthetase 1,1615,21,0,1,0.000553004,NULL,NULL,NULL
NULL,DBI,"diazepam binding inhibitor, acyl-CoA binding protein",1622,19,0,1,0.000273358,NULL,NULL,NULL
NULL,DDB2,damage specific DNA binding protein 2,1643,17,1,0,0.004278705,NULL,NULL,NULL
NULL,GADD45A,growth arrest and DNA damage inducible alpha,1647,20,1,0,0.00021949,NULL,NULL,NULL
NULL,DDX11,DEAD/H-box helicase 11,1663,13,0,1,0.001712028,NULL,NULL,NULL
NULL,DHX15,DEAH-box helicase 15,1665,16,0,1,0.004818595,NULL,NULL,NULL
NULL,DFFB,DNA fragmentation factor subunit beta,1677,14,0,1,0.002501721,NULL,NULL,NULL
NULL,DHFR,dihydrofolate reductase,1719,18,0,1,0.0000198,NULL,NULL,NULL
NULL,DIO2,iodothyronine deiodinase 2,1734,17,1,0,0.004278705,NULL,NULL,NULL
NULL,DKC1,dyskerin pseudouridine synthase 1,1736,14,0,1,0.0000259,NULL,NULL,NULL
NULL,DNA2,DNA replication helicase/nuclease 2,1763,17,0,1,0.006415198,NULL,NULL,NULL
NULL,DNASE1L1,deoxyribonuclease 1 like 1,1774,19,1,0,0.000151463,NULL,NULL,NULL
NULL,DNMT1,DNA methyltransferase 1,1786,19,0,1,0.000032,NULL,NULL,NULL
NULL,DPP4,dipeptidyl peptidase 4,1803,19,1,0,0.000016,NULL,NULL,NULL
NULL,DPYSL3,dihydropyrimidinase like 3,1809,18,0,1,0.00018442,NULL,NULL,NULL
NULL,DTYMK,deoxythymidylate kinase,1841,18,0,1,0.001387913,NULL,NULL,NULL
NULL,DUSP3,dual specificity phosphatase 3,1845,21,1,0,0.0000382,NULL,NULL,NULL
NULL,DUSP6,dual specificity phosphatase 6,1848,20,1,0,0.00021949,NULL,NULL,NULL
NULL,DUT,deoxyuridine triphosphatase,1854,21,0,1,0.00000849,NULL,NULL,NULL
NULL,E2F2,E2F transcription factor 2,1870,19,0,1,0.001902323,NULL,NULL,NULL
NULL,ECT2,epithelial cell transforming 2,1894,18,0,1,0.00000172,NULL,NULL,NULL
NULL,EDN1,endothelin 1,1906,18,1,0,0.000843996,NULL,NULL,NULL
NULL,PHC1,polyhomeotic homolog 1,1911,17,0,1,0.006415198,NULL,NULL,NULL
NULL,EGR1,early growth response 1,1958,19,0,1,0.000273358,NULL,NULL,NULL
NULL,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1,1978,19,0,1,0.000032,NULL,NULL,NULL
NULL,EMP2,epithelial membrane protein 2,2013,15,0,1,0.003525589,NULL,NULL,NULL
NULL,ENO1,enolase 1,2023,20,0,1,0.00039374,NULL,NULL,NULL
NULL,EPAS1,endothelial PAS domain protein 1,2034,21,1,0,0.002071502,NULL,NULL,NULL
NULL,EPB41L2,erythrocyte membrane protein band 4.1 like 2,2037,21,0,1,0.0033472,NULL,NULL,NULL
NULL,EPHA4,EPH receptor A4,2043,18,1,0,0.000101565,NULL,NULL,NULL
NULL,CLN8,complement factor H,2055,19,1,0,0.001163626,NULL,NULL,NULL
NULL,ERH,ERH mRNA splicing and mitosis factor,2079,17,0,1,0.006415198,NULL,NULL,NULL
NULL,FBL,fibrillarin,2091,20,0,1,0.00000519,NULL,NULL,NULL
NULL,ETS1,"ETS proto-oncogene 1, transcription factor",2113,20,0,1,0.00039374,NULL,NULL,NULL
NULL,ETV4,ETS variant transcription factor 4,2118,18,0,1,0.00018442,NULL,NULL,NULL
NULL,EWSR1,EWS RNA binding protein 1,2130,21,0,1,0.0033472,NULL,NULL,NULL
NULL,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,2146,20,0,1,0.000000449,NULL,NULL,NULL
NULL,F3,"coagulation factor III, tissue factor",2152,20,1,0,0.0000251,NULL,NULL,NULL
NULL,FABP5,fatty acid binding protein 5,2171,16,0,1,0.004818595,NULL,NULL,NULL
NULL,FANCA,FA complementation group A,2175,15,0,1,0.003525589,NULL,NULL,NULL
NULL,FANCD2,FA complementation group D2,2177,16,0,1,0.004818595,NULL,NULL,NULL
NULL,FANCE,FA complementation group E,2178,15,0,1,0.00000356,NULL,NULL,NULL
NULL,FANCG,FA complementation group G,2189,17,0,1,0.0000118,NULL,NULL,NULL
NULL,FAT1,FAT atypical cadherin 1,2195,18,1,0,0.000101565,NULL,NULL,NULL
NULL,EFEMP1,EGF containing fibulin extracellular matrix protein 1,2202,20,1,0,0.001568256,NULL,NULL,NULL
NULL,FEN1,flap structure-specific endonuclease 1,2237,19,0,1,0.00000024,NULL,NULL,NULL
NULL,FGF2,fibroblast growth factor 2,2247,20,1,0,0.00021949,NULL,NULL,NULL
NULL,FH,fumarate hydratase,2271,18,0,1,0.001387913,NULL,NULL,NULL
NULL,FHL1,four and a half LIM domains 1,2273,19,1,0,0.001163626,NULL,NULL,NULL
NULL,FKBP5,FKBP prolyl isomerase 5,2289,12,0,1,0.000000336,NULL,NULL,NULL
NULL,FOXM1,forkhead box M1,2305,15,0,1,0.000000218,NULL,NULL,NULL
NULL,FLNC,filamin C,2318,18,1,0,0.000843996,NULL,NULL,NULL
NULL,FN1,fibronectin 1,2335,20,1,0,0.00000237,NULL,NULL,NULL
NULL,FOLR3,folate receptor gamma,2352,18,1,0,0.000843996,NULL,NULL,NULL
NULL,CENPI,centromere protein I,2491,16,0,1,0.000680977,NULL,NULL,NULL
NULL,FTH1,ferritin heavy chain 1,2495,15,1,0,0.000271213,NULL,NULL,NULL
NULL,FUCA1,alpha-L-fucosidase 1,2517,18,1,0,0.000101565,NULL,NULL,NULL
NULL,FUS,FUS RNA binding protein,2521,18,0,1,0.0000198,NULL,NULL,NULL
NULL,FUT4,fucosyltransferase 4,2526,17,0,1,0.006415198,NULL,NULL,NULL
NULL,IFI6,interferon alpha inducible protein 6,2537,19,1,0,5.75E-09,NULL,NULL,NULL
NULL,GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",2618,18,0,1,0.001387913,NULL,NULL,NULL
NULL,GAS6,growth arrest specific 6,2621,19,1,0,0.00000139,NULL,NULL,NULL
NULL,GBA,glucosylceramidase beta,2629,11,1,0,0.000449017,NULL,NULL,NULL
NULL,GEM,GTP binding protein overexpressed in skeletal muscle,2669,18,0,1,0.001387913,NULL,NULL,NULL
NULL,GFPT1,glutamine--fructose-6-phosphate transaminase 1,2673,20,1,0,0.001568256,NULL,NULL,NULL
NULL,GLB1,CLN8 transmembrane ER and ERGIC protein,2720,8,1,0,0.001145931,NULL,NULL,NULL
NULL,GLS,glutaminase,2744,19,1,0,0.000016,NULL,NULL,NULL
NULL,GLRX,glutaredoxin,2745,20,1,0,0.00000237,NULL,NULL,NULL
NULL,GLUL,glutamate-ammonia ligase,2752,20,0,1,0.00039374,NULL,NULL,NULL
NULL,GM2A,GM2 ganglioside activator,2760,19,1,0,0.001163626,NULL,NULL,NULL
NULL,GOLGB1,golgin B1,2804,20,1,0,0.001568256,NULL,NULL,NULL
NULL,GPC1,glypican 1,2817,19,1,0,0.001163626,NULL,NULL,NULL
NULL,GPER1,G protein-coupled estrogen receptor 1,2852,19,1,0,0.001163626,NULL,NULL,NULL
NULL,GRN,granulin precursor,2896,21,1,0,0.000000332,NULL,NULL,NULL
NULL,GRINA,glutamate ionotropic receptor NMDA type subunit associated protein 1,2907,18,1,0,0.000843996,NULL,NULL,NULL
NULL,MSH6,mutS homolog 6,2956,16,0,1,0.000680977,NULL,NULL,NULL
NULL,GUCY1B1,guanylate cyclase 1 soluble subunit beta 1,2983,18,0,1,0.001387913,NULL,NULL,NULL
NULL,GUSB,glucuronidase beta,2990,17,0,1,0.000986749,NULL,NULL,NULL
NULL,H1F0,H1.0 linker histone,3005,19,0,1,0.000032,NULL,NULL,NULL
NULL,HIST1H1C,"H1.2 linker histone, cluster member",3006,20,1,0,0.000000185,NULL,NULL,NULL
NULL,HIST1H1B,"H1.5 linker histone, cluster member",3009,16,0,1,0.004818595,NULL,NULL,NULL
NULL,H2AFX,H2A.X variant histone,3014,20,0,1,0.00039374,NULL,NULL,NULL
NULL,H2AFZ,H2A.Z variant histone 1,3015,18,0,1,0.000000122,NULL,NULL,NULL
NULL,HIST1H2BD,H2B clustered histone 5,3017,18,1,0,0.00000986,NULL,NULL,NULL
NULL,HIST1H1A,"H1.1 linker histone, cluster member",3024,16,0,1,0.004818595,NULL,NULL,NULL
NULL,HAGH,hydroxyacylglutathione hydrolase,3029,19,1,0,0.000151463,NULL,NULL,NULL
NULL,HAS2,hyaluronan synthase 2,3037,16,0,1,0.004818595,NULL,NULL,NULL
NULL,HELLS,"helicase, lymphoid specific",3070,19,0,1,0.00000024,NULL,NULL,NULL
NULL,HEXB,hexosaminidase subunit beta,3074,19,1,0,0.000151463,NULL,NULL,NULL
NULL,HLA-B,"major histocompatibility complex, class I, B",3106,15,1,0,0.002324938,NULL,NULL,NULL
NULL,HMGB1,high mobility group box 1,3146,20,0,1,0.00000519,NULL,NULL,NULL
NULL,HMGB2,high mobility group box 2,3148,19,0,1,0.00000306,NULL,NULL,NULL
NULL,HMGB3,high mobility group box 3,3149,21,0,1,0.000553004,NULL,NULL,NULL
NULL,HMGN2,high mobility group nucleosomal binding domain 2,3151,17,0,1,0.000120396,NULL,NULL,NULL
NULL,HMGA1,high mobility group AT-hook 1,3159,20,0,1,0.00039374,NULL,NULL,NULL
NULL,HMMR,hyaluronan mediated motility receptor,3161,18,0,1,0.00000172,NULL,NULL,NULL
NULL,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,3178,20,0,1,0.000000449,NULL,NULL,NULL
NULL,HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,3181,20,0,1,0.00000519,NULL,NULL,NULL
NULL,HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B,3182,21,0,1,0.00000849,NULL,NULL,NULL
NULL,HNRNPC,heterogeneous nuclear ribonucleoprotein C,3183,17,0,1,0.006415198,NULL,NULL,NULL
NULL,HNRNPD,heterogeneous nuclear ribonucleoprotein D,3184,20,0,1,0.000000449,NULL,NULL,NULL
NULL,HNRNPF,heterogeneous nuclear ribonucleoprotein F,3185,19,0,1,0.000273358,NULL,NULL,NULL
NULL,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1,3187,20,0,1,0.002548858,NULL,NULL,NULL
NULL,HNRNPH3,heterogeneous nuclear ribonucleoprotein H3,3189,21,0,1,0.000553004,NULL,NULL,NULL
NULL,HNRNPU,heterogeneous nuclear ribonucleoprotein U,3192,19,0,1,0.001902323,NULL,NULL,NULL
NULL,HOXA5,homeobox A5,3202,18,0,1,0.001387913,NULL,NULL,NULL
NULL,HPRT1,hypoxanthine phosphoribosyltransferase 1,3251,21,0,1,0.0000752,NULL,NULL,NULL
NULL,HSPA2,heat shock protein family A (Hsp70) member 2,3306,17,0,1,0.006415198,NULL,NULL,NULL
NULL,ICAM1,intercellular adhesion molecule 1,3383,16,1,0,0.003195709,NULL,NULL,NULL
NULL,ID4,"inhibitor of DNA binding 4, HLH protein",3400,17,0,1,0.000986749,NULL,NULL,NULL
NULL,IDS,iduronate 2-sulfatase,3423,19,1,0,0.000151463,NULL,NULL,NULL
NULL,IFI27,peripheral myelin protein 22,3429,19,1,0,0.001163626,NULL,NULL,NULL
NULL,SP110,SP110 nuclear body protein,3431,19,1,0,0.001163626,NULL,NULL,NULL
NULL,IFIT2,interferon induced protein with tetratricopeptide repeats 2,3433,18,1,0,0.000101565,NULL,NULL,NULL
NULL,IFIT1,interferon induced protein with tetratricopeptide repeats 1,3434,18,1,0,0.000843996,NULL,NULL,NULL
NULL,IFIT3,interferon induced protein with tetratricopeptide repeats 3,3437,15,1,0,0.002324938,NULL,NULL,NULL
NULL,IGF2R,insulin like growth factor 2 receptor,3482,20,1,0,0.0000251,NULL,NULL,NULL
NULL,IGFBP3,insulin like growth factor binding protein 3,3486,19,1,0,0.001163626,NULL,NULL,NULL
NULL,IGFBP5,insulin like growth factor binding protein 5,3488,19,1,0,5.75E-09,NULL,NULL,NULL
NULL,IGFBP7,insulin like growth factor binding protein 7,3490,21,1,0,2.36E-08,NULL,NULL,NULL
NULL,IL11,interleukin 11,3589,19,0,1,0.000273358,NULL,NULL,NULL
NULL,ILF2,interleukin enhancer binding factor 2,3608,21,0,1,0.0000752,NULL,NULL,NULL
NULL,ILF3,interleukin enhancer binding factor 3,3609,20,0,1,0.0000498,NULL,NULL,NULL
NULL,IMPA2,inositol monophosphatase 2,3613,18,0,1,0.001387913,NULL,NULL,NULL
NULL,IMPDH2,inosine monophosphate dehydrogenase 2,3615,20,0,1,0.00000519,NULL,NULL,NULL
NULL,CXCL10,C-X-C motif chemokine ligand 10,3627,16,1,0,0.003195709,NULL,NULL,NULL
NULL,INPP5D,inositol polyphosphate-5-phosphatase D,3635,18,1,0,0.000843996,NULL,NULL,NULL
NULL,INSIG1,insulin induced gene 1,3638,19,0,1,0.000273358,NULL,NULL,NULL
NULL,ITGA2,integrin subunit alpha 2,3673,20,1,0,0.001568256,NULL,NULL,NULL
NULL,ITGAV,integrin subunit alpha V,3685,20,1,0,0.001568256,NULL,NULL,NULL
NULL,ITGB5,integrin subunit beta 5,3693,20,1,0,0.001568256,NULL,NULL,NULL
NULL,KCNJ2,potassium inwardly rectifying channel subfamily J member 2,3759,19,1,0,0.000151463,NULL,NULL,NULL
NULL,KCNN2,potassium calcium-activated channel subfamily N member 2,3781,19,1,0,0.001163626,NULL,NULL,NULL
NULL,KIF3C,kinesin family member 3C,3797,19,1,0,0.000151463,NULL,NULL,NULL
NULL,KIF11,kinesin family member 11,3832,19,0,1,0.00000024,NULL,NULL,NULL
NULL,KIFC1,kinesin family member C1,3833,19,0,1,0.00000306,NULL,NULL,NULL
NULL,KIF22,kinesin family member 22,3835,16,0,1,0.000680977,NULL,NULL,NULL
NULL,KPNA2,karyopherin subunit alpha 2,3838,19,0,1,0.00000024,NULL,NULL,NULL
NULL,L1CAM,C1D nuclear receptor corepressor,3897,19,1,0,0.000016,NULL,NULL,NULL
NULL,LAMB2,laminin subunit beta 2,3913,21,1,0,0.002071502,NULL,NULL,NULL
NULL,LAMC1,laminin subunit gamma 1,3915,19,1,0,0.000151463,NULL,NULL,NULL
NULL,STMN1,stathmin 1,3925,20,0,1,0.0000498,NULL,NULL,NULL
NULL,LBR,lamin B receptor,3930,21,0,1,0.000000799,NULL,NULL,NULL
NULL,LIPA,"lipase A, lysosomal acid type",3988,16,1,0,0.003195709,NULL,NULL,NULL
NULL,LMNB1,lamin B1,4001,17,0,1,0.0000118,NULL,NULL,NULL
NULL,LOX,lysyl oxidase,4015,20,1,0,0.001568256,NULL,NULL,NULL
NULL,LOXL2,lysyl oxidase like 2,4017,20,1,0,0.00021949,NULL,NULL,NULL
NULL,LRP1,LDL receptor related protein 1,4035,19,1,0,0.000016,NULL,NULL,NULL
NULL,LRPAP1,LDL receptor related protein associated protein 1,4043,18,1,0,0.000843996,NULL,NULL,NULL
NULL,LSAMP,limbic system associated membrane protein,4045,19,0,1,0.001902323,NULL,NULL,NULL
NULL,LUM,lumican,4060,20,1,0,0.00000237,NULL,NULL,NULL
NULL,MAD2L1,mitotic arrest deficient 2 like 1,4085,20,0,1,1.9E-09,NULL,NULL,NULL
NULL,MANBA,mannosidase beta,4126,20,1,0,0.00021949,NULL,NULL,NULL
NULL,MAT2A,methionine adenosyltransferase 2A,4144,21,0,1,0.0000752,NULL,NULL,NULL
NULL,MATN2,matrilin 2,4147,20,0,1,0.00039374,NULL,NULL,NULL
NULL,MCM2,minichromosome maintenance complex component 2,4171,17,0,1,0.000120396,NULL,NULL,NULL
NULL,MCM3,minichromosome maintenance complex component 3,4172,19,0,1,1.55E-08,NULL,NULL,NULL
NULL,MCM4,minichromosome maintenance complex component 4,4173,20,0,1,0.000000449,NULL,NULL,NULL
NULL,MCM5,minichromosome maintenance complex component 5,4174,20,0,1,0.00000519,NULL,NULL,NULL
NULL,MCM6,minichromosome maintenance complex component 6,4175,20,0,1,0.000000449,NULL,NULL,NULL
NULL,MCM7,minichromosome maintenance complex component 7,4176,17,0,1,0.0000118,NULL,NULL,NULL
NULL,DNAJB9,DnaJ heat shock protein family (Hsp40) member B9,4189,19,1,0,0.000016,NULL,NULL,NULL
NULL,MDK,midkine,4192,20,0,1,0.00039374,NULL,NULL,NULL
NULL,MDM2,MDM2 proto-oncogene,4193,20,1,0,0.00021949,NULL,NULL,NULL
NULL,MEST,mesoderm specific transcript,4232,17,1,0,0.004278705,NULL,NULL,NULL
NULL,MFGE8,milk fat globule EGF and factor V/VIII domain containing,4240,19,1,0,0.000151463,NULL,NULL,NULL
NULL,KITLG,KIT ligand,4254,19,0,1,0.001902323,NULL,NULL,NULL
NULL,MGMT,O-6-methylguanine-DNA methyltransferase,4255,18,0,1,0.00018442,NULL,NULL,NULL
NULL,MKI67,marker of proliferation Ki-67,4288,18,0,1,0.000000122,NULL,NULL,NULL
NULL,MMP3,matrix metallopeptidase 3,4314,16,1,0,0.003195709,NULL,NULL,NULL
NULL,MMP12,matrix metallopeptidase 12,4321,18,1,0,0.000101565,NULL,NULL,NULL
NULL,MRE11,"MRE11 homolog, double strand break repair nuclease",4361,21,0,1,0.0000752,NULL,NULL,NULL
NULL,MSH2,mutS homolog 2,4436,20,0,1,0.0000498,NULL,NULL,NULL
NULL,MT1E,metallothionein 1E,4493,15,0,1,0.003525589,NULL,NULL,NULL
NULL,NUDT1,nudix hydrolase 1,4521,18,0,1,0.00018442,NULL,NULL,NULL
NULL,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",4522,18,0,1,0.00018442,NULL,NULL,NULL
NULL,MTIF2,mitochondrial translational initiation factor 2,4528,21,0,1,0.000553004,NULL,NULL,NULL
NULL,MX1,MX dynamin like GTPase 1,4599,19,1,0,0.00000139,NULL,NULL,NULL
NULL,MXI1,"MAX interactor 1, dimerization protein",4601,19,1,0,0.000151463,NULL,NULL,NULL
NULL,MYBL2,MYB proto-oncogene like 2,4605,19,0,1,0.00000024,NULL,NULL,NULL
NULL,MYLK,myosin light chain kinase,4638,20,1,0,0.001568256,NULL,NULL,NULL
NULL,HNRNPM,heterogeneous nuclear ribonucleoprotein M,4670,21,0,1,0.000553004,NULL,NULL,NULL
NULL,NAP1L3,nucleosome assembly protein 1 like 3,4675,17,1,0,0.004278705,NULL,NULL,NULL
NULL,NASP,nuclear autoantigenic sperm protein,4678,20,0,1,0.000000449,NULL,NULL,NULL
