"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
11,"alg-2","Argonaute (plant)-Like Gene","Caenorhabditis elegans","Post-transcriptional gene silencing","RNA interference decreased median lifespan by 24% in wild type animals and 50% in a daf-2 background.","EIF2C1","Samuelson et al., 2007",18006689,"Eif2c2","","AGO1","alg-1, alg-2",173468,"Cel.22639","T07D3.7","","",NULL
12,"amt-2","AMmonium Transporter homolog","Caenorhabditis elegans","Ammonium transporter","RNA interference increased mean lifespan by 20%.","RHCG","Kim et al., 2007",17608836,"","","","",186047,"Cel.2458","F49E11.3","","",NULL
13,"Arhgap1","Rho GTPase activating protein 1","Mus musculus","Regulation of actin cytoskeleton organization, polarity, and growth","Most knockout mice were weak and died during the neonatal period. Animals that survived had a shorter lifespan (median lifespan was 12 months) and showed premature ageing-like phenotypes, including a reduction in body mass, a loss of subdermal adipose tissue, lordokyphosis, and osteoporosis.","ARHGAP1","Wang et al., 2007",17227869,"Arhgap1","","RhoGAP68F","rga-1",228359,"Mm.463444","ENSMUSG00000027247","Q5FWK3","C76222 Cdc42GAP p50rhoGAP RP23-12H6.2 B230365D05Ri",NULL
14,"arl-8","ARF-Like","Caenorhabditis elegans","ADP-ribosylation factor-like protein","RNA interference decreased median lifespan by 35% in a daf-2 background and 9% in daf-2/daf-16 double mutants.","ARL8A","Samuelson et al., 2007",18006689,"Arl8a","","","arl-8",178405,"Cel.6950","Y57G11C.13","","",NULL
15,"Arntl","aryl hydrocarbon receptor nuclear translocator-like","Mus musculus","Appears to be involved in circadian rhythyms","Knockout mice display symptoms of premature ageing including a shorter lifespan, sarcopenia, cataracts, less subcutaneous fat, and organ shrinkage.","ARNTL","Kondratev et al., 2006",16847346,"Arntl","","cyc","",11865,"Mm.440371","ENSMUSG00000055116","Q9WTL8","MOP3 Arnt3 Bmal1 BMAL1b bHLHe5 bmal1b'",NULL
16,"arx-4","ARp2/3 compleX component","Caenorhabditis elegans","Actin-related protein","RNA interference decreased median lifespan by 61% in a daf-2 background and 51% in daf-2/daf-16 double mutants.","ARPC2","Samuelson et al., 2007",18006689,"Arpc2","","Arc-p34","arx-4",175247,"Cel.6078","Y6D11A.2","","",NULL
17,"asb-2","ATP Synthase B homolog","Caenorhabditis elegans","Mitochondrial F1F0-ATP synthase, subunit b/ATP4","RNA interference leads to lifespan extension.","ATP5F1","Hansen et al., 2005",16103914,"","","","asb-1, asb-2",180718,"Cel.17624","F02E8.1","","",NULL
18,"asg-1","ATP Synthase G homolog","Caenorhabditis elegans","Homolog of ATP synthase G required for growth at a normally high rate and normal osmoregulation","RNA interference leads to lifespan extension.","ATP5L","Hamilton et al., 2005",15998808,"","","","",172673,"Cel.20532","K07A12.3","","",NULL
19,"asg-2","ATP synthase subunit","Caenorhabditis elegans","","Knockout mutations result in developmental arrest and increased lifespan.","ATP5L","Tsang et al., 2001",11410594,"","","","asg-1, asg-2",180956,"Cel.11144","C53B7.4","","",NULL
20,"asm-3","Acid SphingoMyelinase","Caenorhabditis elegans","acidic sphingomyelinase","RNA interference increased mean lifespan by 50%.","SMPD1","Kim et al., 2007",17608836,"","","","",176879,"Cel.20210","W03G1.7","","",NULL
21,"Atg7","Autophagy-specific gene 7","Drosophila melanogaster","Involved in autophagy","Knockouts are short-lived and hypersensitive to nutrient and oxidative stress.","ATG7","Juhasz et al., 2007",18056421,"Atg7","ATG7","Atg7","atg-7",37141,"Dm.5217","FBgn0034366","","atg-7 atg7 CG5489 Dmel\CG5489",NULL
22,"Atg8a","Autophagy-related 8a","Drosophila melanogaster","Involved in autophagy","Mutations resulted in reduced lifespan and increased sensitivity to oxidative stress while enhanced expression in older fly brains extended average adult lifespan by 56% and promoted resistance to oxidative stress.","GABARAP","Simonsen et al., 2008",18059160,"Gabarap","ATG8","Atg8a","lgg-1",32001,"Dm.20907","FBgn0052672","","atg8 Atg8 Atg8/LC3 atg8a Atg8A ATG8a BcDNA:LD05816",NULL
23,"atg-7","AuTophaGy (yeast Atg homolog)","Caenorhabditis elegans","Autophagic vesicle expansion","RNA interference shortened mean lifespan by 23% and maximum lifespan by 30% in a eat-2 mutant background but not in wild type animals.","ATG7","Jia et al., 2007",17912023,"","","","",178005,"","M7.5","Q21591_CAEEL","",NULL
24,"Atm","Ataxia telangiectasia mutated homolog (human)","Mus musculus","DNA repair and cell cycle control","Mice mutant for Atm and Terc displayed progressive multi-organ system compromise and features of accelerated ageing.","ATM","Wong et al., 2003",12540856,"Atm","","","atm-1",11920,"Mm.5088","ENSMUSG00000034218","Q62388","AI256621 C030026E19Rik",NULL
25,"atp-2","ATP synthase F1 subunit gamma","Caenorhabditis elegans","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase","RNA interference results in extended lifespan.","ATP5B","Dillin et al., 2002",12471266,"Atp5b","ATP2","ATPsyn-beta","atp-2",175716,"Cel.37995","C34E10.6","","",NULL
26,"atp-3","ATP synthase subunit","Caenorhabditis elegans","Mitochondrial F1F0-ATP synthase, subunit OSCP/ATP5","RNA interference results in lifespan extension.","ATP5O","Hansen et al., 2005",16103914,"Atp5o, Gm5436","ATP5","Oscp","atp-3",172195,"Cel.9091","F27C1.7","","",NULL
27,"atp-4","ATP synthase subunit","Caenorhabditis elegans","Mitochondrial F1F0-ATP synthase, subunit Cf6 (coupling factor 6)","RNA interference results in lifespan extension.","","Hansen et al., 2005",16103914,"","","","",179025,"Cel.7035","T05H4.12","","",NULL
28,"atp-5","ATP synthase subunit","Caenorhabditis elegans","Mitochondrial F1F0-ATP synthase, subunit d/ATP7","RNA interference results extended lifespan.","ATP5H","Hansen et al., 2005",16103914,"","","","",179541,"Cel.6524","C06H2.1","","",NULL
29,"ATP2","ATP synthase F1 subunit gamma","Saccharomyces cerevisiae","ATP synthase subunit","A mutation causes a clonal senescence phenotype resulting from the disruption of the age asymmetry between mother and daughter cells in that that daughter cells are born old.","ATP5B","Lai et al., 2002",12242224,"Atp5b","ATP2","ATPsyn-beta","atp-2",853585,"","YJR121W","","",NULL
30,"Atr","Ataxia telangiectasia and Rad3 related","Mus musculus","DNA repair and cell cycle control","Deletion in young adults eliminates 80-90% of proliferating cells and results in several age-related phenotypes accompanied by a depletion of stem and progenitor cells and exhaustion of tissue renewal and homeostatic capacity.","ATR","Ruzankina et al., 2007",18371340,"","","","",245000,"Mm.212462","ENSMUSG00000032409","Q9JKK8","",NULL
31,"trx-1","ThioRedoXin","Caenorhabditis elegans","Mitochondrial thioredoxin","Mutants with a deletion in the gene display a decrease in lifespan and are sensitive to oxidative stress.","TXN","Jee et al., 2005",16324156,"","","","",181863,"Cel.16076","B0228.5","","",NULL
32,"let-363","LEThal","Caenorhabditis elegans","Regulation of cell growth and differentiation in response to nutrients","RNA interference extends lifespan by about 150%.","FRAP1","Vellai et al., 2003",14668850,"","","","",172167,"","B0261.2","TOR_CAEEL","",NULL
33,"mrpl-47","Protein MRPL-47","Caenorhabditis elegans","Mitochondrial ribosomal protein L4/L29","RNA interference results in about 20% lifespan extension.","MRPL47","Lee et al., 2003",12447374,"","","","",172164,"Cel.19301","B0261.4","","",NULL
34,"mboa-1","Protein MBOA-1","Caenorhabditis elegans","Sterol O-acyltransferase","RNA interference decreased median lifespan by 16% in wild type animals, 28% in a daf-2 background and 12% in daf-2/daf-16 double mutants.","SOAT1","Samuelson et al., 2007",18006689,"Soat1","","CG8112","B0395.2",181681,"Cel.11524","B0395.2","","",NULL
35,"B0491.5","Protein B0491.5","Caenorhabditis elegans","","RNA interference in adulthood resulted in a 16% increase in mean lifespan.","","Chen et al., 2007",17521386,"","","","",174734,"Cel.6372","B0491.5","","",NULL
36,"B0511.6","Protein B0511.6","Caenorhabditis elegans","RNA helicase","RNA interference in adulthood extended mean lifespan by 50%.","DDX18","Curran and Ruvkun, 2007",17411345,"","","","",172954,"Cel.18351","B0511.6","","",NULL
37,"B0546.3","Protein B0546.3","Caenorhabditis elegans","Zinc-binding protein","RNA interference increased mean lifespan by 27%.","YPEL5","Kim et al., 2007",17608836,"","","","",182030,"Cel.25636","B0546.3","","",NULL
38,"baf-1","Barrier to Autointegration Factor","Caenorhabditis elegans","Chromosome segregation","RNA interference decreased median lifespan by 28% in daf-2 mutants.","BANF1","Samuelson et al., 2007",18006689,"Banf1","","baf","baf-1",176330,"Cel.19409","B0464.7","","",NULL
39,"bar-1","beta-catenin","Caenorhabditis elegans","Multifunctional protein involved in development and transcriptional regulation","May play a role in regulating daf-16 during dauer formation, particularly in conditions of oxidative stress. Deletion of bar-1 reduces mean (45%) and maximal (35%) lifespan.","CTNNB1","Essers et al., 2005",15905404,"","","","",180982,"Cel.5480","C54D1.6","","",NULL
40,"Bax","Bcl2-associated X protein","Mus musculus","Apoptosis","Inactivation extended fertile potential and minimized age-related health problems, including bone and muscle loss, excess fat deposition, alopecia, cataracts, deafness, increased anxiety, and selective attention deficit. It did not extend lifespan.","BAX","Perez et al., 2007",17360389,"","","","",12028,"Mm.19904","ENSMUSG00000003873","Q07813","",NULL
41,"bchs","blue cheese","Drosophila melanogaster","Scaffolding protein","Mean lifespan is decreased 40-45% in bchs mutant adults. No pronounced developmental defects were observed and young adults have normal behaviors, indicating that the bchs gene is essential for normal adult survival and longevity.","WDFY3","Finley et al., 2003",12598614,"Wdfy3","","bchs","VT23B5.2",33819,"Dm.12933","FBgn0043362","","alfy BcDNA:SD12984 bchd Bchs Beach1 CG14001 CG9011",NULL
42,"BCY1","Bypass of CYclase mutations","Saccharomyces cerevisiae","A component of a signalling pathway that controls a variety of cellular processes","Deletion of BCY1 results in a decrease in lifespan.","PRKAR2A","D'mello et al., 1994",8195187,"Prkar2b","BCY1","","",854778,"","YIL033C","","SRA1",NULL
43,"agmo-1","Protein AGMO-1","Caenorhabditis elegans","Sterol C5 desaturase","RNA interference decreased median lifespan by 30% in wild type animals and 60% in daf-2 mutants.","FLJ16237","Samuelson et al., 2007",18006689,"","","","BE10.2",176695,"Cel.19986","BE10.2","","",NULL
44,"bec-1","BEClin (human autophagy) homolog","Caenorhabditis elegans","Involved in autophagy","Required for normal dauer morphogenesis and lifespan extension. RNA interference results in a shortened lifespan.","BECN1","Melendez et al., 2003",12958363,"Becn1","VPS30","Atg6","bec-1",177345,"Cel.12317","T19E7.3","","",NULL
45,"blmp-1","Blimp1 (B Lymphocyte-induced Maturation Protein-1) homolog","Caenorhabditis elegans","Transcription factor","RNA interference decreased median lifespan by 17% in a daf-2 background and 20% in daf-2/daf-16 double mutants.","PRDM1","Samuelson et al., 2007",18006689,"","","","",172917,"Cel.18891","F25D7.3","","",NULL
46,"Bmcp","Bmcp","Drosophila melanogaster","Mitochondrial uncoupler","Knockout flies live longer on low-calorie diets, have a decreased fertility, and gain less weight on high-calorie diets.","SLC25A30","Sanchez-Blanco et al., 2006",16387864,"Slc25a30","","Bmcp","",39322,"Dm.4611","FBgn0036199","","bmcp CG7314 DmBMCP Dmel\CG7314 dmUCP5 DmUCP5 ucp5 ",NULL
47,"bra-1","BMP receptor Associated protein family","Caenorhabditis elegans","May negatively regulate the DAF-1/DAF-7/DAF-14 TGF-beta signalling pathway","Mutation in adults reduces mean lifespan by 25%.","ZMYND11","Shaw et al., 2007",17900898,"","","","bra-2, bra-1",181481,"Cel.6488","F54B11.6","","",NULL
48,"Brca1","Breast cancer 1","Mus musculus","Maintenance of genomic stability","Deletion causes senescence in mutant embryos and cultured cells and tumorigenesis and signs of premature ageing in adult mice.","BRCA1","Cao et al., 2003",12533509,"Brca1","","","",12189,"Mm.244975","ENSMUSG00000017146","P48754","",NULL
49,"BRE5","Bre5p","Saccharomyces cerevisiae","","Deletion increased mean replicative lifespan by 30%.","USP10","Kaeberlein et al., 2005",16293764,"","BRE5","","",855787,"","YNR051C","","",NULL
50,"Bub1b","budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)","Mus musculus","Kinase involved in the spindle checkpoint function","Knockout mutant mice exhibit symptoms of accelerated ageing such as short lifespan, lordokyphosis, and fat loss.","BUB1B","Baker et al., 2004",15208629,"Bub1b","","","",12236,"Mm.29133","ENSMUSG00000040084","Q9Z1S0","BUBR1 AU045529",NULL
51,"Bub3","budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)","Mus musculus","Kinase involved in the spindle checkpoint function","Haploinsufficiency of Bub3 and Rae1, but not haploinsufficiency of either gene by itself, reduces lifespan by 12% and appears to accelerate ageing.","BUB3","Baker et al., 2006",16476774,"Bub3","","Bub3","",12237,"Mm.441749","ENSMUSG00000066979","Q9WVA3","C78067 AU019800 AU021329 AU043350 AW146323",NULL
52,"ztf-12","Zinc finger Transcription Factor family","Caenorhabditis elegans","Zinc finger transcription factor","A target of daf-16. RNA interference results in a shortened lifespan.","ZBTB41","Oh et al., 2006",16380712,"","","","",179257,"Cel.35530","C01B7.1","","",NULL
53,"C01F1.1","Protein C01F1.1","Caenorhabditis elegans","Transcription initiation factor","RNA interference decreased median lifespan by 28% in wild type animals, 37% in a daf-2 background and 14% in daf-2/daf-16 double mutants.","GTF2F1","Samuelson et al., 2007",18006689,"Gtf2f1","","TfIIFalpha","C01F1.1",173764,"Cel.6705","C01F1.1","","",NULL
54,"sco-1","Protein SCO-1","Caenorhabditis elegans","ATP synthesis","RNA interference in adulthood resulted in a 23% increase in mean lifespan.","SCO1","Chen et al., 2007",17521386,"Sco1","SCO1","CG8885","C01F1.2",173763,"Cel.16014","C01F1.2","","",NULL
55,"cpna-3","Protein CPNA-3","Caenorhabditis elegans","","RNA interference results in lifespan extension.","CPNE8","Hansen et al., 2005",16103914,"","","","",3565393,"Cel.17067","C01F6.1","","",NULL
56,"C06A5.1","Protein C06A5.1","Caenorhabditis elegans","","RNA interference decreased median lifespan by 39% in wild type animals, 24% in a daf-2 background and 71% in daf-2/daf-16 double mutants.","INTS1","Samuelson et al., 2007",18006689,"","","","",182280,"Cel.19260","C06A5.1","","",NULL
57,"C07A9.2","Protein C07A9.2","Caenorhabditis elegans","Nuclear transcription regulator","RNA interference decreased median lifespan by 26% in wild type animals, 37% in a daf-2 background and 15% in daf-2/daf-16 double mutants.","BUD31","Samuelson et al., 2007",18006689,"","BUD31","l(1)10Bb","C07A9.2",176368,"Cel.19422","C07A9.2","","",NULL
58,"ubh-4","UBiquitin C-terminal Hydrolase","Caenorhabditis elegans","Ubiquitin C-terminal hydrolase","RNA interference extended lifespan.","UCHL5","Hamilton et al., 2005",15998808,"","","","",174289,"Cel.15951","C08B11.7","","",NULL
59,"C09B7.2","transposase","Caenorhabditis elegans","","RNA interference extends lifespan.","SETMAR","Hamilton et al., 2005",15998808,"","","","",182438,"Cel.36821","C09B7.2","","",NULL
60,"C11H1.3","Protein C11H1.3","Caenorhabditis elegans","E3 ubiquitin ligase","RNA interference decreased median lifespan by 10% in wild type animals, 14% in a daf-2 background and 41% in daf-2/daf-16 double mutants.","RNF157","Samuelson et al., 2007",18006689,"","","CG9941","C11H1.3",181537,"Cel.11395","C11H1.3","","",NULL
61,"C14A4.9","Protein C14A4.9","Caenorhabditis elegans","","RNA interference decreased median lifespan by 14% in wild type animals and 41% in daf-2 mutants.","","Samuelson et al., 2007",18006689,"","","","",174637,"Cel.18286","C14A4.9","","",NULL
62,"C18E9.10","Protein C18E9.10","Caenorhabditis elegans","Could be involved in endoplasmic reticulum stress","RNA interference results in lifespan extension.","SFT2D3","Hamilton et al., 2005",15998808,"","","","",174427,"Cel.8813","C18E9.10","","",NULL
63,"C18E9.4","Protein C18E9.4","Caenorhabditis elegans","NADH:ubiquinone oxidoreductase, NDUFB3/B12 subunit","RNA interference results in lifespan extension.","NDUFB3","Hamilton et al., 2005",15998808,"","","","",174428,"Cel.15813","C18E9.4","","",NULL
64,"mdt-26","Protein MDT-26","Caenorhabditis elegans","","RNA interference decreased the median lifespan 42% in daf-2 long-lived mutants.","NEFH","Samuelson et al., 2007",18006689,"","","","",173960,"Cel.23108","C25H3.6","","",NULL
65,"C26B2.2","Protein C26B2.2","Caenorhabditis elegans","Guanine nucleotide binding protein MIP1","Knockout mutations extend lifespan.","NFE2L1","Jia et al., 2004",15253933,"","","","",182926,"Cel.13473","C26B2.2","","",NULL
66,"C26B9.3","Protein C26B9.3","Caenorhabditis elegans","Lipid transfer protein","RNA interference decreased median lifespan by 12% in wild type animals, 68% in a daf-2 background and 17% in daf-2/daf-16 double mutants.","","Samuelson et al., 2007",18006689,"","","","",180804,"Cel.11298","C26B9.3","","",NULL
67,"C27B7.7","Protein C27B7.7","Caenorhabditis elegans","Mitochondrial phosphate carrier protein","RNA interference extends lifespan.","TTN","Hamilton et al., 2005",15998808,"","","","",177708,"Cel.13463","C27B7.7","","",NULL
68,"vps-22","Protein VPS-22","Caenorhabditis elegans","Vps22p subunit of the ESCRT-II complex","RNA interference decreased median lifespan by 43% in wild type animals, 33% in a daf-2 background and 9% in daf-2/daf-16 double mutants.","SNF8","Samuelson et al., 2007",18006689,"Snf8","SNF8","CG6637","C27F2.5",175672,"Cel.10798","C27F2.5","","",NULL
69,"C29F9.1","Protein C29F9.1","Caenorhabditis elegans","","RNA interference decreased median lifespan by 35% in daf-2 mutants.","TTC8","Samuelson et al., 2007",18006689,"","","","",175180,"Cel.10778","C29F9.1","","",NULL
70,"C29F9.2","Protein C29F9.2","Caenorhabditis elegans","","RNA interference decreased median lifespan by 12% in wild type animals and 36% in daf-2 mutants.","MAP7D1","Samuelson et al., 2007",18006689,"","","","",175179,"Cel.19443","C29F9.2","","",NULL
71,"tbc-7","TBC (Tre-2/Bub2/Cdc16) domain family","Caenorhabditis elegans","","RNA interference decreased median lifespan by 28% in daf-2 mutants.","TBC1D24","Samuelson et al., 2007",18006689,"","","","",180784,"Cel.6841","C31H2.1","","",NULL
72,"CELE_C32H11.1","Protein C32H11.1","Caenorhabditis elegans","Deoxyribonuclease II, involved in apoptotic DNA degradation","RNA interference extends lifespan.","","Murphy et al., 2003",12845331,"","","","",183126,"Cel.13428","C32H11.1","","",NULL
73,"CELE_C32H11.5","Protein C32H11.5","Caenorhabditis elegans","","RNA interference extends lifespan.","","Hamilton et al., 2005",15998808,"","","","",183129,"Cel.13424","C32H11.5","","",NULL
74,"CELE_C33A12.1","Protein C33A12.1","Caenorhabditis elegans","NADH ubiquinone oxidoreductase","RNA interference increased mean lifespan by 40%.","NDUFA5","Kim et al., 2007",17608836,"Ndufa5","","CG6463","C33A12.1",177786,"Cel.13417","C33A12.1","","",NULL
75,"C33F10.12","Protein C33F10.12","Caenorhabditis elegans","Receptor mediating netrin-dependent axon guidance","RNA interference extends lifespan.","SLC25A3","Hamilton et al., 2005",15998808,"","","","",183168,"Cel.23628","C33F10.12","","",NULL
76,"C33H5.18","Protein C33H5.18","Caenorhabditis elegans","CDP-diglyceride synthetase","RNA interference decreased median lifespan by 44% in wild type animals, 77% in a daf-2 background and 14% in daf-2/daf-16 double mutants.","CDS1","Samuelson et al., 2007",18006689,"Cds1","CDS1","CdsA","C33H5.18",3565046,"Cel.17593","C33H5.18","","",NULL
77,"C35A11.3","Protein C35A11.3","Caenorhabditis elegans","Similar to mucin genes","RNA interference extends lifespan.","MUC17","Hamilton et al., 2005",15998808,"","","","",183228,"Cel.26004","C35A11.3","","",NULL
78,"C36H8.1","Protein C36H8.1","Caenorhabditis elegans","","RNA interference extends lifespan.","PRR12","Hamilton et al., 2005",15998808,"","","","B0496.6, C36H8.1",178230,"Cel.13373","C36H8.1","","",NULL
79,"scl-4","SCP-Like extracellular protein","Caenorhabditis elegans","Defense-related protein containing SCP domain","RNA interference extends lifespan.","PI16, CRISP3, CRISP1","Hamilton et al., 2005",15998808,"","","","",183342,"",NULL,"","",NULL
80,"scl-8","SCP-Like extracellular protein","Caenorhabditis elegans","Defense-related protein","RNA interference increased mean lifespan 18%.","PI16","Kim et al., 2007",17608836,"","","","",183345,"Cel.13367","C39E9.6","","",NULL
81,"trim-9","Protein TRIM-9","Caenorhabditis elegans","Predicted Zn-finger protein","RNA interference extends lifespan.","TRIM9","Hamilton et al., 2005",15998808,"Trim9","","Trim9","C39F7.2",178619,"Cel.6949","C39F7.2","","",NULL
82,"ttr-5","TransThyretin-Related family domain","Caenorhabditis elegans","Transthyretin-like family","RNA interference increased mean lifespan 14%.","","Kim et al., 2007",17608836,"","","","",176312,"Cel.10721","C40H1.5","","",NULL
83,"C42C1.3","Protein C42C1.3","Caenorhabditis elegans","","RNA interference increased mean lifespan by 60%.","","Kim et al., 2007",17608836,"","","","",183399,"Cel.13356","C42C1.3","","",NULL
84,"C46G7.2","Protein C46G7.2","Caenorhabditis elegans","","RNA interference increased mean lifespan by 44%.","","Kim et al., 2007",17608836,"","","","",177367,"Cel.13307","C46G7.2","","",NULL
85,"C47E12.2","Protein C47E12.2","Caenorhabditis elegans","Mitochodrial ADP/ATP carrier protein","RNA interference increased mean lifespan by 36%.","SLC25A31","Kim et al., 2007",17608836,"","","","",177858,"Cel.13303","C47E12.2","","",NULL
86,"C48E7.2","Protein C48E7.2","Caenorhabditis elegans","RNA polymerase III subunit","RNA interference in adulthood resulted in a 26% increase in mean lifespan.","POLR3C","Chen et al., 2007",17521386,"Polr3c","","CG12267","C48E7.2",172321,"Cel.19090","C48E7.2","","",NULL
87,"C56G2.1","Protein C56G2.1","Caenorhabditis elegans","RNA metabolism","RNA interference in adulthood resulted in a 20% increase in mean lifespan.","AKAP1","Curran and Ruvkun, 2007",17411345,"","","","",175898,"Cel.8003","C56G2.1","","",NULL
88,"calu-1","CALUmenin (calcium-binding protein) homolog","Caenorhabditis elegans","","RNA interference decreased median lifespan by 23% in a daf-2 background and 15% in daf-2/daf-16 double mutants.","CALU","Samuelson et al., 2007",18006689,"Calu","","scf","calu-1",180769,"Cel.34797","M03F4.7","","",NULL
89,"car","carnation","Drosophila melanogaster","Vps 33, sec1 protein","Loss-of-function mutation results in a 30% maximum lifespan reduction.","VPS33A","Simonsen et al., 2007",17435236,"Vps33a","","car","",32947,"Dm.2099","FBgn0000257","","Car carn CG12230 Dm-Vps33 Dmel\CG12230 l(1)G0447 V",NULL
90,"Casp2","caspase 2","Mus musculus","Apoptosis","Loss of caspase-2 resulted in a shortened (10%) maximum lifespan and in enhanced ageing-related traits such as impaired hair growth, increased bone loss, and reduced body fat content.","CASP2","Zhang et al., 2007",17188333,"Casp2","","","ced-3",12366,"Mm.468358","ENSMUSG00000029863","P29594","ICH-1 Nedd2 Caspase-2",NULL
91,"Cat","Catalase","Drosophila melanogaster","Protects cells from hydrogen peroxide","Overexpression of catalase and Sod1 result in a one-third lifespan extension, a slower rate of mortality acceleration, and a delayed loss in physical performance.","CAT","Orr and Sohal, 1994",8108730,"","","","",40048,"Dm.6950","FBgn0000261","","bs36h11.y1 cat CAT CatA CATA CG6871 CT21282 DMCATH",NULL
92,"Cat","Catalase","Mus musculus","Protects cells from hydrogen peroxide","Overexpression of human catalase targeted to mitochondria extended lifespan by about 20%.","","Schriner et al., 2005",15879174,"Cat","CTA1","Cat, CG9314","ctl-1, ctl-2, ctl-3",12359,"Mm.4215","ENSMUSG00000027187","P24270","Cas1 Cs-1 Cas-1 2210418N07",NULL
93,"Cav1","caveolin, caveolae protein 1","Mus musculus","Component of caveolae membranes in nonmuscle cells","Knockout mice are viable and fertile but exhibit an approximately 50% reduction in lifespan probably due to a combination of pulmonary fibrosis, pulmonary hypertension, and cardiac hypertrophy.","CAV1","Park et al., 2003",14690422,"Cav1","","","",12389,"Mm.28278","ENSMUSG00000007655","P49817","Cav Cav-1",NULL
94,"cchl-1","Cytochrome C Heme-Lyase","Caenorhabditis elegans","Holocytochrome c synthase/heme-lyase","RNA interference results in about 50% lifespan extension.","HCCS","Lee et al., 2003",12447374,"","CYC3","Cchl","cchl-1",174713,"Cel.6562","T06D8.6","","",NULL
95,"cco-1","Cytochrome C Oxidase","Caenorhabditis elegans","Electron transport","RNA interference extends lifespan.","COX5B","Lee et al., 2003",12447374,"","","CG11015","cco-1",172832,"Cel.23146","F26E4.9","","",NULL
96,"cco-2","Cytochrome C Oxidase","Caenorhabditis elegans","Cytochrome c oxidase, subunit Va/COX6","RNA interference results in a 53-57% increase in mean lifespan.","COX5A","Hansen et al., 2005",16103914,"Cox5a","","CoVa","cco-2",176707,"Cel.8875","Y37D8A.14","","",NULL
97,"ccr-4","CCR (yeast CCR4/NOT complex component) homolog","Caenorhabditis elegans","Alcohol dehydrogenase","RNA interference decreased median lifespan by 33% in wild type animals, 37% in a daf-2 background and 44% in daf-2/daf-16 double mutants.","CNOT6","Samuelson et al., 2007",18006689,"Cnot6","","twin","ccr-4",178184,"Cel.6023","ZC518.3","","",NULL
