"id","gene_id","biblio_id","lifespan_effect","phenotype_description","longevity_influence","max_lifespan_change","max_lifespan_change_desc","avg_lifespan_change","avg_lifespan_change_desc","method","notes","hidden"
13,13,10,"decrease","Most knockout mice were weak and died during the neonatal period. Animals that survived had a shorter lifespan (median lifespan was 12 months) and showed premature ageing-like phenotypes, including a reduction in body mass, a loss of subdermal adipose tissue, lordokyphosis, and osteoporosis.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
14,14,9,"decrease","RNA interference decreased median lifespan by 35% in a daf-2 background and 9% in daf-2/daf-16 double mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that the gene is needed for the daf-2 lifespan extension.",0
15,15,11,"decrease","Knockout mice display symptoms of premature ageing including a shorter lifespan, sarcopenia, cataracts, less subcutaneous fat, and organ shrinkage.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
16,16,9,"decrease","RNA interference decreased median lifespan by 61% in a daf-2 background and 51% in daf-2/daf-16 double mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that the gene is needed for the daf-2 lifespan extension.",0
17,17,12,"increase","RNA interference leads to lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
18,18,5,"increase","RNA interference leads to lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
19,19,13,"increase","Knockout mutations result in developmental arrest and increased lifespan.","anti",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
20,20,2,"increase","RNA interference increased mean lifespan by 50%.","anti",NULL,"",50,"Average lifespan is 50% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
21,21,14,"decrease","Knockouts are short-lived and hypersensitive to nutrient and oxidative stress. There is a 30% reduction in maximal lifespan. ","pro",30,"Maximal lifespan is 30% lower.",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
22,22,15,"increase","Mutations resulted in reduced lifespan and increased sensitivity to oxidative stress while enhanced expression in older fly brains extended average adult lifespan by 56% and promoted resistance to oxidative stress.","pro",NULL,"",56,"Average lifespan is 56% higher.","Overexpression","2009 entry; quantitative data extracted in 2012. Should be perhaps split in too (mutations > decrease; overexpression > 56% increase)",0
23,23,16,NULL,"RNA interference shortened mean lifespan by 23% and maximum lifespan by 30% in a eat-2 mutant background but not in wild type animals.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. Although there is no effect on WT, it appears that atg-7 is needed for the eat-2 lifespan extension (therefore it appears to have a pro-longevity influence). ",0
24,24,17,"decrease","Mice mutant for Atm and Terc displayed progressive multi-organ system compromise and features of accelerated ageing.","pro",NULL,"",NULL,"","Mutations","2009 entry; quantitative data extracted in 2012.",0
25,25,18,"increase","RNA interference results in extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
26,26,12,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
27,27,12,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
28,28,12,"increase","RNA interference results extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
29,29,19,"decrease","A mutation causes a clonal senescence phenotype resulting from the disruption of the age asymmetry between mother and daughter cells in that that daughter cells are born old.","pro",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
30,30,20,"decrease","Deletion in young adults eliminates 80-90% of proliferating cells and results in several age-related phenotypes accompanied by a depletion of stem and progenitor cells and exhaustion of tissue renewal and homeostatic capacity.","pro",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
31,31,21,"decrease","Mutants with a deletion in the gene display a decrease in lifespan and are sensitive to oxidative stress.","pro",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
32,32,22,"increase","RNA interference extends lifespan by about 150%.","anti",NULL,"",150,"Lifespan is 150% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
33,33,4,"increase","RNA interference results in about 20% lifespan extension.","anti",NULL,"",20,"Lifespan is about 20% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
34,34,9,"decrease","RNA interference decreased median lifespan by 16% in wild type animals, 28% in a daf-2 background and 12% in daf-2/daf-16 double mutants.","pro",NULL,"",16,"Average lifespan is 16% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
35,35,23,"increase","RNA interference in adulthood resulted in a 16% increase in mean lifespan.","anti",NULL,"",16,"Average lifespan is 16% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
36,36,24,"increase","RNA interference in adulthood extended mean lifespan by 50%.","anti",NULL,"",50,"Average lifespan is 50% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
37,37,2,"increase","RNA interference increased mean lifespan by 27%.","anti",NULL,"",27,"Average lifespan is 27% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
38,38,9,"decrease","RNA interference decreased median lifespan by 28% in daf-2 mutants.","pro",NULL,"",28,"Median lifespan is 28% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
39,39,25,"decrease","May play a role in regulating daf-16 during dauer formation, particularly in conditions of oxidative stress. Deletion of bar-1 reduces mean (45%) and maximal (35%) lifespan.","pro",35,"Maximum lifespan is 35% lower.",45,"Average lifespan is 45% lower.","Deletion","2009 entry; quantitative data extracted in 2012.",0
40,40,26,"increase","Inactivation extended fertile potential and minimized age-related health problems, including bone and muscle loss, excess fat deposition, alopecia, cataracts, deafness, increased anxiety, and selective attention deficit. It did not extend lifespan.",NULL,NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
41,41,27,"decrease","Mean lifespan is decreased 40-45% in bchs mutant adults. No pronounced developmental defects were observed and young adults have normal behaviors, indicating that the bchs gene is essential for normal adult survival and longevity.","pro",NULL,"",45,"Average lifespan is 40-45% lower.","Mutation","2009 entry; quantitative data extracted in 2012.",0
42,42,28,"decrease","Deletion of BCY1 results in a decrease in lifespan.","fitness",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
43,43,9,"decrease","RNA interference decreased median lifespan by 30% in wild type animals and 60% in daf-2 mutants.","pro",NULL,"",30,"Median lifespan is 30% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
44,44,29,"decrease","Required for normal dauer morphogenesis and lifespan extension. RNA interference results in a shortened lifespan.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
45,45,9,"decrease","RNA interference decreased median lifespan by 17% in a daf-2 background and 20% in daf-2/daf-16 double mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that the gene is needed for the daf-2 lifespan extension.",0
46,46,30,"increase","Knockout flies live longer on low-calorie diets, have a decreased fertility, and gain less weight on high-calorie diets.","anti",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
47,47,31,"decrease","Mutation in adults reduces mean lifespan by 25%.","pro",NULL,"",25,"Average lifespan is 25% lower.","Mutation","2009 entry; quantitative data extracted in 2012.",0
48,48,32,"decrease","Deletion causes senescence in mutant embryos and cultured cells and tumorigenesis and signs of premature ageing in adult mice.","pro",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
49,49,33,"increase","Deletion increased mean replicative lifespan by 30%.","anti",NULL,"",30,"Replicative lifespan is 30% higher. ","Deletion","2009 entry; quantitative data extracted in 2012.",0
50,50,34,"decrease","Knockout mutant mice exhibit symptoms of accelerated ageing such as short lifespan, lordokyphosis, and fat loss.","pro",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
51,51,35,"decrease","Haploinsufficiency of Bub3 and Rae1, but not haploinsufficiency of either gene by itself, reduces lifespan by 12% and appears to accelerate ageing.","pro",NULL,"",12,"Lifespan is 12% lower.","Mutation","2009 entry; quantitative data extracted in 2012.",0
52,52,36,"decrease","A target of daf-16. RNA interference results in a shortened lifespan.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
53,53,9,"decrease","RNA interference decreased median lifespan by 28% in wild type animals, 37% in a daf-2 background and 14% in daf-2/daf-16 double mutants.","pro",NULL,"",28,"Median lifespan is 28% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
54,54,23,"increase","RNA interference in adulthood resulted in a 23% increase in mean lifespan.","anti",NULL,"",23,"Average lifespan is 23% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
55,55,12,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
56,56,9,"decrease","RNA interference decreased median lifespan by 39% in wild type animals, 24% in a daf-2 background and 71% in daf-2/daf-16 double mutants.","pro",NULL,"",39,"Median lifespan is 39% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
57,57,9,"decrease","RNA interference decreased median lifespan by 26% in wild type animals, 37% in a daf-2 background and 15% in daf-2/daf-16 double mutants.","pro",NULL,"",26,"Median lifespan is 26% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
58,58,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
59,59,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
60,60,9,"decrease","RNA interference decreased median lifespan by 10% in wild type animals, 14% in a daf-2 background and 41% in daf-2/daf-16 double mutants.","pro",NULL,"",10,"Median lifespan is 10% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
61,61,9,"decrease","RNA interference decreased median lifespan by 14% in wild type animals and 41% in daf-2 mutants.","pro",NULL,"",14,"Median lifespan is 14% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
62,62,5,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
63,63,5,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
64,64,9,"decrease","RNA interference decreased the median lifespan 42% in daf-2 long-lived mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that the gene is needed for the daf-2 lifespan extension.",0
65,65,37,"increase","Knockout mutations extend lifespan.","anti",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
66,66,9,"decrease","RNA interference decreased median lifespan by 12% in wild type animals, 68% in a daf-2 background and 17% in daf-2/daf-16 double mutants.","pro",NULL,"",12,"Median lifespan is 12% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
67,67,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
68,68,9,"decrease","RNA interference decreased median lifespan by 43% in wild type animals, 33% in a daf-2 background and 9% in daf-2/daf-16 double mutants.","pro",NULL,"",43,"Median lifespan is 43% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
69,69,9,"decrease","RNA interference decreased median lifespan by 35% in daf-2 mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that C29F9.1 is needed for the daf-2 lifespan extension.",0
70,70,9,"decrease","RNA interference decreased median lifespan by 12% in wild type animals and 36% in daf-2 mutants.","pro",NULL,"",12,"Median lifespan is 12% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
71,71,9,"decrease","RNA interference decreased median lifespan by 28% in daf-2 mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that tbc-7 is needed for the daf-2 lifespan extension.",0
72,72,38,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
73,73,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
74,74,2,"increase","RNA interference increased mean lifespan by 40%.","anti",NULL,"",40,"Average lifespan is 40% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
75,75,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
76,76,9,"decrease","RNA interference decreased median lifespan by 44% in wild type animals, 77% in a daf-2 background and 14% in daf-2/daf-16 double mutants.","pro",NULL,"",44,"Median lifespan is 44% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
77,77,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
78,78,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
79,79,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. This record (the gene) was discontinued.",0
80,80,2,"increase","RNA interference increased mean lifespan 18%.","anti",NULL,"",18,"Average lifespan is 18% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
81,81,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
82,82,2,"increase","RNA interference increased mean lifespan 14%.","anti",NULL,"",14,"Average lifespan is 14% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
83,83,2,"increase","RNA interference increased mean lifespan by 60%.","anti",NULL,"",60,"Average lifespan is 60% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
84,84,2,"increase","RNA interference increased mean lifespan by 44%.","anti",NULL,"",44,"Average lifespan is 44% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
85,85,2,"increase","RNA interference increased mean lifespan by 36%.","anti",NULL,"",36,"Average lifespan is 36% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
86,86,23,"increase","RNA interference in adulthood resulted in a 26% increase in mean lifespan.","anti",NULL,"",26,"Average lifespan is 26% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
87,87,24,"increase","RNA interference in adulthood resulted in a 20% increase in mean lifespan.","anti",NULL,"",20,"Average lifespan is 20% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
88,88,9,"decrease","RNA interference decreased median lifespan by 23% in a daf-2 background and 15% in daf-2/daf-16 double mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that calu-1 is needed for the daf-2 lifespan extension.",0
89,89,39,"increase","Loss-of-function mutation results in a 30% maximum lifespan reduction.","pro",30,"Maximal lifespan is 30% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
90,90,40,"decrease","Loss of caspase-2 resulted in a shortened (10%) maximum lifespan and in enhanced ageing-related traits such as impaired hair growth, increased bone loss, and reduced body fat content.","pro",10,"Maximum lifespan is 10% lower.",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
91,91,41,"increase","Overexpression of catalase and Sod1 result in a one-third lifespan extension, a slower rate of mortality acceleration, and a delayed loss in physical performance.","pro",NULL,"",33,"Lifespan is one-third higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
92,92,42,"increase","Overexpression of human catalase targeted to mitochondria extended lifespan by about 20%.","pro",NULL,"",20,"Lifespan is 20% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
93,93,43,"decrease","Knockout mice are viable and fertile but exhibit an approximately 50% reduction in lifespan probably due to a combination of pulmonary fibrosis, pulmonary hypertension, and cardiac hypertrophy.","pro",NULL,"",50,"Lifespan is 50% lower.","Knockout","2009 entry; quantitative data extracted in 2012.",0
94,94,4,"increase","RNA interference results in about 50% lifespan extension.","anti",NULL,"",50,"Lifespan is about 50% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
95,95,4,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
96,96,12,"increase","RNA interference results in a 53-57% increase in mean lifespan.","anti",NULL,"",57,"Average lifespan is 53-57% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
97,97,9,"decrease","RNA interference decreased median lifespan by 33% in wild type animals, 37% in a daf-2 background and 44% in daf-2/daf-16 double mutants.","pro",NULL,"",33,"Median lifespan is 33% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
98,98,44,"decrease","Deletion reduced replicative lifespan by 50%.","fitness",NULL,"",50,"Replicative lifespan is 50% lower. ","Deletion","2009 entry; quantitative data extracted in 2012.",0
99,99,24,"increase","RNA interference in adulthood resulted in a 28% increase in mean lifespan.","anti",NULL,"",28,"Average lifespan is 28% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
100,100,24,"increase","RNA interference in adulthood resulted in a 20% increase in mean lifespan.","anti",NULL,"",20,"Average lifespan is 20% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
101,101,45,"increase","Overexpression results in a 6-8% increase in mean lifespan.","pro",NULL,"",8,"Average lifespan is 6-8% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
102,102,9,"decrease","RNA interference decreased median lifespan by 44% in wild type animals, 47% in a daf-2 background and 33% in daf-2/daf-16 double mutants.","pro",NULL,"",44,"Median lifespan is 44% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
103,103,46,"increase","RNA interference resulted in increased thermotolerance and extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
104,104,46,"increase","RNA interference extended lifespan. Knockout mutants also displayed increased thermotolerance and a 40% life-extension.","anti",NULL,"",40,"Lifespan is 40% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
105,105,47,"increase","Knockout mutants live about 50% longer than controls.","anti",NULL,"",50,"Lifespan is about 50% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
106,106,48,"increase","Approximately 20% increase in mean lifespan in knockouts.","anti",NULL,"",20,"Lifespan is approximately 20% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
107,107,9,"decrease","RNA interference decreased median lifespan by 18% in a daf-2 background and 19% in daf-2/daf-16 double mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that cdk-7 is needed for the daf-2 lifespan extension.",0
108,108,49,"decrease","Loss-of-function mutations result in defective axon guidance, age-dependent behavioral deficits and reduced lifespan by about one third.","pro",NULL,"",33,"Lifespan is about one-third lower.","Mutation","2009 entry; quantitative data extracted in 2012.",0
109,109,50,"increase","Deletion of p21 prolongs the lifespan of telomerase-deficient mice with dysfunctional telomeres and improves the repopulation capacity and self-renewal of hematopoietic stem cells.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
110,110,51,"increase","Replacing the CEBPA gene by CEBPB increased lifespan by about 20%.",NULL,NULL,"",NULL,"","Gene replacement","2009 entry; quantitative data extracted in 2012.",0
111,111,51,"increase","Replacing the CEBPA gene by CEBPB increased lifespan by about 20%.",NULL,NULL,"",NULL,"","Gene replacement","2009 entry; quantitative data extracted in 2012.",0
112,112,24,"increase","RNA interference in adulthood resulted in a 19% increase in mean lifespan.","anti",NULL,"",19,"Average lifespan is 19% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
113,113,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
114,114,52,"increase","Gene silencing extended lifespan by 30-40%.","anti",NULL,"",40,"Lifespan is 30-40% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.

This gene is dead! Merged into -> T15B12.1 (WBGene00020530, Entrez: 188527). Entrez corrected.",0
115,115,9,"decrease","RNA interference decreased median lifespan 76% in daf-2 mutants, 15% in daf-2/daf-16 double mutants, and 59% wild-type animals.","pro",NULL,"",59,"Median lifespan is 59% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
116,116,53,"increase","RNA interference increased mean lifespan up to 18% (dependent upon functional daf-16).","anti",NULL,"",18,"Average lifespan is 18% higher.","RNA interference","2009 entry; divided into 2 entries; quantitative data extracted in 2012.",0
117,117,54,"decrease","Mutant flies exhibited a shortened lifespan accompanied by enhanced oxidative damage to cellular proteins and metabolic compromise, such as increasing glucose levels, reminiscent of premature ageing.","pro",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
118,118,55,"increase","Loss-of-function increases lifespan up to 40%.","anti",NULL,"",40,"Lifespan is up to 40% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
119,119,55,"increase","Loss-of-function mutation increases lifespan up to 40%.","anti",NULL,"",40,"Lifespan is up to 40% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
120,120,55,"increase","Loss-of-function mutations extend lifespan up to 50%.","anti",NULL,"",50,"Lifespan is up to 50% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
121,121,55,"increase","Loss-of-function extends lifespan by 50-100%, but life-extension is suppressed by daf-16.","anti",NULL,"",100,"Lifespan is 50-100% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
122,122,56,"decrease","Mice hypomorphic for Brca1 and double mutant for chk2 exhibit signs of premature ageing.","pro",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
123,123,45,"increase","Overexpression results in a 7-9% increase in mean lifespan.","pro",NULL,"",9,"Average lifespan is 7-9% higher.","Overexpression","2009 entry; quantitative data extracted in 2012.",0
124,124,57,"increase","Lifespan extension of 48% in homozygotes and 36% in heterozygotes.","anti",NULL,"",48,"Lifespan is up to 48% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
125,125,46,"increase","RNA interference increased lifespan by 15 to 25%.","anti",NULL,"",25,"Lifespan is 15-25% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
126,126,58,"decrease","It may modulate transcriptional silencing in the presence of Sir proteins. Knockouts exhibit a shortened lifespan and are hypersensitivity to heat stress.","fitness",NULL,"",NULL,"","Knockout","2009 entry; quantitative data extracted in 2012.",0
127,127,9,"decrease","RNA interference decreased median lifespan by 27% in daf-2 mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that cit-1.2 is needed for the daf-2 lifespan extension.",0
128,128,59,"increase","A mutation in Csnk1e (alias CKIepsilon) called tau shortens the circadian period, increases metabolic rate, and increases lifespan by 14-16%.",NULL,NULL,"",NULL,"","","",NULL
129,129,60,"increase","RNA interference of cku-70 further increases the lifespan of daf-2 mutants. Lifespan of daf-16 mutants was slightly decreased.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however RNAi of cku-70 further extends the daf-2 lifespan extension.",0
130,130,61,"increase","Mutations slow down development and extend lifespan.",NULL,NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
131,131,61,"increase","Mutations slow down development and extend lifespan by 12%-25%.",NULL,NULL,"",25,"Lifespan is 12-25% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
132,132,62,"decrease","Overexpression shortens chronological lifespan together with age-dependent increases in genome instability and apoptosis.","anti",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
133,133,39,"decrease","Loss-of-function mutation reduces maximum lifespan by 40%.","pro",40,"Maximal lifespan is 40% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
134,134,63,"increase","RNA interference increased mean lifespan by 30%.","anti",NULL,"",30,"Average lifespan is 30% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
135,135,5,"increase","RNA interference results in extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
136,136,64,"increase","Heterozygous mice live about 15 to 30% longer than controls.","anti",NULL,"",30,"Lifespan is 15-30% higher.","Knockout","2009 entry; quantitative data extracted in 2012.",0
137,137,65,"increase","In mutants lifespan is increased about twofold.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,138,24,"increase","RNA interference in adulthood resulted in a 41% increase in mean lifespan.","anti",NULL,"",41,"Average lifespan is 41% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
139,139,66,"increase","Deletion results in higher levels of intracellular reactive oxygen species, augmentation of scavenging enzymes and extended lifespan.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
140,140,67,"decrease","Knockdown of cst-1 shortens lifespan and accelerates tissue ageing in a daf-16-dependent manner.","pro",NULL,"",NULL,"","Knockdown","2009 entry; Entry split in 2; quantitative data extracted in 2012.",0
141,141,68,"increase","Overexpression in combination with SOD1 increases stationary phase survival by about 10%. Overexpression of CTT1 alone slightly shortens stationary phase survival.",NULL,NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
142,142,9,"decrease","RNA interference decreased median lifespan by 12% in wild type animals and 30% in daf-2 mutants.","pro",NULL,"",12,"Median lifespan is 12% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
