"id","species","group","identifier","symbol","entrez_id","percentage","score","unique_grouping"
28,"Caenorhabditis elegans",3984,"CE11868","asg-1",172673,NULL,0.656,"3984-elegans:melanogaster"
29,"Drosophila melanogaster",3984,"FBpp0079756","l(2)06225",46069,"100%",1,"3984-elegans:melanogaster"
30,"Drosophila melanogaster",3984,"FBpp0079104","CG7211",34054,NULL,0.236,"3984-elegans:melanogaster"
31,"Caenorhabditis elegans",1036,"CE18887","atg-7",178005,"100%",1,"1036-elegans:melanogaster"
32,"Drosophila melanogaster",1036,"FBpp0085891","Atg7",37141,"100%",1,"1036-elegans:melanogaster"
33,"Caenorhabditis elegans",2410,"CE01849","lgg-1",174050,"100%",1,"2410-elegans:melanogaster"
34,"Drosophila melanogaster",2410,"FBpp0071427","Atg8a",32001,"100%",1,"2410-elegans:melanogaster"
35,"Caenorhabditis elegans",1036,"CE18887","atg-7",178005,"100%",1,"1036-elegans:melanogaster"
36,"Drosophila melanogaster",1036,"FBpp0085891","Atg7",37141,"100%",1,"1036-elegans:melanogaster"
37,"Caenorhabditis elegans",243,"CE29950","atp-2",175716,"100%",1,"243-elegans:melanogaster"
38,"Drosophila melanogaster",243,"FBpp0088250","ATPsyn-bet",43829,"99%",1,"243-elegans:melanogaster"
39,"Caenorhabditis elegans",2690,"CE36139","atp-3",172195,"100%",1,"2690-elegans:melanogaster"
40,"Drosophila melanogaster",2690,"FBpp0082522","Oscp",41845,"100%",1,"2690-elegans:melanogaster"
41,"Caenorhabditis elegans",4273,"CE13291","atp-4",179025,"100%",1,"4273-elegans:melanogaster"
42,"Drosophila melanogaster",4273,"FBpp0083824","ATPsyn-Cf6",42759,"100%",1,"4273-elegans:melanogaster"
43,"Caenorhabditis elegans",4056,"CE15602","atp-5",179541,"100%",1,"4056-elegans:melanogaster"
44,"Drosophila melanogaster",4056,"FBpp0083141","ATPsyn-d",42291,"100%",1,"4056-elegans:melanogaster"
45,"Caenorhabditis elegans",3772,"CE01745","trx-1",181863,"97%",1,"3772-elegans:melanogaster"
46,"Drosophila melanogaster",3772,"FBpp0070722","TrxT",31443,"100%",1,"3772-elegans:melanogaster"
47,"Caenorhabditis elegans",49,"CE32559","let-363",172167,"100%",1,"49-elegans:melanogaster"
48,"Drosophila melanogaster",49,"FBpp0080003","Tor",47396,"100%",1,"49-elegans:melanogaster"
49,"Caenorhabditis elegans",3433,"CE39547","B0261.4",172164,"100%",1,"3433-elegans:melanogaster"
50,"Drosophila melanogaster",3433,"FBpp0081599","Rlc1",41141,"100%",1,"3433-elegans:melanogaster"
51,"Caenorhabditis elegans",2282,"CE02943","mboa-1",181681,"100%",1,"2282-elegans:melanogaster"
52,"Drosophila melanogaster",2282,"FBpp0081387","CG8112",41033,"100%",1,"2282-elegans:melanogaster"
53,"Caenorhabditis elegans",407,"CE26853","B0511.6",172954,"100%",1,"407-elegans:melanogaster"
54,"Drosophila melanogaster",407,"FBpp0083573","pit",42595,"100%",1,"407-elegans:melanogaster"
55,"Caenorhabditis elegans",3501,"CE26704","baf-1",176330,"100%",1,"3501-elegans:melanogaster"
56,"Drosophila melanogaster",3501,"FBpp0079157","baf",34095,"100%",1,"3501-elegans:melanogaster"
57,"Caenorhabditis elegans",16,"CE42572","C26H9A.2",178220,"100%",1,"16-elegans:melanogaster"
58,"Drosophila melanogaster",16,"FBpp0078775","bchs",33819,"100%",1,"16-elegans:melanogaster"
59,"Caenorhabditis elegans",2744,"CE27592","bec-1",177345,"100%",1,"2744-elegans:melanogaster"
60,"Drosophila melanogaster",2744,"FBpp0083975","Atg6",42850,"100%",1,"2744-elegans:melanogaster"
61,"Caenorhabditis elegans",1168,"CE09631","blmp-1",172917,"100%",1,"1168-elegans:melanogaster"
62,"Drosophila melanogaster",1168,"FBpp0076797","Blimp-1",38638,"100%",1,"1168-elegans:melanogaster"
63,"Caenorhabditis elegans",2377,"CE06742","C01F1.1",173764,"100%",1,"2377-elegans:melanogaster"
64,"Drosophila melanogaster",2377,"FBpp0081216","TfIIFalpha",40790,"100%",1,"2377-elegans:melanogaster"
65,"Caenorhabditis elegans",2324,"CE06743","sco-1",173763,"100%",1,"2324-elegans:melanogaster"
66,"Drosophila melanogaster",2324,"FBpp0078688","Scox",33711,"100%",1,"2324-elegans:melanogaster"
67,"Caenorhabditis elegans",3280,"CE07948","C06A5.1",182280,"100%",1,"3280-elegans:melanogaster"
68,"Drosophila melanogaster",3280,"FBpp0072077","CG3173",37840,"100%",1,"3280-elegans:melanogaster"
69,"Caenorhabditis elegans",2136,"CE00499","C07A9.2",176368,"100%",1,"2136-elegans:melanogaster"
70,"Drosophila melanogaster",2136,"FBpp0073316","l(1)10Bb",32069,"100%",1,"2136-elegans:melanogaster"
71,"Caenorhabditis elegans",1477,"CE36913","ubh-4",174289,"100%",1,"1477-elegans:melanogaster"
72,"Drosophila melanogaster",1477,"FBpp0076200","Uch-L3",39102,"99%",1,"1477-elegans:melanogaster"
73,"Drosophila melanogaster",1477,"FBpp0073471","CG1950",32173,NULL,0.254,"1477-elegans:melanogaster"
74,"Caenorhabditis elegans",2036,"CE05262","C11H1.3",181537,"100%",1,"2036-elegans:melanogaster"
75,"Drosophila melanogaster",2036,"FBpp0073674","CG9941",32330,"100%",1,"2036-elegans:melanogaster"
76,"Caenorhabditis elegans",3550,"CE20520","C18E9.10",174427,"100%",1,"3550-elegans:melanogaster"
77,"Drosophila melanogaster",3550,"FBpp0090982","CG33635",3772540,"100%",1,"3550-elegans:melanogaster"
78,"Caenorhabditis elegans",2108,"CE26875","vps-22",175672,"100%",1,"2108-elegans:melanogaster"
79,"Drosophila melanogaster",2108,"FBpp0083533","lsn",42572,"100%",1,"2108-elegans:melanogaster"
80,"Caenorhabditis elegans",2596,"CE29687","tbc-7",180784,"100%",1,"2596-elegans:melanogaster"
81,"Drosophila melanogaster",2596,"FBpp0080973","sky",35359,"100%",1,"2596-elegans:melanogaster"
82,"Caenorhabditis elegans",3398,"CE05347","C33A12.1",177786,"100%",1,"3398-elegans:melanogaster"
83,"Drosophila melanogaster",3398,"FBpp0076005","CG6463",39214,"100%",1,"3398-elegans:melanogaster"
84,"Caenorhabditis elegans",856,"CE40325","F01G4.6",178020,"99%",1,"856-elegans:melanogaster"
85,"Caenorhabditis elegans",856,"CE04144","C33F10.12",183168,NULL,0.12,"856-elegans:melanogaster"
86,"Caenorhabditis elegans",856,"CE13249","T05F1.8",172809,NULL,0.117,"856-elegans:melanogaster"
87,"Drosophila melanogaster",856,"FBpp0075461","Mpcp",39587,"100%",1,"856-elegans:melanogaster"
88,"Drosophila melanogaster",856,"FBpp0085615","CG9090",37297,NULL,0.284,"856-elegans:melanogaster"
89,"Caenorhabditis elegans",753,"CE26907","C33H5.18",3565046,"100%",1,"753-elegans:melanogaster"
90,"Drosophila melanogaster",753,"FBpp0076411","CdsA",43950,"100%",1,"753-elegans:melanogaster"
91,"Caenorhabditis elegans",4016,"CE05389","scl-8",183345,"100%",1,"4016-elegans:melanogaster"
92,"Caenorhabditis elegans",4016,"CE39206","scl-23",182028,"100%",1,"4016-elegans:melanogaster"
93,"Caenorhabditis elegans",4016,"CE05388","scl-7",183344,NULL,0.654,"4016-elegans:melanogaster"
94,"Caenorhabditis elegans",4016,"CE05385","scl-5",178253,NULL,0.493,"4016-elegans:melanogaster"
95,"Caenorhabditis elegans",4016,"CE05906","scl-2",178251,NULL,0.488,"4016-elegans:melanogaster"
96,"Caenorhabditis elegans",4016,"CE05907","scl-3",178252,NULL,0.483,"4016-elegans:melanogaster"
97,"Caenorhabditis elegans",4016,"CE09282","scl-14",184246,NULL,0.477,"4016-elegans:melanogaster"
98,"Caenorhabditis elegans",4016,"CE09196","scl-15",184099,NULL,0.466,"4016-elegans:melanogaster"
99,"Caenorhabditis elegans",4016,"CE10802","scl-11",186050,NULL,0.44,"4016-elegans:melanogaster"
100,"Caenorhabditis elegans",4016,"CE05905","scl-1",186053,NULL,0.418,"4016-elegans:melanogaster"
101,"Caenorhabditis elegans",4016,"CE23800","scl-12",186714,NULL,0.399,"4016-elegans:melanogaster"
102,"Caenorhabditis elegans",4016,"CE20952","scl-13",178798,NULL,0.391,"4016-elegans:melanogaster"
103,"Caenorhabditis elegans",4016,"CE05387","scl-6",183343,NULL,0.359,"4016-elegans:melanogaster"
104,"Caenorhabditis elegans",4016,"CE05901","scl-10",186049,NULL,0.34,"4016-elegans:melanogaster"
105,"Caenorhabditis elegans",4016,"CE25386","scl-17",190174,NULL,0.228,"4016-elegans:melanogaster"
106,"Caenorhabditis elegans",4016,"CE16723","scl-20",191309,NULL,0.19,"4016-elegans:melanogaster"
107,"Caenorhabditis elegans",4016,"CE10800","scl-9",186048,NULL,0.155,"4016-elegans:melanogaster"
108,"Caenorhabditis elegans",4016,"CE21890","scl-21",189870,NULL,0.067,"4016-elegans:melanogaster"
109,"Drosophila melanogaster",4016,"FBpp0111895","CG9400",32385,"100%",1,"4016-elegans:melanogaster"
110,"Drosophila melanogaster",4016,"FBpp0071538","CG9822",37440,"100%",1,"4016-elegans:melanogaster"
111,"Drosophila melanogaster",4016,"FBpp0071537","CG17974",37441,NULL,0.51,"4016-elegans:melanogaster"
112,"Drosophila melanogaster",4016,"FBpp0071403","CG32679",318150,NULL,0.244,"4016-elegans:melanogaster"
113,"Drosophila melanogaster",4016,"FBpp0076040","CG6628",39183,NULL,0.242,"4016-elegans:melanogaster"
114,"Drosophila melanogaster",4016,"FBpp0073754","Ag5r",44631,NULL,0.231,"4016-elegans:melanogaster"
115,"Drosophila melanogaster",4016,"FBpp0086932","CG17575",36414,NULL,0.212,"4016-elegans:melanogaster"
116,"Drosophila melanogaster",4016,"FBpp0073755","Ag5r2",44079,NULL,0.2,"4016-elegans:melanogaster"
117,"Drosophila melanogaster",4016,"FBpp0081833","scpr-A",41358,NULL,0.193,"4016-elegans:melanogaster"
118,"Drosophila melanogaster",4016,"FBpp0081838","scpr-B",41357,NULL,0.189,"4016-elegans:melanogaster"
119,"Drosophila melanogaster",4016,"FBpp0081827","scpr-C",41348,NULL,0.185,"4016-elegans:melanogaster"
120,"Drosophila melanogaster",4016,"FBpp0072229","CG3640",37942,NULL,0.177,"4016-elegans:melanogaster"
121,"Drosophila melanogaster",4016,"FBpp0086930","CG30486",246645,NULL,0.149,"4016-elegans:melanogaster"
122,"Drosophila melanogaster",4016,"FBpp0082609","CG31296",318668,NULL,0.097,"4016-elegans:melanogaster"
123,"Drosophila melanogaster",4016,"FBpp0080910","CG10651",35303,NULL,0.053,"4016-elegans:melanogaster"
124,"Caenorhabditis elegans",622,"CE27581","madd-2",178619,"100%",1,"622-elegans:melanogaster"
125,"Drosophila melanogaster",622,"FBpp0079685","Trim9",34453,"100%",1,"622-elegans:melanogaster"
126,"Caenorhabditis elegans",2965,"CE08817","C48E7.2",172321,"100%",1,"2965-elegans:melanogaster"
127,"Drosophila melanogaster",2965,"FBpp0082104","CG12267",41542,"100%",1,"2965-elegans:melanogaster"
128,"Caenorhabditis elegans",1834,"CE12368","calu-1",180769,"100%",1,"1834-elegans:melanogaster"
129,"Drosophila melanogaster",1834,"FBpp0088879","scf",38145,"100%",1,"1834-elegans:melanogaster"
130,"Caenorhabditis elegans",2986,"CE30636","vps-33.2",174095,"64%",1,"2986-elegans:melanogaster"
131,"Drosophila melanogaster",2986,"FBpp0074496","car",32947,"95%",1,"2986-elegans:melanogaster"
132,"Caenorhabditis elegans",386,"CE22476","ctl-2",175085,"100%",1,"386-elegans:melanogaster"
133,"Caenorhabditis elegans",386,"CE30713","ctl-1",259738,NULL,0.519,"386-elegans:melanogaster"
134,"Caenorhabditis elegans",386,"CE22478","ctl-3",175086,NULL,0.431,"386-elegans:melanogaster"
135,"Drosophila melanogaster",386,"FBpp0074825","Cat",40048,"100%",1,"386-elegans:melanogaster"
136,"Drosophila melanogaster",386,"FBpp0079333","CG9314",34198,NULL,0.306,"386-elegans:melanogaster"
137,"Caenorhabditis elegans",1857,"CE02327","cchl-1",174713,"100%",1,"1857-elegans:melanogaster"
138,"Drosophila melanogaster",1857,"FBpp0083583","Cchl",42590,"100%",1,"1857-elegans:melanogaster"
139,"Caenorhabditis elegans",3543,"CE09693","cco-1",172832,"100%",1,"3543-elegans:melanogaster"
140,"Drosophila melanogaster",3543,"FBpp0078918","CG11015",33918,"100%",1,"3543-elegans:melanogaster"
141,"Caenorhabditis elegans",3429,"CE20218","cco-2",176707,"100%",1,"3429-elegans:melanogaster"
142,"Drosophila melanogaster",3429,"FBpp0081947","CoVa",41432,"100%",1,"3429-elegans:melanogaster"
143,"Caenorhabditis elegans",1006,"CE42682","ccr-4",178184,"100%",1,"1006-elegans:melanogaster"
144,"Drosophila melanogaster",1006,"FBpp0083954","twin",42880,"100%",1,"1006-elegans:melanogaster"
145,"Caenorhabditis elegans",405,"CE02262","cct-4",174330,"100%",1,"405-elegans:melanogaster"
146,"Drosophila melanogaster",405,"FBpp0079992","CG5525",34674,"100%",1,"405-elegans:melanogaster"
147,"Caenorhabditis elegans",361,"CE01234","cct-6",175819,"100%",1,"361-elegans:melanogaster"
148,"Drosophila melanogaster",361,"FBpp0073902","Tcp-1zeta",32518,"100%",1,"361-elegans:melanogaster"
149,"Caenorhabditis elegans",1627,"CE30937","F08C6.2",181021,"100%",1,"1627-elegans:melanogaster"
150,"Drosophila melanogaster",1627,"FBpp0072621","Cct1",117353,"100%",1,"1627-elegans:melanogaster"
151,"Drosophila melanogaster",1627,"FBpp0072625","Cct2",38180,NULL,0.308,"1627-elegans:melanogaster"
152,"Caenorhabditis elegans",3867,"CE16952","vps-37",178944,"100%",1,"3867-elegans:melanogaster"
153,"Drosophila melanogaster",3867,"FBpp0078424","CG1115",40624,"95%",1,"3867-elegans:melanogaster"
154,"Caenorhabditis elegans",3359,"CE11778","cdc-25.1",172353,"50%",1,"3359-elegans:melanogaster"
155,"Drosophila melanogaster",3359,"FBpp0080412","twe",34954,"100%",1,"3359-elegans:melanogaster"
156,"Drosophila melanogaster",3359,"FBpp0084766","stg",43466,NULL,0.208,"3359-elegans:melanogaster"
157,"Caenorhabditis elegans",1312,"CE30320","cdk-7",171784,"99%",1,"1312-elegans:melanogaster"
158,"Drosophila melanogaster",1312,"FBpp0070723","Cdk7",31441,"99%",1,"1312-elegans:melanogaster"
159,"Caenorhabditis elegans",874,"CE21213","cdk-5",176774,"100%",1,"874-elegans:melanogaster"
160,"Drosophila melanogaster",874,"FBpp0086483","Cdk5",36727,"100%",1,"874-elegans:melanogaster"
161,"Caenorhabditis elegans",3243,"CE29088","ced-3",178272,"81%",1,"3243-elegans:melanogaster"
162,"Drosophila melanogaster",3243,"FBpp0084848","Ice",43514,"97%",1,"3243-elegans:melanogaster"
163,"Drosophila melanogaster",3243,"FBpp0071971","Dcp-1",37729,NULL,0.443,"3243-elegans:melanogaster"
164,"Drosophila melanogaster",3243,"FBpp0082755","decay",42008,NULL,0.051,"3243-elegans:melanogaster"
165,"Caenorhabditis elegans",1027,"CE32300","cel-1",172814,"100%",1,"1027-elegans:melanogaster"
166,"Drosophila melanogaster",1027,"FBpp0073739","mRNA-cap",32379,"100%",1,"1027-elegans:melanogaster"
167,"Caenorhabditis elegans",1681,"CE23681","F25H2.6",172940,"100%",1,"1681-elegans:melanogaster"
168,"Drosophila melanogaster",1681,"FBpp0076440","cert",38928,"100%",1,"1681-elegans:melanogaster"
169,"Caenorhabditis elegans",682,"CE42072","che-11",179666,"100%",1,"682-elegans:melanogaster"
170,"Drosophila melanogaster",682,"FBpp0077738","rempA",33230,"100%",1,"682-elegans:melanogaster"
171,"Caenorhabditis elegans",2739,"CE31704","che-13",186607,"100%",1,"2739-elegans:melanogaster"
172,"Drosophila melanogaster",2739,"FBpp0077218","CG8853",33579,"100%",1,"2739-elegans:melanogaster"
173,"Caenorhabditis elegans",1025,"CE25876","che-2",180401,"100%",1,"1025-elegans:melanogaster"
174,"Drosophila melanogaster",1025,"FBpp0288481","Oseg5",35349,"100%",1,"1025-elegans:melanogaster"
175,"Caenorhabditis elegans",21,"CE32386","che-3",172593,"100%",1,"21-elegans:melanogaster"
176,"Drosophila melanogaster",21,"FBpp0271926","btv",35073,"100%",1,"21-elegans:melanogaster"
177,"Caenorhabditis elegans",1755,"CE26076","chk-1",3565921,"99%",1,"1755-elegans:melanogaster"
178,"Drosophila melanogaster",1755,"FBpp0080441","grp",34993,"100%",1,"1755-elegans:melanogaster"
179,"Caenorhabditis elegans",2573,"CE01438","clk-1",175729,"100%",1,"2573-elegans:melanogaster"
180,"Drosophila melanogaster",2573,"FBpp0070924","COQ7",44007,"100%",1,"2573-elegans:melanogaster"
181,"Caenorhabditis elegans",592,"CE35723","apm-3",186194,"100%",1,"592-elegans:melanogaster"
182,"Drosophila melanogaster",592,"FBpp0070992","cm",31647,"100%",1,"592-elegans:melanogaster"
183,"Caenorhabditis elegans",1748,"CE32679","cnb-1",179572,"100%",1,"1748-elegans:melanogaster"
184,"Drosophila melanogaster",1748,"FBpp0088004","CanB2",46456,"100%",1,"1748-elegans:melanogaster"
185,"Drosophila melanogaster",1748,"FBpp0070731","CanB",44317,NULL,0.898,"1748-elegans:melanogaster"
186,"Caenorhabditis elegans",3872,"CE02146","crn-5",174634,"80%",1,"3872-elegans:melanogaster"
187,"Drosophila melanogaster",3872,"FBpp0081725","Rrp46",41270,"100%",1,"3872-elegans:melanogaster"
188,"Caenorhabditis elegans",785,"CE39917","cst-1",180708,"100%",1,"785-elegans:melanogaster"
189,"Caenorhabditis elegans",785,"CE27082","cst-2",180707,NULL,0.648,"785-elegans:melanogaster"
190,"Drosophila melanogaster",785,"FBpp0085688","hpo",37247,"100%",1,"785-elegans:melanogaster"
191,"Caenorhabditis elegans",169,"CE26305","cua-1",176770,"100%",1,"169-elegans:melanogaster"
192,"Drosophila melanogaster",169,"FBpp0271765","ATP7",32142,"100%",1,"169-elegans:melanogaster"
193,"Caenorhabditis elegans",503,"CE29089","cul-1",176466,"100%",1,"503-elegans:melanogaster"
194,"Caenorhabditis elegans",503,"CE11928","cul-6",178214,NULL,0.061,"503-elegans:melanogaster"
195,"Drosophila melanogaster",503,"FBpp0087921","lin19",35742,"100%",1,"503-elegans:melanogaster"
196,"Caenorhabditis elegans",1666,"CE05514","cyc-1",172582,"100%",1,"1666-elegans:melanogaster"
197,"Drosophila melanogaster",1666,"FBpp0076848","CG4769",38612,"100%",1,"1666-elegans:melanogaster"
198,"Drosophila melanogaster",1666,"FBpp0084775","CG14508",43457,NULL,0.302,"1666-elegans:melanogaster"
199,"Caenorhabditis elegans",1905,"CE10222","cyp-33C3",3565571,"92%",1,"1905-elegans:melanogaster"
200,"Caenorhabditis elegans",1905,"CE10378","cyp-33C4",178704,NULL,0.844,"1905-elegans:melanogaster"
201,"Caenorhabditis elegans",1905,"CE27379","cyp-33C5",178706,NULL,0.716,"1905-elegans:melanogaster"
202,"Caenorhabditis elegans",1905,"CE42114","cyp-33C7",185589,NULL,0.694,"1905-elegans:melanogaster"
203,"Caenorhabditis elegans",1905,"CE12584","cyp-33C8",187705,NULL,0.606,"1905-elegans:melanogaster"
204,"Caenorhabditis elegans",1905,"CE10228","cyp-33C6",185591,NULL,0.604,"1905-elegans:melanogaster"
205,"Caenorhabditis elegans",1905,"CE22218","cyp-33C11",190065,NULL,0.514,"1905-elegans:melanogaster"
206,"Caenorhabditis elegans",1905,"CE25818","cyp-33C2",178695,NULL,0.435,"1905-elegans:melanogaster"
207,"Caenorhabditis elegans",1905,"CE08931","cyp-33C9",178752,NULL,0.432,"1905-elegans:melanogaster"
208,"Caenorhabditis elegans",1905,"CE21315","cyp-33C12",189364,NULL,0.431,"1905-elegans:melanogaster"
209,"Caenorhabditis elegans",1905,"CE08736","cyp-33C1",183484,NULL,0.422,"1905-elegans:melanogaster"
210,"Caenorhabditis elegans",1905,"CE16589","cyp-33D3",189444,NULL,0.393,"1905-elegans:melanogaster"
211,"Caenorhabditis elegans",1905,"CE16230","cyp-33D1",187025,NULL,0.336,"1905-elegans:melanogaster"
212,"Caenorhabditis elegans",1905,"CE06809","cyp-33A1",179148,NULL,0.259,"1905-elegans:melanogaster"
213,"Caenorhabditis elegans",1905,"CE41900","cyp-33E2",185653,NULL,0.189,"1905-elegans:melanogaster"
214,"Caenorhabditis elegans",1905,"CE35248","cyp-33B1",182888,NULL,0.188,"1905-elegans:melanogaster"
215,"Caenorhabditis elegans",1905,"CE31452","cyp-33E1",183602,NULL,0.179,"1905-elegans:melanogaster"
216,"Drosophila melanogaster",1905,"FBpp0074380","Cyp18a1",32858,"90%",1,"1905-elegans:melanogaster"
217,"Caenorhabditis elegans",1535,"CE05532","D1054.14",179499,"100%",1,"1535-elegans:melanogaster"
218,"Drosophila melanogaster",1535,"FBpp0087663","Prp38",35934,"100%",1,"1535-elegans:melanogaster"
219,"Caenorhabditis elegans",3427,"CE36992","D1069.3",173425,"100%",1,"3427-elegans:melanogaster"
220,"Drosophila melanogaster",3427,"FBpp0086043","CG6406",37019,"100%",1,"3427-elegans:melanogaster"
221,"Caenorhabditis elegans",3706,"CE09081","D2030.4",172513,"100%",1,"3706-elegans:melanogaster"
222,"Drosophila melanogaster",3706,"FBpp0073777","CG5548",32434,"100%",1,"3706-elegans:melanogaster"
223,"Caenorhabditis elegans",1844,"CE09086","wdr-23",172518,"100%",1,"1844-elegans:melanogaster"
224,"Drosophila melanogaster",1844,"FBpp0085539","CG9945",37329,"100%",1,"1844-elegans:melanogaster"
225,"Caenorhabditis elegans",3152,"CE03107","D2085.3",174387,"100%",1,"3152-elegans:melanogaster"
226,"Drosophila melanogaster",3152,"FBpp0070336","eIF2B-epsi",31156,"100%",1,"3152-elegans:melanogaster"
227,"Caenorhabditis elegans",2313,"CE27584","daf-12",181263,"66%",1,"2313-elegans:melanogaster"
228,"Drosophila melanogaster",2313,"FBpp0084131","Hr96",42993,"100%",1,"2313-elegans:melanogaster"
229,"Caenorhabditis elegans",438,"CE28536","daf-15",177770,"100%",1,"438-elegans:melanogaster"
230,"Drosophila melanogaster",438,"FBpp0070850","raptor",31543,"100%",1,"438-elegans:melanogaster"
231,"Caenorhabditis elegans",689,"CE27499","daf-2",175410,"100%",1,"689-elegans:melanogaster"
232,"Drosophila melanogaster",689,"FBpp0083519","InR",42549,"100%",1,"689-elegans:melanogaster"
233,"Caenorhabditis elegans",2503,"CE16827","daf-4",175781,"80%",1,"2503-elegans:melanogaster"
234,"Drosophila melanogaster",2503,"FBpp0082436","put",41772,"100%",1,"2503-elegans:melanogaster"
235,"Drosophila melanogaster",2503,"FBpp0073135","wit",44096,NULL,0.056,"2503-elegans:melanogaster"
236,"Caenorhabditis elegans",3757,"CE01758","daf-7",175237,"68%",1,"3757-elegans:melanogaster"
237,"Drosophila melanogaster",3757,"FBpp0088161","myoglianin",43811,"100%",1,"3757-elegans:melanogaster"
238,"Caenorhabditis elegans",4050,"CE11536","ddl-1",173954,"100%",1,"4050-elegans:melanogaster"
239,"Drosophila melanogaster",4050,"FBpp0079162","CG7429",34097,"100%",1,"4050-elegans:melanogaster"
240,"Caenorhabditis elegans",3312,"CE14854","ddl-2",190025,"100%",1,"3312-elegans:melanogaster"
241,"Drosophila melanogaster",3312,"FBpp0087097","wash",36311,"100%",1,"3312-elegans:melanogaster"
242,"Caenorhabditis elegans",3879,"CE22480","ddl-3",175087,"100%",1,"3879-elegans:melanogaster"
243,"Drosophila melanogaster",3879,"FBpp0080720","CG15173",35172,"100%",1,"3879-elegans:melanogaster"
244,"Caenorhabditis elegans",2115,"CE32618","din-1",174782,"100%",1,"2115-elegans:melanogaster"
245,"Drosophila melanogaster",2115,"FBpp0077781","spen",44205,"100%",1,"2115-elegans:melanogaster"
246,"Caenorhabditis elegans",2678,"CE07740","djr-1.1",173416,"100%",1,"2678-elegans:melanogaster"
247,"Caenorhabditis elegans",2678,"CE08869","djr-1.2",183625,NULL,0.267,"2678-elegans:melanogaster"
248,"Drosophila melanogaster",2678,"FBpp0085065","dj-1beta",43652,"100%",1,"2678-elegans:melanogaster"
249,"Drosophila melanogaster",2678,"FBpp0086741","DJ-1alpha",36543,NULL,0.288,"2678-elegans:melanogaster"
250,"Caenorhabditis elegans",2678,"CE07740","djr-1.1",173416,"100%",1,"2678-elegans:melanogaster"
251,"Caenorhabditis elegans",2678,"CE08869","djr-1.2",183625,NULL,0.267,"2678-elegans:melanogaster"
252,"Drosophila melanogaster",2678,"FBpp0085065","dj-1beta",43652,"100%",1,"2678-elegans:melanogaster"
253,"Drosophila melanogaster",2678,"FBpp0086741","DJ-1alpha",36543,NULL,0.288,"2678-elegans:melanogaster"
254,"Caenorhabditis elegans",278,"CE42484","dkf-2",180121,"99%",1,"278-elegans:melanogaster"
