id,compound_id,species,strain,dosage,avg_lifespan_change_percent,max_lifespan_change_percent,gender,significance,pubmed_id,notes,biblio_id,last_modified,pvalue
53,2791,Caenorhabditis elegans,N2,200 µg/ml,17,NULL,,S,3374177,Treatment applied exclusively on the four days prior to hatching.,17829,09/06/2020 18:54,NULL
54,2791,Caenorhabditis elegans,N2,200 µg/ml,17,NULL,,S,3374177,Treatment applied exclusively on the first three days after hatching.,17829,09/06/2020 18:54,NULL
55,2773,Zaprionus paravittiger,,1 mM,-89.8,-94.9,Female,S,3721207,,17836,09/06/2020 18:54,NULL
56,2791,Caenorhabditis elegans,N2,200 µg/ml,23,NULL,,S,3374177,Experiment 2 of the article.,17829,09/06/2020 18:54,NULL
57,2773,Zaprionus paravittiger,,500 mM,-85.3,-78.6,Male,S,3721207,,17836,09/06/2020 18:54,NULL
58,2773,Zaprionus paravittiger,,100 mM,-58.8,-54.8,Male,S,3721207,,17836,09/06/2020 18:54,NULL
59,2773,Zaprionus paravittiger,,60 mM,-24.4,-11.2,Female,S,3721207,,17836,09/06/2020 18:54,NULL
60,2773,Zaprionus paravittiger,,500 mM,-84.1,-78.1,Female,S,3721207,,17836,09/06/2020 18:54,NULL
61,2773,Zaprionus paravittiger,,10 mM,-8.3,-1.7,Female,S,3721207,Maximum lifespan change is not statistically significant.,17836,09/06/2020 18:54,NULL
62,2773,Zaprionus paravittiger,,10 mM,-4.1,-1.4,Male,NS,3721207,,17836,09/06/2020 18:54,NULL
63,2773,Zaprionus paravittiger,,1 mM,-88.5,-91.4,Male,S,3721207,,17836,09/06/2020 18:54,NULL
64,2773,Zaprionus paravittiger,,1 µM,1,6,Female,S,3721207,Median lifespan change is not statistically significant.,17836,09/06/2020 18:54,NULL
65,2773,Zaprionus paravittiger,,10 µM,13,13.3,Female,S,3721207,,17836,09/06/2020 18:54,NULL
66,2773,Zaprionus paravittiger,,100 mM,-46.9,-47.2,Female,S,3721207,,17836,09/06/2020 18:54,NULL
67,2773,Zaprionus paravittiger,,1 µM,5.3,5.7,Male,S,3721207,Maximum lifespan change is not statistically significant.,17836,09/06/2020 18:54,NULL
68,2773,Zaprionus paravittiger,,100 µM,18,21,Female,S,3721207,,17836,09/06/2020 18:54,NULL
69,2773,Zaprionus paravittiger,,10 µM,13.2,12.4,Male,S,3721207,,17836,09/06/2020 18:54,NULL
70,2773,Zaprionus paravittiger,,60 mM,-24.2,-8.1,Male,S,3721207,,17836,09/06/2020 18:54,NULL
71,2773,Zaprionus paravittiger,,5 mM,23.6,21.9,Male,S,3721207,,17836,09/06/2020 18:54,NULL
72,2773,Zaprionus paravittiger,,5 mM,25.4,19.7,Female,S,3721207,,17836,09/06/2020 18:54,NULL
73,2773,Zaprionus paravittiger,,1 mM,28.1,27,Female,S,3721207,,17836,09/06/2020 18:54,NULL
74,2773,Zaprionus paravittiger,,1 mM,28.5,34.3,Male,S,3721207,,17836,09/06/2020 18:54,NULL
75,2700,Aedes aegypti,,0.001% (w/v),42.7,NULL,Female,S,3749035,,17856,09/06/2020 18:54,NULL
76,2773,Zaprionus paravittiger,,100 µM,24.9,22.9,Male,S,3721207,,17836,09/06/2020 18:54,NULL
77,2700,Aedes aegypti,,0.005% (w/v),6.7,NULL,Female,NS,3749035,,17856,09/06/2020 18:54,NULL
78,2700,Aedes aegypti,,0.01% (w/v),13.6,NULL,Female,NS,3749035,,17856,09/06/2020 18:54,NULL
79,2700,Aedes aegypti,,0.005% (w/v),64.3,NULL,Male,S,3749035,,17856,09/06/2020 18:54,NULL
80,2739,Asplanchna brightwelli,,0.00%,-24,NULL,,S,3833547,,17860,09/06/2020 18:54,NULL
81,2739,Asplanchna brightwelli,,0.00%,26,NULL,,S,3833547,,17860,09/06/2020 18:54,NULL
82,2739,Asplanchna brightwelli,,0.00%,32,NULL,,S,3833547,,17860,09/06/2020 18:54,NULL
83,2700,Aedes aegypti,,0.001% (w/v),11.9,NULL,Male,NS,3749035,,17856,09/06/2020 18:54,NULL
84,2828,Mus musculus,C3H,0.5% w/w,18.1,NULL,Male,S,4927196,,17865,09/06/2020 18:54,NULL
85,2739,Asplanchna brightwelli,,0.00%,34,NULL,,S,3833547,,17860,09/06/2020 18:54,NULL
86,2791,Asplanchna brightwelli,,25 µg/mL,21,NULL,NULL,S,6479253,,17866,09/06/2020 18:54,NULL
87,2828,Mus musculus,C3H,0.5% w/w,19.9,NULL,Female,S,4927196,,17865,09/06/2020 18:54,NULL
88,2857,Rattus norvegicus,Wistar,0.5 µg/g bodyweight,-3.5,NULL,Female,O,6632988,"Drug delivered via injection, only in the first 10 days of neo natal life.",17868,09/06/2020 18:54,NULL
89,2857,Rattus norvegicus,Wistar,0.5 µg/g bodyweight,6.9,NULL,Male,O,6632988,"Drug delivered via injection, only in the first 10 days of neo natal life.",17868,09/06/2020 18:54,NULL
90,2857,Rattus norvegicus,Wistar,1 µg/g bodyweight,8.4,NULL,Female,O,6632988,"Drug delivered via injection, only in the first 10 days of neo natal life.",17868,09/06/2020 18:54,NULL
91,2857,Rattus norvegicus,Wistar,2 µg/g bodyweight,11.6,NULL,Female,O,6632988,"Drug delivered via injection, only in the first 10 days of neo natal life.",17868,09/06/2020 18:54,NULL
92,2857,Rattus norvegicus,Wistar,2 µg/g bodyweight,11.1,NULL,Male,O,6632988,"Drug delivered via injection, only in the first 10 days of neo natal life.",17868,09/06/2020 18:54,NULL
93,2784,Drosophila bipectinata,,100 µM,13,NULL,Female,S,6656301,,17874,09/06/2020 18:54,NULL
94,2857,Rattus norvegicus,Wistar,1 µg/g bodyweight,16.1,NULL,Male,O,6632988,"Drug delivered via injection, only in the first 10 days of neo natal life.",17868,09/06/2020 18:54,NULL
95,2784,Drosophila bipectinata,,10 µM,4.3,NULL,Female,S,6656301,,17874,09/06/2020 18:54,NULL
96,2784,Drosophila bipectinata,,100 µM,14.3,NULL,Male,S,6656301,,17874,09/06/2020 18:54,NULL
97,2784,Drosophila bipectinata,,1000 µM,26.1,NULL,Female,S,6656301,,17874,09/06/2020 18:54,NULL
98,2784,Drosophila bipectinata,,10 µM,4.8,NULL,Male,S,6656301,,17874,09/06/2020 18:54,NULL
99,2990,Mus musculus,C3H/Sn,0.5 mg,28,11.2,Female,S,6752596,,17879,09/06/2020 18:54,NULL
100,3002,Mus musculus,C3H/Sn,0.5 mg,31,14,Female,S,6752596,,17879,09/06/2020 18:54,NULL
101,2757,Drosophila melanogaster,Oregon R,0.3% wt/vol,31,NULL,,S,6821144,,17881,09/06/2020 18:54,NULL
102,2791,Philodina,,concentration of 10^ -4,9.2,0,,NS,7428854,The vitamin E may be first ingested by the Paramecia which are later preyed upon by the rotifers.,17882,09/06/2020 18:54,NULL
103,2695,Zaprionus paravittiger,,3125 ppm,-71,-47.1,Male,S,7488181,,17883,09/06/2020 18:54,NULL
104,2784,Drosophila bipectinata,,1000 µM,19,NULL,Male,S,6656301,,17874,09/06/2020 18:54,NULL
105,2695,Zaprionus paravittiger,,625 ppm,-20,0,Male,NS,7488181,,17883,09/06/2020 18:54,NULL
106,2695,Zaprionus paravittiger,,3125 ppm,-65.7,-55.2,Female,S,7488181,,17883,09/06/2020 18:54,NULL
107,2791,Drosophila melanogaster,Oregon R,0.4% wt/vol,14,NULL,,S,6821144,,17881,09/06/2020 18:54,NULL
108,2695,Zaprionus paravittiger,,125 ppm,-2.9,17.1,Male,S,7488181,Median lifespan change is not statistically significant.,17883,09/06/2020 18:54,NULL
109,2695,Zaprionus paravittiger,,625 ppm,-2.9,-13.2,Female,S,7488181,Median lifespan change is not statistically significant.,17883,09/06/2020 18:54,NULL
110,2695,Zaprionus paravittiger,,125 ppm,22.9,15.8,Female,S,7488181,,17883,09/06/2020 18:54,NULL
111,2695,Zaprionus paravittiger,,25 ppm,14.2,12.9,Male,S,7488181,,17883,09/06/2020 18:54,NULL
112,3079,Drosophila melanogaster,Oregon R,0.01 M,-69.2,NULL,Male,S,7889879,,17892,09/06/2020 18:54,NULL
113,2695,Zaprionus paravittiger,,25 ppm,80,19.7,Female,S,7488181,,17883,09/06/2020 18:54,NULL
114,3079,Drosophila melanogaster,Oregon R,0.05 M,-51.9,NULL,Male,S,7889879,,17892,09/06/2020 18:54,NULL
115,3079,Drosophila melanogaster,Oregon R,1 µM,0,NULL,Male,NS,7889879,,17892,09/06/2020 18:54,NULL
116,3079,Drosophila melanogaster,Oregon R,0.01 mM,1.5,NULL,Male,S,7889879,,17892,09/06/2020 18:54,NULL
117,3079,Drosophila melanogaster,Oregon R,0.1 mM,3,NULL,Male,S,7889879,,17892,09/06/2020 18:54,NULL
118,3079,Drosophila melanogaster,Oregon R,0.25 mM,9.5,NULL,Male,NS,7889879,,17892,09/06/2020 18:54,NULL
119,3079,Drosophila melanogaster,Oregon R,1 mM,-21.2,NULL,Male,S,7889879,,17892,09/06/2020 18:54,NULL
120,3079,Mus musculus,C57BL/6J,0.5 mM (21.6 ppm),0.8,NULL,MALE,NS,7889879,,17892,13/08/2020 22:09,NULL
121,2854,Rattus norvegicus,F344/DuCrj,0.5 mg/kg. 3 times a week,5.6,1,Male,S,8030852,Treatment started at 18 months of age. Maximum lifespan extension is not significant. It failed to work on PMID: 9263197 and 9564632.,17901,09/06/2020 18:54,NULL
122,3045,Drosophila melanogaster,Oregon R,Instead of water,20.2,NULL,Male,S,8326745,,17902,09/06/2020 18:54,NULL
123,2802,Mus musculus,BALB/c,10 micro-g/ml of water,18.1,NULL,FEMALE,S,8290600,,17903,15/08/2020 09:51,NULL
124,2694,Drosophila melanogaster,Oregon R,0.01 mg/ml,-10.1,NULL,Male,NS,8326745,The values refers to median lifespan change.,17902,09/06/2020 18:54,NULL
125,2694,Drosophila melanogaster,Oregon R,1 mg/ml,-3.3,NULL,Male,NS,8326745,The values refers to median lifespan change.,17902,09/06/2020 18:54,NULL
126,3079,Mus musculus,C57BL/6J,0.1 mM (4.3 ppm),-2.9,NULL,MALE,NS,7889879,,17892,15/08/2020 10:04,NULL
127,2905,Drosophila melanogaster,Oregon R,0.1 mg/ml,-8.5,NULL,Male,NS,8326745,The value refers to median lifespan change.,17902,09/06/2020 18:54,NULL
128,2694,Drosophila melanogaster,Oregon R,0.1 mg/ml,1.7,NULL,Male,NS,8326745,The values refers to median lifespan change.,17902,09/06/2020 18:54,NULL
129,2905,Drosophila melanogaster,Oregon R,1 mg/ml,-5.1,NULL,Male,NS,8326745,The value refers to median lifespan change.,17902,09/06/2020 18:54,NULL
130,2722,Drosophila melanogaster,Oregon R,0.01 mg/ml,1.8,NULL,Male,NS,8326745,The value refers to median lifespan extension.,17902,09/06/2020 18:54,NULL
131,2722,Drosophila melanogaster,Oregon R,0.1 mg/ml,3.7,NULL,Male,NS,8326745,The value refers to median lifespan extension.,17902,09/06/2020 18:54,NULL
132,2905,Drosophila melanogaster,Oregon R,0.01 mg/ml,-5.1,NULL,Male,NS,8326745,The value refers to median lifespan change.,17902,09/06/2020 18:54,NULL
133,2722,Drosophila melanogaster,Oregon R,1 mg/ml,7.4,NULL,Male,NS,8326745,The value refers to median lifespan extension.,17902,09/06/2020 18:54,NULL
134,2836,Drosophila melanogaster,Oregon R,1 mg/ml,0,NULL,Male,NS,8326745,The value refers to median survival.,17902,09/06/2020 18:54,NULL
135,2823,Drosophila melanogaster,Oregon R,Instead of water,8.6,NULL,Male,S,8326745,It failed to work when diluted 1:10 or 1:100.,17902,09/06/2020 18:54,NULL
136,2836,Drosophila melanogaster,Oregon R,0.1 mg/ml,0,NULL,Male,NS,8326745,The value refers to median survival.,17902,09/06/2020 18:54,NULL
137,2836,Drosophila melanogaster,Oregon R,1 mg/ml,-2.9,NULL,Male,NS,8326745,The value refers to median survival.,17902,09/06/2020 18:54,NULL
138,3086,Drosophila melanogaster,Oregon R,Instead of water,15.7,NULL,Male,S,8326745,Tetley brand. It failed to work when diluted 1:10 or 1:100.,17902,09/06/2020 18:54,NULL
139,3086,Drosophila melanogaster,Oregon R,1:10 dilution,7,NULL,Male,S,8326745,Salada brand. It failed to work when diluted 1:100.,17902,09/06/2020 18:54,NULL
140,3086,Drosophila melanogaster,Oregon R,Instead of water,20.2,NULL,Male,S,8326745,,17902,09/06/2020 18:54,NULL
141,2854,Mus musculus,B6CBAF1,0.25 mg/kg 3x/week,7,7.5,Male,NS,8914495,Treatment started at 18.5 months of age.,17922,09/06/2020 18:54,NULL
142,2854,Rattus norvegicus,F344/DuCrj,0.5 mg/kg. 3 times a week,15.1,NULL,Male,S,8423709,Treatment started at 18 months of work. It failed to work on PMID: 9263197 and 9564632.,17921,09/06/2020 18:54,NULL
143,2854,Mus musculus,B6CBAF1,0.25 mg/kg 3x/week,3.9,31.2,Female,NS,8914495,Treatment started at 18.5 months of age.,17922,09/06/2020 18:54,NULL
144,2874,Zaprionus paravittiger,,25 µg/ml,8.7,15.3,Female,S,8950031,Concentrations of 2.5mg/ml and above decreased median and maximum lifespan.,17925,09/06/2020 18:54,NULL
145,2854,Mus musculus,B6D2F1,0.25 mg/kg 3x/week,2.7,15.3,Male,NS,8914495,Treatment started at 26 months of age.,17922,09/06/2020 18:54,NULL
146,2874,Zaprionus paravittiger,,25 µg/ml,15.1,12.2,Male,S,8950031,Concentrations of 2.5mg/ml and above decreased median and maximum lifespan.,17925,09/06/2020 18:54,NULL
147,3086,Drosophila melanogaster,Oregon R,Instead of water,12.2,NULL,Male,S,8326745,Salada brand.,17902,09/06/2020 18:54,NULL
148,2854,Mus musculus,B6D2F1,0.25 mg/kg 3x/week,-0.1,-0.7,Female,NS,8914495,Treatment started at 26 months of age.,17922,09/06/2020 18:54,NULL
149,2993,Zaprionus paravittiger,,100 mM,-63.8,-53.7,Male,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
150,2993,Zaprionus paravittiger,,50 mM,-45.9,-40.7,Female,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
151,2993,Zaprionus paravittiger,,50 mM,-31.7,-46.3,Male,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
152,2993,Zaprionus paravittiger,,1 mM,1.7,0.8,Female,NS,9207858,,17929,09/06/2020 18:54,NULL
153,2993,Zaprionus paravittiger,,1 mM,4,1.3,Male,NS,9207858,,17929,09/06/2020 18:54,NULL
154,2993,Zaprionus paravittiger,,100 mM,-57.2,-55.2,Female,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
155,2993,Zaprionus paravittiger,,5 mM,7.9,6.9,Female,S,9207858,Only the median lifespan extension is statistically significant.,17929,09/06/2020 18:54,NULL
156,2993,Zaprionus paravittiger,,5 mM,18.4,6.6,Male,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
157,2993,Zaprionus paravittiger,,25 mM,13.1,4.4,Female,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
158,2993,Zaprionus paravittiger,,10 mM,27,17.6,Male,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
159,2993,Zaprionus paravittiger,,10 mM,15.1,27,Female,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
160,2854,Mesocricetus auratus,,0.05 mg/kg/day,NULL,16.4,Female,S,9258898,,17940,09/06/2020 18:54,NULL
161,2993,Zaprionus paravittiger,,25 mM,20.5,2.2,Male,S,9207858,"Both, median and maximum lifespan effects, are statistically significant.",17929,09/06/2020 18:54,NULL
162,3196,Paramecium tetraurelia,,50 mg/L,12.1,6.7,,O,9406982,Assay results reported from other (now too old to access) studies.,17943,09/06/2020 18:54,NULL
163,2854,Canis lupus familiaris,Beagles,1 mg/kg,NULL,NULL,,O,9307048,Treatment started at 68-101% of median lifespan.,17942,09/06/2020 18:54,NULL
164,2802,Paramecium tetraurelia,,10 mg/L,20.8,14.8,,S,9406982,The maximum lifespan extension isn't statistically significant.,17943,09/06/2020 18:54,NULL
165,2802,Paramecium tetraurelia,,10 mg/L,10.8,5.1,,O,9406982,Assay results reported from other (now too old to access) studies.,17943,09/06/2020 18:54,NULL
166,2802,Paramecium tetraurelia,,10 mg/L,22.8,20.9,,S,9406982,The maximum lifespan extension isn't statistically significant.,17943,09/06/2020 18:54,NULL
167,2761,Drosophila melanogaster,Oregon R,1 mg/ml,14.1,15.1,Male,O,9447249,Average lifespan is median lifespan. It failed to work at a dosage of 20mg/ml.,17947,09/06/2020 18:54,NULL
168,2791,Paramecium tetraurelia,,25 mg/L,11.7,17.1,,O,9406982,Lifespan assay results reported from another (now too old to access) study.,17943,09/06/2020 18:54,NULL
169,2761,Drosophila melanogaster,Oregon R,100 µg/ml,16.8,15.1,Male,S,9447249,Average lifespan is median lifespan. It failed to work at a dosage of 20mg/ml.,17947,09/06/2020 18:54,NULL
170,2761,Drosophila melanogaster,Oregon R,10 mg/ml,26.8,24.5,Male,S,9447249,Average lifespan is median lifespan. It failed to work at a dosage of 20mg/ml.,17947,09/06/2020 18:54,NULL
171,2848,Rattus norvegicus,Fischer 344,50 mg/kg,17.4,NULL,Male,S,9469738,,17951,09/06/2020 18:54,NULL
172,2974,Mus musculus,C57BL/6J,0.25 mg/ml of water,3.8,5,Male,S,9614711,,17952,09/06/2020 18:54,NULL
173,2754,Mus musculus,C3H/Sn,NA,31,NULL,FEMALE,S,9701766,,17953,13/08/2020 21:46,NULL
174,2802,Paramecium tetraurelia,,10 mg/L,NULL,17.9,,NS,9406982,,17943,09/06/2020 18:54,NULL
175,2754,Drosophila melanogaster,,NA,16,NULL,,S,9701766,,17953,09/06/2020 18:54,NULL
176,3010,Drosophila melanogaster,,30 mg/mL every other day,NULL,42.9,Male,O,9825229,,17956,09/06/2020 18:54,NULL
177,2802,Drosophila melanogaster,Canton S,0.08% per unit mass culture medium,5.5,NULL,Female,S,10100152,"The value is the result of 5 individual experiments, four of which had non-significant results.",17958,09/06/2020 18:54,NULL
178,3010,Drosophila melanogaster,,30 mg/mL every other day,NULL,28.6,Female,O,9825229,,17956,09/06/2020 18:54,NULL
179,2802,Drosophila melanogaster,Canton S,0.08% per unit mass culture medium,4.8,NULL,Male,S,10100152,"The value is the result of 5 individual experiments, one of which had non-significant results.",17958,09/06/2020 18:54,NULL
180,2754,Rattus norvegicus,,NA,25,NULL,,S,9701766,,17953,09/06/2020 18:54,NULL
181,2814,Caenorhabditis elegans,N2,8 µg/ml,8.7,NULL,,S,10843344,Treatment failed to extend maximum lifespan.,17961,09/06/2020 18:54,NULL
182,2814,Caenorhabditis elegans,N2,80 µg/ml,19.8,NULL,,S,10843344,Treatment failed to extend maximum lifespan.,17961,09/06/2020 18:54,NULL
183,2708,Caenorhabditis elegans,N2,0.05 mM,29,NULL,,S,10968795,"EUK-134 treatment resulted in a shortened life-span in the house fly, Musca domestica (PMID:12031907).",17963,09/06/2020 18:54,NULL
