id_biblio,terms,title,journal,author,volume,authors,pubmed,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
17881,"['2,4-Dinitrophenol', 'Animals', 'Antioxidants/pharmacology', 'Catechols/pharmacology', 'Dinitrophenols/pharmacology', 'Drosophila melanogaster', 'Longevity/drug effects', 'Masoprocol', 'Metabolism/drug effects', 'Oxygen Consumption/drug effects', 'Thiazoles/pharmacology', 'Thiazolidines', 'Vitamin E/pharmacology']","Antioxidants, metabolic rate and aging in Drosophila.",Arch Gerontol Geriatr,"Miquel, J et al.",1,,6821144,"Miquel, J et al.",1982,,2,159-165,,,,
17882,"['Animals', 'Life Expectancy', 'Polysorbates', 'Reproduction/drug effects', 'Rotifera/drug effects/physiology', 'Solubility', 'Vitamin E/pharmacology']",alpha-Tocopherol increases lifespan in the rotifer Philodina.,Exp. Gerontol.,"Enesco, HE and Verdone-Smith, C",15,,7428854,"Enesco, H.E. and Verdone-Smith, C.",1980,,5,335-338,,,,
17883,"['Adenine/analogs & derivatives/pharmacology', 'Aging/drug effects', 'Animals', 'Diptera/drug effects/growth & development', 'Female', 'Kinetin', 'Larva/drug effects', 'Longevity/drug effects', 'Male', 'Plant Growth Regulators/pharmacology', 'Plants', 'Pupa/drug effects']","Plant growth hormone kinetin delays ageing, prolongs the lifespan and slows down development of the fruitfly Zaprionus paravittiger.",Biochem. Biophys. Res. Commun.,"Sharma, SP et al.",216,,7488181,"Sharma, SP et al.",1995,,3,1067-1071,,,,
17892,"['Aged', 'Aged, 80 and over', 'Aging/physiology', 'Animals', 'Body Composition/physiology', 'Boron/administration & dosage/physiology', 'Drosophila', 'Female', 'Humans', 'Male', 'Metamorphosis, Biological/physiology', 'Mice', 'Mice, Inbred C57BL', 'Middle Aged', 'Nutritional Requirements', 'Tissue Distribution']",Effect of dietary boron on the aging process.,Environ. Health Perspect.,"Massie, HR.",102 Suppl 7,,7889879,"Massie, HR.",1994,,,45-48,,,,
17901,"['Animals', 'Brain/drug effects/enzymology', 'Catalase/drug effects/metabolism', 'Female', 'Glutathione Peroxidase/drug effects/metabolism', 'Life Expectancy', 'Male', 'Rats', 'Rats, Inbred F344', 'Selegiline/pharmacology', 'Superoxide Dismutase/drug effects/metabolism']",(-)Deprenyl increases the life span as well as activities of superoxide dismutase and catalase but not of glutathione peroxidase in selective brain regions in Fischer rats.,Ann. N. Y. Acad. Sci.,"Kitani, K et al.",717,,8030852,"Kitani, K et al.",1994,,,60-71,,,,
17902,"['Absorption', 'Aging', 'Animals', 'Calcium/metabolism', 'Diet', 'Drosophila melanogaster/metabolism', 'Iron/administration & dosage/metabolism/pharmacokinetics', 'Longevity', 'Male', 'Tea']",Inhibition of iron absorption prolongs the life span of Drosophila.,Mech. Ageing Dev.,"Massie, HR et al.",67,,8326745,"Massie, HR et al.",1993,,3,227-237,,,,
17903,"['Aging/drug effects/pathology/physiology', 'Animals', 'Biological Clocks', 'Circadian Rhythm', 'Female', 'Male', 'Melatonin/administration & dosage/pharmacology/physiology', 'Mice', 'Mice, Inbred BALB C', 'Mice, Inbred C57BL', 'Pineal Gland/anatomy & histology/physiology/transplantation', 'Thymus Gland/anatomy & histology/physiology', 'Thyroid Gland/anatomy & histology/physiology', 'Transplantation, Heterotopic', 'Transplantation, Isogeneic']",Pineal control of aging: effect of melatonin and pineal grafting on aging mice.,Proc. Natl. Acad. Sci. U.S.A.,"Pierpaoli, W and Regelson, W",91,,8290600,"Pierpaoli, W. and Regelson, W.",1994,,2,787-791,,,,
17921,"['Animals', 'Body Weight/drug effects', 'Drug Administration Schedule', 'Longevity/drug effects', 'Male', 'Rats', 'Rats, Inbred F344', 'Selegiline/administration & dosage/pharmacology']",Chronic treatment of (-)deprenyl prolongs the life span of male Fischer 344 rats. Further evidence.,Life Sci.,"Kitani, K et al.",52,,8423709,"Kitani, K et al.",1993,,3,281-288,,,,
17922,"['Aging/drug effects', 'Animals', 'Eating/drug effects', 'Female', 'Fertility/drug effects', 'Male', 'Mice', 'Selegiline/pharmacology', 'Superoxide Dismutase/metabolism']","L-deprenyl treatment in aged mice slightly increases life spans, and greatly reduces fecundity by aged males.",J. Gerontol. A Biol. Sci. Med. Sci.,"Archer, JR and Harrison, DE",51,,8914495,"Archer, J.R. and Harrison, D.E.",1996,,6,B448-B453,,,,
17925,"['Aging', 'Animals', 'Antioxidants/metabolism', 'Catalase/metabolism', 'Drosophilidae', 'Female', 'Glutathione/metabolism', 'Glutathione Reductase/metabolism', 'Lipid Peroxides/metabolism', 'Male', 'Peroxidase/metabolism', 'Propyl Gallate/pharmacology']",Gender specific alterations in antioxidant status of aging Zaprionus paravittiger fed on propyl gallate.,Biochem. Mol. Biol. Int.,"Bains, JS et al.",40,,8950031,"Bains, JS et al.",1996,,4,731-740,,,,
17929,"['Administration, Oral', 'Animals', 'Butylated Hydroxyanisole/administration & dosage', 'Dose-Response Relationship, Drug', 'Drosophila/growth & development/physiology', 'Female', 'Fertility/drug effects', 'Longevity/drug effects', 'Male']","Increased longevity, reduced fecundity, and delayed development in fruitfly (Zaprionus paravittiger) fed on butylated hydroxy anisole.",Proc. Soc. Exp. Biol. Med.,"Bains, JS et al.",215,,9207858,"Bains, JS et al.",1997,,3,237-242,,,,
17940,"['Animals', 'Body Weight/drug effects', 'Brain/drug effects/enzymology', 'Cricetinae', 'Female', 'Kinetics', 'Life Expectancy', 'Male', 'Mesocricetus', 'Monoamine Oxidase/metabolism', 'Monoamine Oxidase Inhibitors/pharmacology', 'Selegiline/pharmacology', 'Sex Characteristics', 'Survival']",Chronic treatment of Syrian hamsters with low-dose selegiline increases life span in females but not males.,Neurobiol. Aging,"Stoll, S et al.",18,,9258898,"Stoll, S et al.",1997,,2,205-211,,,,
17942,"['Age Factors', 'Animals', 'Dog Diseases/prevention & control', 'Dogs', 'Double-Blind Method', 'Feeding Behavior/drug effects', 'Female', 'Longevity/drug effects', 'Male', 'Neoplasms/veterinary', 'Selegiline/pharmacology', 'Survival Analysis']",Treatment with L-deprenyl prolongs life in elderly dogs.,Life Sci.,"Ruehl, WW et al.",61,,9307048,"Ruehl, WW et al.",1997,,11,1037-1044,,,,
17943,"['Animals', 'Antioxidants/administration & dosage', 'Clone Cells', 'Female', 'Free Radical Scavengers/administration & dosage', 'Male', 'Melatonin/administration & dosage', 'Paramecium tetraurelia/physiology']",Supplemental melatonin increases clonal lifespan in the protozoan Paramecium tetraurelia.,J. Pineal Res.,"Thomas, JN and Smith-Sonneborn, J",23,,9406982,"Thomas, J.N. and Smith-Sonneborn, J.",1997,,3,123-130,,,,
17947,"['Acetylcysteine/pharmacology', 'Aging', 'Animals', 'Antioxidants/pharmacology', 'Drosophila melanogaster/physiology', 'Gene Expression/drug effects', 'Longevity', 'RNA, Messenger/genetics', 'RNA, Ribosomal/metabolism']",N-acetylcysteine slows down ageing and increases the life span of Drosophila melanogaster.,Cell. Mol. Life Sci.,"Brack, C et al.",53,,9447249,"Brack, C et al.",1997,,11-Dec,960-966,,,,
17951,"['Animals', 'Cognition/drug effects', 'Conditioning, Operant/drug effects', 'Dose-Response Relationship, Drug', 'Free Radical Scavengers/pharmacology', 'Ginkgo biloba', 'Longevity/drug effects', 'Male', 'Plant Extracts/pharmacology', 'Rats', 'Rats, Inbred F344']","The effects of an extract of Ginkgo biloba, EGb 761, on cognitive behavior and longevity in the rat.",Physiol. Behav.,"Winter, JC.",63,,9469738,"Winter, JC.",1998,,3,425-433,,,,
17952,"['Animals', 'Body Weight/drug effects', 'Cyclic N-Oxides', 'Drinking/drug effects', 'Longevity/drug effects', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Nitrogen Oxides/pharmacology', 'Spin Labels']","A spin trap, N-tert-butyl-alpha-phenylnitrone extends the life span of mice.",Biosci. Biotechnol. Biochem.,"Saito, K et al.",62,,9614711,"Saito, K et al.",1998,,4,792-794,,,,
17953,"['Animals', 'Drosophila melanogaster/drug effects', 'Female', 'Longevity/drug effects', 'Mice/physiology', 'Mice, Inbred C3H', 'Peptides/pharmacology', 'Pineal Gland/physiology', 'Rats/physiology']","Pineal peptide preparation epithalamin increases the lifespan of fruit flies, mice and rats.",Mech. Ageing Dev.,"Anisimov, VN et al.",103,,9701766,"Anisimov, VN et al.",1998,,2,123-132,,,,
17956,"['Animals', 'Humans', 'Male', 'Platelet Aggregation Inhibitors/pharmacokinetics/pharmacology', 'Rats', 'Rats, Wistar', 'Stilbenes/blood/pharmacokinetics/pharmacology', 'Time Factors', 'Wine']",Plasma and tissue resveratrol concentrations and pharmacological activity.,Drugs Exp Clin Res,"Bertelli, A et al.",24,,9825229,"Bertelli, A et al.",1998,,3,133-138,,,,
17958,"['Aging/drug effects', 'Animals', 'Antioxidants/pharmacology', 'Culture Media', 'Drosophila melanogaster/drug effects/growth & development', 'Female', 'Longevity/drug effects', 'Male', 'Melatonin/pharmacology', 'Random Allocation']",Geroprotector effectiveness of melatonin: investigation of lifespan of Drosophila melanogaster.,Mech. Ageing Dev.,"Izmaylov, DM and Obukhova, LK",106,,10100152,"Izmaylov, D.M. and Obukhova, L.K.",1999,,3,233-240,,,,
17961,"['Animals', 'Antioxidants/pharmacology', 'Caenorhabditis elegans/drug effects/metabolism', 'Chromans/pharmacology', 'Longevity/drug effects', 'Proteins/metabolism', 'Tocotrienols', 'Vitamin E/analogs & derivatives/pharmacology']",Effects of tocotrienols on life span and protein carbonylation in Caenorhabditis elegans.,J. Gerontol. A Biol. Sci. Med. Sci.,"Adachi, H and Ishii, N",55,,10843344,"Adachi, H. and Ishii, N.",2000,,6,B280-B285,,,,
17963,"['Aging/drug effects', 'Animals', 'Antioxidants/pharmacology', 'Caenorhabditis elegans/drug effects/physiology', 'Catalase/metabolism', 'Disorders of Sex Development', 'Fertility/drug effects', 'Longevity/drug effects', 'Molecular Mimicry', 'Oxidative Stress', 'Reactive Oxygen Species/metabolism', 'Superoxide Dismutase/metabolism']",Extension of life-span with superoxide dismutase/catalase mimetics.,Science,"Melov, S et al.",289,,10968795,"Melov, S et al.",2000,,5484,1567-1569,,,,
17975,"['Animals', 'Antioxidants/administration & dosage/pharmacology', 'Dose-Response Relationship, Drug', 'Drosophila melanogaster/drug effects/growth & development', 'Female', 'Longevity/drug effects', 'Male', 'Oligopeptides/administration & dosage/pharmacology', 'Sex Characteristics']",Effect of epitalon on the lifespan increase in Drosophila melanogaster.,Mech. Ageing Dev.,"Khavinson, VK et al.",120,,11087911,"Khavinson, VK et al.",2000,,01-Mar,141-149,,,,
17984,"['Aging/drug effects/physiology', 'Animals', 'Body Weight/drug effects', 'Brain/metabolism', 'Estrus/drug effects', 'Female', 'Free Radicals/blood/metabolism', 'Incidence', 'Liver/metabolism', 'Locomotion/drug effects', 'Longevity/drug effects', 'Melatonin/adverse effects/pharmacology/physiology', 'Mice', 'Mice, Inbred CBA', 'Models, Theoretical', 'Neoplasms/chemically induced']",Melatonin increases both life span and tumor incidence in female CBA mice.,J. Gerontol. A Biol. Sci. Med. Sci.,"Anisimov, VN et al.",56,,11445596,"Anisimov, VN et al.",2001,,7,B311-B323,,,,
17987,"['Adjuvants, Immunologic/chemical synthesis/pharmacokinetics/pharmacology', 'Aging/drug effects', 'Animals', 'Dipeptides', 'Female', 'Mice', 'Mice, Inbred CBA', 'Neoplasms/prevention & control', 'Peptides/chemical synthesis/pharmacokinetics/pharmacology', 'Rats', 'Sheep', 'Tissue Distribution']",Immunomodulatory synthetic dipeptide L-Glu-L-Trp slows down aging and inhibits spontaneous carcinogenesis in rats.,Biogerontology,"Anisimov, VN et al.",1,,11707921,"Anisimov, VN et al.",2000,,1,55-59,,,,
17988,"['Cell Cycle Proteins', 'Cell Division/physiology', 'Cell Wall/physiology', 'Glucosamine/metabolism', 'Mutation', 'Phenotype', 'RNA-Binding Proteins', 'Repressor Proteins', 'Ribonucleases/physiology', 'Saccharomyces cerevisiae/physiology', 'Saccharomyces cerevisiae Proteins/physiology', 'Spores, Fungal/growth & development/physiology']",Saccharomyces cerevisiae MPT5 and SSD1 function in parallel pathways to promote cell wall integrity.,Genetics,"Kaeberlein, M and Guarente, L",160,,11805047,"Kaeberlein, M. and Guarente, L.",2002,,1,83-95,,,,
17989,"['Acetylation', 'Animals', 'Drosophila/drug effects/genetics/physiology', 'Female', 'Gene Expression/drug effects', 'Genes, Insect/drug effects', 'Histones/metabolism', 'Longevity/drug effects/genetics/physiology', 'Male', 'Phenylbutyrates/pharmacology']",Life extension in Drosophila by feeding a drug.,Proc. Natl. Acad. Sci. U.S.A.,"Kang, HL et al.",99,,11792861,"Kang, HL et al.",2002,,2,838-843,,,,
17990,"['Animals', 'Caloric Restriction', 'Gene Expression Regulation, Fungal', 'Glucose/chemistry/metabolism', 'Glycerol/chemistry/metabolism', 'Histone Deacetylases/genetics/metabolism', 'Life Expectancy', 'Molecular Structure', 'NAD/metabolism', 'Nucleotidyltransferases/genetics/metabolism', 'Oligonucleotide Array Sequence Analysis', 'Osmolar Concentration', 'Saccharomyces cerevisiae/metabolism/physiology', 'Silent Information Regulator Proteins, Saccharomyces cerevisiae/genetics/metabolism', 'Sirtuin 2', 'Sirtuins/genetics/metabolism', 'Sorbitol/chemistry/metabolism', 'Xylitol/chemistry/metabolism']",High osmolarity extends life span in Saccharomyces cerevisiae by a mechanism related to calorie restriction.,Mol. Cell. Biol.,"Kaeberlein, M et al.",22,,12391171,"Kaeberlein, M et al.",2002,,22,8056-8066,,,,
17991,"['Aging/drug effects/metabolism', 'Animals', 'Antioxidants/pharmacology', 'Drosophila melanogaster/drug effects/physiology', 'Drug Resistance', 'Free Radical Scavengers/pharmacology', 'Free Radicals/metabolism', 'Longevity/drug effects/physiology', 'Male', 'Melatonin/pharmacology', 'Models, Biological', 'Oxidative Stress', 'Paraquat/pharmacology', 'Stress, Physiological/drug therapy/physiopathology', 'Temperature']",Extension of life span and stress resistance of Drosophila melanogaster by long-term supplementation with melatonin.,Exp. Gerontol.,"Bonilla, E et al.",37,,11909680,"Bonilla, E et al.",2002,,5,629-638,,,,
17995,"['Animals', 'Antioxidants/pharmacology', 'Carnosine/pharmacology', 'Dose-Response Relationship, Drug', 'Drosophila melanogaster/drug effects', 'Female', 'Histidine/pharmacology', 'Longevity/drug effects', 'Male', 'Sex Factors', 'beta-Alanine/pharmacology']",Effect of carnosine on Drosophila melanogaster lifespan.,Bull. Exp. Biol. Med.,"Yuneva, AO et al.",133,,12447464,"Yuneva, AO et al.",2002,,6,559-561,,,,
17999,"['Animals', 'Caenorhabditis elegans/drug effects/physiology', 'Dose-Response Relationship, Drug', 'Ethylenediamines/pharmacology', 'Fertility/drug effects', 'Longevity/drug effects', 'Molecular Mimicry', 'Organometallic Compounds/pharmacology', 'Superoxide Dismutase', 'Time Factors']",No increase in lifespan in Caenorhabditis elegans upon treatment with the superoxide dismutase mimetic EUK-8.,Free Radic. Biol. Med.,"Keaney, M and Gems, D",34,,12521609,"Keaney, M. and Gems, D.",2003,,2,277-282,,,,
18012,"['Acetylation/drug effects', 'Caloric Restriction', 'Catalysis/drug effects', 'Cell Aging/drug effects', 'Cell Line', 'Cell Survival/drug effects', 'Flavonoids', 'Histone Deacetylases/genetics/metabolism', 'Humans', 'Kinetics', 'Longevity/drug effects', 'Phenols/pharmacology', 'Polymers/pharmacology', 'Polyphenols', 'Recombination, Genetic/drug effects', 'Saccharomyces cerevisiae/cytology/drug effects/genetics/metabolism', 'Silent Information Regulator Proteins, Saccharomyces cerevisiae/agonists/genetics/metabolism', 'Sirtuin 1', 'Sirtuin 2', 'Sirtuins/agonists/genetics/metabolism', 'Stilbenes/pharmacology', 'Tumor Suppressor Protein p53/metabolism', 'Wine']",Small molecule activators of sirtuins extend Saccharomyces cerevisiae lifespan.,Nature,"Howitz, KT et al.",425,,12939617,"Howitz, KT et al.",2003,,6954,191-196,,,,
18020,"['Aging/genetics/metabolism', 'Animals', 'Bees', 'DNA Damage/drug effects', 'Deoxyguanosine/analogs & derivatives/blood/metabolism', 'Dietary Supplements', 'Fatty Acids/pharmacology', 'Longevity/drug effects', 'Male', 'Mice', 'Mice, Inbred C3H', 'Oxidative Stress/drug effects', 'Survival Rate']",Royal Jelly prolongs the life span of C3H/HeJ mice: correlation with reduced DNA damage.,Exp. Gerontol.,"Inoue, S et al.",38,,12954483,"Inoue, S et al.",2003,,9,965-969,,,,
18021,"['Aging/drug effects/physiology', 'Animals', 'Buformin/pharmacology', 'Female', 'Humans', 'Hypoglycemic Agents/pharmacology', 'Insulin/metabolism', 'Longevity/drug effects/physiology', 'Mice', 'Neoplasms/metabolism', 'Phenformin/pharmacology', 'Rats', 'Survival Rate']",Insulin and longevity: antidiabetic biguanides as geroprotectors.,Biogerontology,"Anisimov, VN et al.",4,,14618027,"Anisimov, VN et al.",2003,,5,297-307,,,,
18023,"['Animals', 'Antioxidants/pharmacology', 'Apoptosis', 'Caenorhabditis elegans/metabolism/physiology', 'Coenzymes', 'Longevity/drug effects', 'Oxidative Stress/drug effects', 'Superoxides/metabolism', 'Ubiquinone/analogs & derivatives/pharmacology']",Coenzyme Q10 can prolong C. elegans lifespan by lowering oxidative stress.,Mech. Ageing Dev.,"Ishii, N et al.",125,,14706236,"Ishii, N et al.",2004,,1,41-46,,,,
18027,"['Aging', 'Animal Nutritional Physiological Phenomena', 'Animals', 'Antioxidants/pharmacology', 'Arteriosclerosis/pathology', 'Curcumin/analogs & derivatives/chemistry/pharmacology', 'Flavonoids/chemistry', 'Longevity', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Nutritional Physiological Phenomena', 'Phenols/chemistry', 'Polyphenols', 'Tea']",Interventions in aging and age-associated pathologies by means of nutritional approaches.,Ann. N. Y. Acad. Sci.,"Kitani, K et al.",1019,,15247057,"Kitani, K et al.",2004,,,424-426,,,,
18029,"['Aging/drug effects/physiology', 'Alleles', 'Animal Feed', 'Animals', 'Caenorhabditis elegans/drug effects/physiology', 'Caloric Restriction', 'Drosophila melanogaster/drug effects/genetics/physiology', 'Feeding Behavior/drug effects/physiology', 'Female', 'Fertility/drug effects/physiology', 'Flavonoids/pharmacology', 'Genotype', 'Longevity/drug effects/physiology', 'Male', 'Mutation/genetics', 'Phenols/pharmacology', 'Polyphenols', 'Sirtuins/agonists/metabolism', 'Stilbenes/pharmacology', 'Survival Rate', 'Time Factors']",Sirtuin activators mimic caloric restriction and delay ageing in metazoans.,Nature,"Wood, JG et al.",430,,15254550,"Wood, JG et al.",2004,,7000,686-689,,,,
18033,"['Acetylation/drug effects', 'Animals', 'Chromatin/metabolism', 'Chromosomes/drug effects', 'Drosophila melanogaster/physiology', 'Electrophoresis, Agar Gel', 'Enzyme Inhibitors/pharmacology', 'Gene Expression Regulation, Enzymologic', 'Heat-Shock Proteins/metabolism', 'Histone Deacetylases/metabolism', 'Histones/drug effects/metabolism', 'Hydroxamic Acids/pharmacology', 'Larva', 'Longevity', 'Reverse Transcriptase Polymerase Chain Reaction', 'Transcription, Genetic/drug effects']",Trichostatin A extends the lifespan of Drosophila melanogaster by elevating hsp22 expression.,Acta Biochim. Biophys. Sin. (Shanghai),"Tao, D et al.",36,,15346199,"Tao, D et al.",2004,,9,618-622,,,,
18034,[],The effects of UV radiation and antioxidants on life span and lipid peroxidation in the rotifer Asplanchna brightwelli.,Arch Gerontol Geriatr,"Sawada, M et al.",10,,15374519,"Sawada, M et al.",1990,,1,27-36,,,,
18035,"['Age Factors', 'Aging/physiology', 'Animals', 'Biomarkers', 'Caloric Restriction', 'Drosophila melanogaster/drug effects/genetics/physiology', 'Female', 'Fertility', 'Longevity/drug effects/genetics/physiology', 'Male', 'Pharmaceutical Preparations', 'Temperature', 'Tetanus Toxin/biosynthesis/genetics']",An accelerated assay for the identification of lifespan-extending interventions in Drosophila melanogaster.,Proc. Natl. Acad. Sci. U.S.A.,"Bauer, JH et al.",101,,15328413,"Bauer, JH et al.",2004,,35,12980-12985,,,,
18039,"['Animals', 'Drosophila melanogaster/physiology', 'Female', 'Galactose/pharmacology', 'Houseflies/physiology', 'Life Expectancy', 'Lipofuscin/metabolism', 'Male', 'Malondialdehyde/metabolism', 'Oxidative Stress']",D-galactose-caused life shortening in Drosophila melanogaster and Musca domestica is associated with oxidative stress.,Biogerontology,"Cui, X et al.",5,,15547319,"Cui, X et al.",2004,,5,317-325,,,,
18042,"['Adaptor Proteins, Signal Transducing/genetics/metabolism/physiology', 'Aging', 'Animals', 'Aurintricarboxylic Acid/pharmacology', 'Blotting, Western', 'Carbon Dioxide/metabolism', 'Drosophila melanogaster', 'Longevity/drug effects', 'Lung/metabolism', 'Mice', 'Mice, Inbred C57BL', 'Models, Biological', 'Mutation', 'Nitrogen/metabolism', 'Oxidative Stress', 'Protein Isoforms', 'Shc Signaling Adaptor Proteins', 'Time Factors']",p66ShcA and ageing: modulation by longevity-promoting agent aurintricarboxylic acid.,Mech. Ageing Dev.,"Sagi, O et al.",126,,15621204,"Sagi, O et al.",2005,,2,249-254,,,,
