id,compound_id,synonym
65684,2690,3alpha-Hydroxy-5beta-cholanoic acid
65685,2690,"(3alpha,5beta)-3-hydroxycholan-24-oic acid"
65686,2690,3-alpha-Hydroxy-5-beta-cholanic acid
65687,2690,CCRIS 363
65688,2690,3alpha-Hydroxy-5beta-cholanate
65689,2690,"5-beta-Cholanic acid, 3-alpha-hydroxy-"
65690,2690,"Cholan-24-oic acid, 3-hydroxy-, (3alpha,5beta)-"
65691,2690,HSDB 4113
65692,2690,"5beta-Cholan-24-oic acid, 3alpha-hydroxy-"
65693,2690,EINECS 207-099-1
65694,2690,NSC683770
65695,2690,"(3-alpha,5-beta)-3-Hydroxycholan-24-oic acid"
65696,2690,NSC 657956
65697,2690,BRN 3217757
65698,2691,Visomitin
65699,2691,SKQ1
65700,2691,934826-68-3
65701,2691,SKQ-1 bromide
65702,2691,UNII-7B14500J3E
65703,2691,7B14500J3E
65704,2691,SKQ1 bromide
65705,2691,SKQ1(Visomitin)
65706,2691,SCHEMBL12231062
65707,2691,MolPort-044-561-653
65708,2691,934826-68-3 (bromide)
65709,2691,CS-8068
65710,2691,HY-100474
65711,2691,"(10-(4,5-dimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl)decyl)triphenylphosphonium bromide"
65712,2691,"2,3-Dimethyl-5-(10-(triphenyl-L-5-phosphanyl)decyl)-1,4-benzoquinone hydrobromide"
65713,2691,"Phosphonium, (10-(4,5-dimethyl-3,6-dioxo-1,4-cyclohexadien-1-yl)decyl)triphenyl-, bromide (1:1)"
65714,2692,1-propanol
65715,2692,propanol
65716,2692,Propan-1-ol
65717,2692,n-propanol
65718,2692,Propyl alcohol
65719,2692,n-Propyl alcohol
65720,2692,71-23-8
65721,2692,ethylcarbinol
65722,2692,1-hydroxypropane
65723,2692,optal
65724,2692,osmosol extra
65725,2692,Propylic alcohol
65726,2692,Propanol-1
65727,2692,1-Propyl alcohol
65728,2692,n-Propan-1-ol
65729,2692,Propanolen
65730,2692,Propanole
65731,2692,"Alcohol, propyl"
65732,2692,Propanoli
65733,2692,Ethyl carbinol
65734,2692,Alcool propilico
65735,2692,Alcool propylique
65736,2692,n-Propyl alkohol
65737,2692,Propylowy alkohol
65738,2692,Albacol
65739,2693,Fullerene
65740,2693,Fullerene C60
65741,2693,Buckminsterfullerene
65742,2693,99685-96-8
65743,2693,[60]fullerene
65744,2693,Buckyball
65745,2693,C60 Fullerene
65746,2693,Fullerene 60
65747,2693,Footballene
65748,2693,Fullerene-C60
65749,2693,"[5,6]fullerene-C60-Ih"
65750,2693,131159-39-2
65751,2693,"(C60-Ih)[5,6]fullerene"
65752,2693,Fullerene powder
65753,2693,C60
65754,2693,Fullerene - C60
65755,2693,Buckminsterfullerene C60
65756,2693,"(5,6)Fullerene-C60-Ih"
65757,2693,C60 Compound
65758,2693,MFCD00151408
65759,2693,"(C_{60}-I_{h})[5,6]fullerene"
65760,2693,soccerballene
65761,2693,UNII-NP9U26B839
65762,2693,CCRIS 9349
65763,2693,buckminsterfulereno
65764,2694,caffeine
65765,2694,58-08-2
65766,2694,"1,3,7-Trimethylxanthine"
65767,2694,Guaranine
65768,2694,Thein
65769,2694,Cafeina
65770,2694,Methyltheobromine
65771,2694,Koffein
65772,2694,Mateina
65773,2694,Theine
65774,2694,Alert-pep
65775,2694,Caffein
65776,2694,Cafipel
65777,2694,Coffeine
65778,2694,Refresh'n
65779,2694,Caffedrine
65780,2694,Stim
65781,2694,Cafamil
65782,2694,Cafecon
65783,2694,Caffine
65784,2694,Dexitac
65785,2694,Nodaca
65786,2694,No-Doz
65787,2694,Eldiatric C
65788,2694,7-Methyltheophylline
65789,2695,kinetin
65790,2695,525-79-1
65791,2695,6-Furfurylaminopurine
65792,2695,6-(Furfurylamino)purine
65793,2695,6-Furfuryladenine
65794,2695,N6-Furfuryladenine
65795,2695,N-Furfuryladenine
65796,2695,Cytokinin
65797,2695,N-(furan-2-ylmethyl)-9H-purin-6-amine
65798,2695,N6-(Furfurylamino)purine
65799,2695,"Adenine, N-furfuryl-"
65800,2695,Kinetin (plant hormone)
65801,2695,N-(furan-2-ylmethyl)-7H-purin-6-amine
65802,2695,Furfuryl(purin-6-yl)amine
65803,2695,Cytex
65804,2695,"1H-PURIN-6-AMINE, N-(2-FURANYLMETHYL)-"
65805,2695,"9H-Purin-6-amine, N-(2-furanylmethyl)-"
65806,2695,Kinetin (VAN)
65807,2695,Caswell No. 272D
65808,2695,"2-Furanmethanamine, N-1H-purin-6-yl-"
65809,2695,N(sup 6)-Furfuryladenine
65810,2695,NSC 23119
65811,2695,UNII-P39Y9652YJ
65812,2695,N-(2-Furanylmethyl)-1H-purin-6-amine
65813,2695,N-(furan-2-ylmethyl)-1H-purin-6-amine
65814,2696,metformin
65815,2696,"1,1-Dimethylbiguanide"
65816,2696,657-24-9
65817,2696,Glumetza
65818,2696,Metiguanide
65819,2696,Dimethylbiguanide
65820,2696,Glucophage
65821,2696,Diabetosan
65822,2696,Haurymelin
65823,2696,Fluamine
65824,2696,Flumamine
65825,2696,Gliguanid
65826,2696,Diabex
65827,2696,Melbin
65828,2696,"N,N-Dimethylbiguanide"
65829,2696,"N,N-dimethylimidodicarbonimidic diamide"
65830,2696,Metformina
65831,2696,Metformine
65832,2696,Metforminum
65833,2696,Glifage
65834,2696,Islotin
65835,2696,Siofor
65836,2696,"N1,N1-Dimethylbiguanide"
65837,2696,DMGG
65838,2696,NNDG
65839,2697,EGTA
65840,2697,Egtazic acid
65841,2697,67-42-5
65842,2697,Gedta
65843,2697,Ethylenebis(oxyethylenenitrilo)tetraacetic acid
65844,2697,Ebonta
65845,2697,"6,9-Dioxa-3,12-diazatetradecanedioic acid, 3,12-bis(carboxymethyl)-"
65846,2697,Ethylene Glycol Tetraacetic Acid
65847,2697,"1,2-Bis[2-[bis(carboxymethyl)amino]ethoxy]ethane"
65848,2697,H4egta
65849,2697,"Ethylene glycol bis(2-aminoethyl ether)-N,N,N',N'-tetraacetic acid"
65850,2697,Ethylene glycol bis(2-aminoethyl ether)tetraacetic acid
65851,2697,NSC 615010
65852,2697,[Ethylenebis(oxyethylenenitrilo)]tetraacetic acid
65853,2697,Acide egtazique [INN-French]
65854,2697,Acido egtazico [INN-Spanish]
65855,2697,Acidum egtazicum [INN-Latin]
65856,2697,"Ethylene glycol-bis(2-aminoethylether)-N,N,N',N'-tetraacetic acid"
65857,2697,Glycoletherdiaminetetraacetic Acid
65858,2697,Tetrasodium EGTA
65859,2697,"1,2-Bis(2-dicarboxymethylaminoethoxy)ethane"
65860,2697,Glycol-etherdiaminetetraacetic acid
65861,2697,UNII-526U7A2651
65862,2697,Ethylenedioxybis(ethyleneamino)tetraacetic acid
65863,2697,C14H24N2O10
65864,2698,hydrogen sulfide
65865,2698,sulfane
65866,2698,Hydrosulfuric acid
65867,2698,Stink DAMP
65868,2698,Sulfur atom
65869,2698,Dihydrogen monosulfide
65870,2698,Dihydrogen sulfide
65871,2698,Sulfureted hydrogen
65872,2698,Sulfur hydride
65873,2698,"Sulfur, precipitated"
65874,2698,Sewer gas
65875,2698,Hydrogen sulphide
65876,2698,"Sulfur, sublimed"
65877,2698,Precipitated sulfur
65878,2698,Netzschwefel
65879,2698,Bensulfoid
65880,2698,Brimstone
65881,2698,Kolospray
65882,2698,Micowetsulf
65883,2698,Microflotox
65884,2698,Sulfidal
65885,2698,Sulforon
65886,2698,Colsul
65887,2698,Crystex
65888,2698,Elosal
65889,2699,resveratrol
65890,2699,501-36-0
65891,2699,trans-resveratrol
65892,2699,"3,4',5-Trihydroxystilbene"
65893,2699,"3,5,4'-Trihydroxystilbene"
65894,2699,"(E)-5-(4-Hydroxystyryl)benzene-1,3-diol"
65895,2699,(E)-resveratrol
65896,2699,"3,4',5-Stilbenetriol"
65897,2699,Resvida
65898,2699,"3,4',5-Trihydroxy-trans-stilbene"
65899,2699,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol"
65900,2699,SRT-501
65901,2699,SRT501
65902,2699,Resveratol
65903,2699,SRT 501
65904,2699,"3,5,4'-Trihydroxy-trans-stilbene"
65905,2699,"5-[(E)-2-(4-hydroxyphenyl)vinyl]benzene-1,3-diol"
65906,2699,"5-[(1E)-2-(4-Hydroxyphenyl)ethenyl]-1,3-benzenediol"
65907,2699,"3,4',5-trihydroxy-stilbene"
65908,2699,"Resveratrol, natural"
65909,2699,UNII-Q369O8926L
65910,2699,CHEBI:45713
65911,2699,"trans-3,4',5-trihydroxystilbene"
65912,2699,(E)-5-(p-Hydroxystyryl)resorcinol
65913,2699,"trans-1,2-(3,4',5-Trihydroxydiphenyl)ethylene"
65914,2700,NORDIHYDROGUAIARETIC ACID
65915,2700,NDGA
65916,2700,500-38-9
65917,2700,Dihydronorguaiaretic acid
65918,2700,Norhydroguaiaretic acid
65919,2700,Nordihydroguairaretic acid
65920,2700,"Norguaiaretic acid, dihydro-"
65921,2700,"1,2-Benzenediol, 4,4'-(2,3-dimethyl-1,4-butanediyl)bis-"
65922,2700,NSC 4291
65923,2700,"Dinorguaiaretic acid, dihydro-"
65924,2700,"4,4'-(2,3-Dimethyltetramethylene)dipyrocatechol"
65925,2700,"2,3-Bis(3,4-dihydroxyphenylmethyl)butane"
65926,2700,"4,4'-(2,3-Dimethyl-1,4-butanediyl)bis(pyrocatechol)"
65927,2700,Nordihydroguaiaretic acid (unspecified)
65928,2700,CCRIS 1399
65929,2700,"4-[4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol"
65930,2700,nordihydroguaretic acid
65931,2700,"Pyrocatechol, 4,4'-(2,3-dimethyltetramethylene)di-"
65932,2700,"NDGA, Larrea divaricata"
65933,2700,CHEMBL52
65934,2700,EINECS 207-903-0
65935,2700,"beta,gamma-Dimethyl-alpha,delta-bis(3,4-dihydroxyphenyl)butane"
65936,2700,NSC 682984
65937,2700,"1,4-Bis(3,4-dihydroxyphenyl)-2,3-dimethylbutane"
65938,2700,"Butane, 1,4-bis(3,4-dihydroxyphenyl)-2,3-dimethyl-"
65939,2701,D-Glucose
65940,2701,Glucose
65941,2701,D-Glucopyranose
65942,2701,Glucopyranose
65943,2701,Grape sugar
65944,2701,D-Glc
65945,2701,Glucodin
65946,2701,Meritose
65947,2701,2280-44-6
65948,2701,Clintose L
65949,2701,CPC hydrate
65950,2701,Roferose ST
65951,2701,Clearsweet 95
65952,2701,Staleydex 95M
65953,2701,D-Glcp
65954,2701,CHEBI:4167
65955,2701,Glucopyranoside
65956,2701,D-Glucopyranoside
65957,2701,Glc
65958,2701,"Glucopyranose, D-"
65959,2701,(+)-Glucose
65960,2701,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol"
65961,2701,DSSTox_CID_2910
65962,2701,Glucose solution
65963,2701,Glucan
65964,2702,minocycline
65965,2702,10118-90-8
65966,2702,Minocyclin
65967,2702,Minociclina
65968,2702,Minocyclinum
65969,2702,Minocyn
65970,2702,Dynacin
65971,2702,Minocin
65972,2702,Minocyclinum [INN-Latin]
65973,2702,Borymycin
65974,2702,Minociclina [INN-Spanish]
65975,2702,minociclinum
65976,2702,Minocline
65977,2702,7-Dimethylamino-6-demethyl-6-deoxytetracycline
65978,2702,UNII-FYY3R43WGO
65979,2702,CL 59806
65980,2702,Minocycline Monohydrochloride
65981,2702,Klinomycin
65982,2702,Arestin
65983,2702,Tri-minocycline
65984,2702,MINO
65985,2702,Minocycline [USAN:BAN:INN]
65986,2702,CHEBI:50694
65987,2702,HSDB 3130
65988,2702,Minocin (Hydrochloride)
65989,2703,cccp
65990,2703,555-60-2
65991,2703,(3-Chlorophenyl)hydrazonomalononitrile
65992,2703,Carbonyl cyanide 3-chlorophenylhydrazone
65993,2703,Carbonylcyanide-3-chlorophenylhydrazone
65994,2703,Carbonyl cyanide m-chlorophenyl hydrazone
65995,2703,Carbonyl cyanide m-chlorophenylhydrazone
65996,2703,[(3-chlorophenyl)hydrazono]malononitrile
65997,2703,m-Chlorophenyl carbonylcyanide hydrazone
65998,2703,NSC 88124
65999,2703,m-Cl-CCP
66000,2703,"Carbonyl cyanide, (3-chlorophenyl)hydrazone"
66001,2703,EINECS 209-103-7
66002,2703,"Propanedinitrile, ((3-chlorophenyl)hydrazono)-"
66003,2703,"Propanedinitrile, [(3-chlorophenyl)hydrazono]-"
66004,2703,Carbonylcyanide-m-chlorophenylhydrazone
66005,2703,Mesoxalonitrile 3-chlorophenylhydrazone
66006,2703,Carbonyl cyanide-m-chlorophenylhydrazone
66007,2703,BRN 1842102
66008,2703,"Mesoxalonitrile, (m-chlorophenyl)hydrazone"
66009,2703,((3-Chlorophenyl)hydrazono)propanedinitrile
66010,2703,CHEBI:3259
66011,2703,UGTJLJZQQFGTJD-UHFFFAOYSA-N
66012,2703,2-[(3-Chlorophenyl)hydrazinylidene]propanedinitrile
66013,2703,Carbonyl cyanide Chlorophenylhydrazone
66014,2704,Thioflavin T
66015,2704,Thioflavine T
66016,2704,2390-54-7
66017,2704,Basic yellow 1
66018,2704,"2-(4-(Dimethylamino)phenyl)-3,6-dimethylbenzo[d]thiazol-3-ium chloride"
66019,2704,Setoflavine T
66020,2704,Acronol Yellow T
66021,2704,thioflavin S
66022,2704,Tannoflavine T
66023,2704,Setoflavin T
66024,2704,Rhoduline Yellow
66025,2704,Thioflavin TG
66026,2704,Thioflavine TCN
66027,2704,Thioflavine TG
66028,2704,Citroflavine 8G
66029,2704,Primoflavine 8G
66030,2704,Thioflavin TCN
66031,2704,Basic Yellow T
66032,2704,Purimofurabin 8G
66033,2704,Thioflavine TCND
66034,2704,C.I. Basic Yellow 1
66035,2704,Acronol Yellow TC
66036,2704,Methylene Yellow N
66037,2704,Brilliant Flavine T
66038,2704,Methylene Yellow NI
66039,2705,PARAQUAT
66040,2705,"1,1'-Dimethyl-4,4'-bipyridinium"
66041,2705,Starfire
66042,2705,Paraquat ion
66043,2705,Dimethyl viologen
66044,2705,Paraquat dication
66045,2705,4685-14-7
66046,2705,Weedol
66047,2705,"4,4'-Bipyridinium, 1,1'-dimethyl-"
66048,2705,Spraytop-graze
66049,2705,Dextrone X
66050,2705,Methyl viologen ion(2+)
66051,2705,Methyl viologen (2+)
66052,2705,CCRIS 7731
66053,2705,"1,1'-Dimethyl-4,4'-bipyridyldiylium"
66054,2705,HSDB 1668
66055,2705,"N,N'-Dimethyl-4,4'-bipyridinium"
66056,2705,Paraquat [ANSI:BSI:ISO]
66057,2705,UNII-PLG39H7695
66058,2705,"1,1'-Dimethyl-4,4'-bipyridinium salt"
66059,2705,"1,1'-Dimethyl-4,4'-bipyridinium cation"
66060,2705,"N,N'-Dimethyl-4,4'-bipyridinium dication"
66061,2705,EINECS 225-141-7
66062,2705,"N,N'-Dimethyl-gamma,gamma'-dipyridylium"
66063,2705,CHEBI:34905
66064,2706,Rifampicin
66065,2706,Rifadin
66066,2706,rifampin
66067,2706,Rimactane
66068,2706,Rifampicinum
66069,2706,Rifaldazine
66070,2706,Rifampicina
66071,2706,Rifaprodin
66072,2706,Riforal
66073,2706,Rifa
66074,2706,Rifampicin SV
66075,2706,Rifoldin
66076,2706,Rifoldine
66077,2706,Rimactizid
66078,2706,Rimactan
66079,2706,Rifadine
66080,2706,Tubocin
66081,2706,13292-46-1
66082,2706,Rifamycin AMP
66083,2706,Rifadin I.V.
66084,2706,Archidyn
66085,2706,Rifampicine
66086,2706,Rifagen
66087,2706,Rimazid
66088,2706,3-(((4-Methyl-1-piperazinyl)imino)methyl)rifamycin SV
66089,2707,Fisetin
66090,2707,528-48-3
66091,2707,"2-(3,4-Dihydroxyphenyl)-3,7-dihydroxy-4H-chromen-4-one"
66092,2707,5-Desoxyquercetin
66093,2707,Fustel
66094,2707,Viset
66095,2707,"3,3',4',7-Tetrahydroxyflavone"
66096,2707,Fisetholz
66097,2707,Superfustel
66098,2707,Cotinin
66099,2707,Fietin
66100,2707,Fustet
66101,2707,Junger fustik
66102,2707,Ventin sumach
66103,2707,Young fustic
66104,2707,Zante fustic
66105,2707,Superfustel K
66106,2707,"3,7,3',4'-Tetrahydroxyflavone"
66107,2707,Ungarisches gelbholz
66108,2707,C.I. Natural Brown 1
66109,2707,Young fustic crystals
66110,2707,Bois bleu de Honqrie
66111,2707,BOIS bleude honqrie
66112,2707,C.I. 75620
66113,2707,5-Deoxyquercetin
66114,2708,EUK 134
66115,2708,EUK-134
66116,2708,81065-76-1
66117,2708,CE-851
66118,2708,AKOS015914965
66119,2708,AN-36301
66120,2708,OR072712
66121,2708,FT-0655530
66122,2708,A840029
66123,2708,I14-7464
66124,2708,MANGANESE(2+) ION 2-METHOXY-6-{[(2-{[(3-METHOXY-2-OXIDOPHENYL)METHYLIDENE]AMINO}ETHYL)IMINO]METHYL}BENZENOLATE CHLORIDE
66125,2708,manganese(2+); 2-methoxy-6-[2-[(3-methoxy-2-oxidanidyl-phenyl)methylideneamino]ethyliminomethyl]phenolate; chloride
66126,2708,manganese(2+); 2-methoxy-6-[2-[(3-methoxy-2-oxidophenyl)methylideneamino]ethyliminomethyl]phenolate; chloride
66127,2708,manganous 2-methoxy-6-[2-[(3-methoxy-2-oxido-phenyl)methyleneamino]ethyliminomethyl]phenolate chloride
66128,2709,citrate
66129,2709,"2-hydroxypropane-1,2,3-tricarboxylate"
66130,2709,CITRATE ANION
66131,2709,126-44-3
66132,2709,ANION STANDARD - CITRATE
66133,2709,citr
66134,2709,"2-Hydroxy-1,2,3-propanetricarboxylate(3-)"
66135,2709,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, ion(3-)"
66136,2709,"2-hydroxy-1,2,3-propanetricarboxylate"
66137,2709,2qpq
66138,2709,3itc
66139,2709,3kgq
66140,2709,citrate(3-)
66141,2709,2-hydroxytricarballylate
66142,2709,2yg2
66143,2709,3ry8
66144,2709,4eu3
66145,2709,cit(3-)
66146,2709,AC1L1LG8
66147,2709,BDBM92494
66148,2709,CHEBI:16947
66149,2709,CTK1A1286
66150,2709,DTXSID30155037
66151,2709,3r69
66152,2709,KRKNYBCHXYNGOX-UHFFFAOYSA-K
66153,2711,glycerol
66154,2711,glycerin
66155,2711,Glycerine
66156,2711,"1,2,3-Propanetriol"
66157,2711,56-81-5
66158,2711,Glycyl alcohol
66159,2711,Trihydroxypropane
66160,2711,Glyceritol
66161,2711,"PROPANE-1,2,3-TRIOL"
66162,2711,Propanetriol
66163,2711,"1,2,3-trihydroxypropane"
66164,2711,Osmoglyn
66165,2711,Grocolene
66166,2711,Glysanin
66167,2711,Glyrol
66168,2711,"Glycerin, synthetic"
66169,2711,Polyglycerine
66170,2711,Dagralax
66171,2711,Ophthalgan
66172,2711,Vitrosupos
66173,2711,"Glycerin, anhydrous"
66174,2711,Synthetic glycerin
66175,2711,Glycerinum
66176,2711,Synthetic glycerine
66177,2711,Optim
66178,2712,TAXIFOLIN
66179,2712,(+)-Taxifolin
66180,2712,480-18-2
66181,2712,Distylin
66182,2712,Taxifoliol
66183,2712,dihydroquercetin
66184,2712,"(2R,3R)-Dihydroquercetin"
66185,2712,(+)-Dihydroquercetin
66186,2712,Lariksin
66187,2712,Lavitol
66188,2712,TAXIFOLIN-(+)
66189,2712,"3,5,7,3',4'-Pentahydroxyflavanone"
66190,2712,UNII-9SOB9E3987
66191,2712,trans-Dihydroquercetin
66192,2712,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-2,3-dihydro-3,5,7-trihydroxy-, (2R,3R)-"
66193,2712,"2,3-Dihydroquercetin"
66194,2712,"(2R-trans)-2-(3,4-Dihydroxyphenyl)-2,3-dihydro-3,5,7-trihydroxy-4-benzopyrone"
66195,2712,"(2R,3R)-(+)-Taxifolin"
66196,2712,"(2R,3R)-2-(3,4-DIHYDROXYPHENYL)-3,5,7-TRIHYDROXY-2,3-DIHYDRO-4H-CHROMEN-4-ONE"
66197,2712,CHEBI:17948
66198,2712,"(2R,3R)-3,3',4',5,7-Pentahydroxyflavanone"
66199,2712,CXQWRCVTCMQVQX-LSDHHAIUSA-N
66200,2712,9SOB9E3987
66201,2712,MFCD00006845
66202,2712,AK146105
66203,2713,acetylglucosamine
66204,2713,N-Acetyl-beta-D-glucosamine
66205,2713,N-acetylglucosamine
66206,2713,betaGlcNAc
66207,2713,GlcNAc-beta
66208,2713,CHEBI:28009
66209,2713,Beta-N-Acetylglucosamine
66210,2713,n-acetyl-b-d-glucosamine
66211,2713,2-Acetylamino-2-deoxy-D-glucose
66212,2713,UNII-8P59336F68
66213,2713,2-Acetamido-2-deoxy-beta-D-glucose
66214,2713,AI3-51898
66215,2713,"N-[(2R,3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide"
66216,2713,hydrolyzed chitin
66217,2713,NAcGlc
66218,2713,pharmaceutical aid
66219,2713,Crab Shell Chitin
66220,2713,N-Acetyl Glucosamine
66221,2713,Cheon shim bo yun
66222,2713,2-acetamido-2-deoxy-beta-D-glucopyranose
66223,2713,2-acetamido-2-deoxyhexopyranose
66224,2713,ssGlcNAc-R
66225,2713,72-87-7
66226,2713,"Glucopyranose, 2-acetamido-2-deoxy-"
66227,2713,b-N-Acetylglucosamine
66228,2710,glycerol
66229,2710,glycerin
66230,2710,Glycerine
66231,2710,"1,2,3-Propanetriol"
66232,2710,56-81-5
66233,2710,Glycyl alcohol
66234,2710,Trihydroxypropane
66235,2710,Glyceritol
66236,2710,"PROPANE-1,2,3-TRIOL"
66237,2710,Propanetriol
66238,2710,"1,2,3-trihydroxypropane"
66239,2710,Osmoglyn
66240,2710,Grocolene
66241,2710,Glysanin
66242,2710,Glyrol
66243,2710,"Glycerin, synthetic"
66244,2710,Polyglycerine
66245,2710,Dagralax
66246,2710,Ophthalgan
66247,2710,Vitrosupos
66248,2710,"Glycerin, anhydrous"
66249,2710,Synthetic glycerin
66250,2710,Glycerinum
66251,2710,Synthetic glycerine
66252,2710,Optim
66253,2714,62-33-9
66254,2714,EDTA calcium disodium
66255,2714,Edetate calcium disodium
66256,2714,Ethylenediaminetetraacetic acid calcium disodium salt
66257,2714,Ethylenediaminetetraacetic Acid Disodium Calcium Salt
66258,2714,Calcium disodium edetate
66259,2714,Calcium disodium ethylenediaminetetraacetate
66260,2714,Sodium calciumedetate
66261,2714,Sodium calcium edetate
66262,2714,Calcium disodium EDTA
66263,2714,EDTA calcium disodium salt
66264,2714,UNII-8U5D034955
66265,2714,EDTA CALCIUM
66266,2714,23411-34-9
66267,2714,(Ethylenedinitrilo)tetraacetic acid calcium disodium salt
66268,2714,NCGC00159485-02
66269,2714,Calcium disodium ethylenediamine tetraacetic acid
66270,2714,calcium disodium 2-[2-[bis(2-oxido-2-oxoethyl)amino]ethyl-(2-oxido-2-oxoethyl)amino]acetate
66271,2714,AC1L1LTO
66272,2714,AC1O1BHL
66273,2714,100333-49-1
66274,2714,74011-06-6
66275,2714,7732-93-6
66276,2714,D00PRI
66277,2714,AC1MOS85
66278,2715,curcumin
66279,2715,Diferuloylmethane
66280,2715,458-37-7
66281,2715,Natural yellow 3
