id,compound_id,side_effect,probability,pertid
47,2937,Insomnia,0.87,BRD-A03623303
48,2937,Urticaria,0.86,BRD-A03623303
49,2937,Dyspepsia,0.86,BRD-A03623303
50,2937,Arrhythmia,0.85,BRD-A03623303
51,2937,Constipation,0.85,BRD-A03623303
52,2937,Somnolence,0.84,BRD-A03623303
53,2937,Hyperhidrosis,0.84,BRD-A03623303
54,2937,Tachycardia,0.83,BRD-A03623303
55,2937,Rhinitis,0.83,BRD-A03623303
56,2937,Anxiety,0.83,BRD-A03623303
57,2937,Body temperature increased,0.82,BRD-A03623303
58,2937,Jaundice,0.82,BRD-A03623303
59,2937,Hypotension,0.82,BRD-A03623303
60,2937,Fatigue,0.82,BRD-A03623303
61,2937,Tinnitus,0.81,BRD-A03623303
62,2937,Visual impairment,0.81,BRD-A03623303
63,2937,Arthralgia,0.81,BRD-A03623303
64,2937,Hepatic function abnormal,0.81,BRD-A03623303
65,2937,Chest pain,0.81,BRD-A03623303
66,2937,Confusional state,0.8,BRD-A03623303
67,2937,Palpitations,0.8,BRD-A03623303
68,2937,Photosensitivity reaction,0.8,BRD-A03623303
69,2937,Dry mouth,0.79,BRD-A03623303
70,2937,Alopecia,0.79,BRD-A03623303
71,2937,Vertigo,0.79,BRD-A03623303
72,2937,Flatulence,0.79,BRD-A03623303
73,2937,Muscle spasms,0.79,BRD-A03623303
74,2937,Hepatitis,0.78,BRD-A03623303
75,2937,Agranulocytosis,0.78,BRD-A03623303
76,2937,Leukopenia,0.78,BRD-A03623303
77,2937,Bronchospasm,0.77,BRD-A03623303
78,2937,Death,0.77,BRD-A03623303
79,2937,Nightmare,0.77,BRD-A03623303
80,2937,Weight increased,0.76,BRD-A03623303
81,2937,Mood swings,0.76,BRD-A03623303
82,2937,Gastrointestinal disorder,0.76,BRD-A03623303
83,2937,Syncope,0.76,BRD-A03623303
84,2937,Vision blurred,0.76,BRD-A03623303
85,2937,Diabetes mellitus,0.74,BRD-A03623303
86,2937,Bradycardia,0.74,BRD-A03623303
87,2937,Conjunctivitis,0.74,BRD-A03623303
88,2937,Cardiac failure congestive,0.74,BRD-A03623303
89,2937,Libido decreased,0.74,BRD-A03623303
90,2937,Hallucination,0.74,BRD-A03623303
91,2937,Erectile dysfunction,0.73,BRD-A03623303
92,2937,Cardiac arrest,0.73,BRD-A03623303
93,2937,Nervousness,0.73,BRD-A03623303
94,2937,Arthritis,0.72,BRD-A03623303
95,2937,Orthostatic hypotension,0.72,BRD-A03623303
96,2937,Hypoglycaemia,0.72,BRD-A03623303
97,2937,Dysgeusia,0.72,BRD-A03623303
98,2937,Purpura,0.71,BRD-A03623303
99,2937,Psoriasis,0.71,BRD-A03623303
100,2937,Flushing,0.7,BRD-A03623303
101,2937,Amnesia,0.7,BRD-A03623303
102,2937,Fibrosis,0.69,BRD-A03623303
103,2937,Musculoskeletal pain,0.69,BRD-A03623303
104,2937,Cardiovascular disorder,0.69,BRD-A03623303
105,2937,Oedema peripheral,0.68,BRD-A03623303
106,2937,Sleep disorder,0.68,BRD-A03623303
107,2937,Eye pruritus,0.68,BRD-A03623303
108,2937,Cerebrovascular accident,0.67,BRD-A03623303
109,2937,Tenderness,0.67,BRD-A03623303
110,2937,Atrioventricular block,0.67,BRD-A03623303
111,2937,Abnormal dreams,0.67,BRD-A03623303
112,2937,Dry eye,0.67,BRD-A03623303
113,2937,Sedation,0.67,BRD-A03623303
114,2937,Memory impairment,0.67,BRD-A03623303
115,2937,Personality disorder,0.67,BRD-A03623303
116,2937,Disorientation,0.66,BRD-A03623303
117,2937,Skin lesion,0.66,BRD-A03623303
118,2937,Hot flush,0.66,BRD-A03623303
119,2937,Atrioventricular block complete,0.66,BRD-A03623303
120,2937,Abdominal pain upper,0.66,BRD-A03623303
121,2937,Peripheral coldness,0.66,BRD-A03623303
122,2937,Cyanosis,0.66,BRD-A03623303
123,2937,Coma,0.65,BRD-A03623303
124,2937,Thrombocytopenic purpura,0.65,BRD-A03623303
125,2937,Wheezing,0.65,BRD-A03623303
126,2937,Obstruction,0.65,BRD-A03623303
127,2937,Catatonia,0.64,BRD-A03623303
128,2937,Oropharyngeal pain,0.64,BRD-A03623303
129,2937,Gastric disorder,0.64,BRD-A03623303
130,2937,Depression,0.64,BRD-A03623303
131,2937,Sinus arrest,0.64,BRD-A03623303
132,2937,Respiratory distress,0.64,BRD-A03623303
133,2937,Laryngospasm,0.64,BRD-A03623303
134,2937,Gangrene,0.63,BRD-A03623303
135,2937,Cardiac output decreased,0.63,BRD-A03623303
136,2937,Sexual dysfunction,0.63,BRD-A03623303
137,2937,Dyspnoea exertional,0.63,BRD-A03623303
138,2937,Intermittent claudication,0.63,BRD-A03623303
139,3252,Nausea,0.95,BRD-A04020513
140,3252,Vomiting,0.84,BRD-A04020513
141,3252,Pain,0.82,BRD-A04020513
142,3252,Diarrhoea,0.77,BRD-A04020513
143,3252,Rash,0.75,BRD-A04020513
144,3252,Oedema,0.74,BRD-A04020513
145,3252,Dizziness,0.71,BRD-A04020513
146,3252,Urticaria,0.69,BRD-A04020513
147,3252,Pruritus,0.67,BRD-A04020513
148,3252,Headache,0.66,BRD-A04020513
149,3252,Somnolence,0.65,BRD-A04020513
150,3252,Hypotension,0.65,BRD-A04020513
151,3252,Cough,0.64,BRD-A04020513
152,3252,Hypersensitivity,0.64,BRD-A04020513
153,3252,Asthenia,0.62,BRD-A04020513
154,3252,Tachycardia,0.6,BRD-A04020513
155,3252,Anaemia,0.57,BRD-A04020513
156,3252,Confusional state,0.56,BRD-A04020513
157,3252,Paraesthesia,0.54,BRD-A04020513
158,3252,Abdominal pain,0.54,BRD-A04020513
159,3252,Decreased appetite,0.54,BRD-A04020513
160,3252,Constipation,0.54,BRD-A04020513
161,3252,Insomnia,0.54,BRD-A04020513
162,3252,Body temperature increased,0.53,BRD-A04020513
163,3252,Thrombocytopenia,0.53,BRD-A04020513
164,3252,Dyspnoea,0.53,BRD-A04020513
165,3252,Convulsion,0.53,BRD-A04020513
166,3252,Anxiety,0.52,BRD-A04020513
167,3252,Cardiac failure,0.51,BRD-A04020513
168,2896,Rash,0.96,BRD-A07106394
169,2896,Headache,0.95,BRD-A07106394
170,2896,Dizziness,0.92,BRD-A07106394
171,2896,Nausea,0.92,BRD-A07106394
172,2896,Vomiting,0.91,BRD-A07106394
173,2896,Somnolence,0.87,BRD-A07106394
174,2896,Dry mouth,0.86,BRD-A07106394
175,2896,Decreased appetite,0.78,BRD-A07106394
176,2896,Alopecia,0.74,BRD-A07106394
177,2896,Psoriasis,0.71,BRD-A07106394
178,3624,Headache,0.92,BRD-A09073503
179,3624,Vomiting,0.85,BRD-A09073503
180,3624,Urticaria,0.77,BRD-A09073503
181,3624,Constipation,0.77,BRD-A09073503
182,3624,Somnolence,0.76,BRD-A09073503
183,3624,Dry mouth,0.73,BRD-A09073503
184,3624,Pruritus,0.73,BRD-A09073503
185,3624,Dizziness,0.73,BRD-A09073503
186,3624,Dyspepsia,0.71,BRD-A09073503
187,3624,Pain,0.7,BRD-A09073503
188,3624,Diarrhoea,0.7,BRD-A09073503
189,3624,Rash,0.69,BRD-A09073503
190,3624,Body temperature increased,0.68,BRD-A09073503
191,3624,Nausea,0.68,BRD-A09073503
192,3624,Abdominal pain,0.67,BRD-A09073503
193,3624,Erythema,0.65,BRD-A09073503
194,3624,Thrombocytopenia,0.64,BRD-A09073503
195,3624,Hypersensitivity,0.64,BRD-A09073503
196,3624,Leukopenia,0.64,BRD-A09073503
197,3624,Asthenia,0.62,BRD-A09073503
198,3624,Decreased appetite,0.61,BRD-A09073503
199,3624,Muscle spasms,0.61,BRD-A09073503
200,3624,Infection,0.57,BRD-A09073503
201,3624,Oedema,0.57,BRD-A09073503
202,3624,Dermatitis,0.55,BRD-A09073503
203,3624,Anxiety,0.54,BRD-A09073503
204,3624,Vision blurred,0.54,BRD-A09073503
205,3624,Paraesthesia,0.53,BRD-A09073503
206,3624,Insomnia,0.52,BRD-A09073503
207,3624,Hypotension,0.51,BRD-A09073503
208,3624,Dyspnoea,0.51,BRD-A09073503
209,3624,Anaemia,0.5,BRD-A09073503
210,2882,Headache,0.93,BRD-A11132253
211,2882,Vomiting,0.89,BRD-A11132253
212,2882,Nausea,0.89,BRD-A11132253
213,2882,Rash,0.8,BRD-A11132253
214,2882,Dizziness,0.79,BRD-A11132253
215,2882,Pain,0.77,BRD-A11132253
216,2882,Diarrhoea,0.76,BRD-A11132253
217,2882,Pruritus,0.69,BRD-A11132253
218,2882,Abdominal pain,0.69,BRD-A11132253
219,2882,Oedema,0.69,BRD-A11132253
220,2882,Urticaria,0.67,BRD-A11132253
221,2882,Leukopenia,0.67,BRD-A11132253
222,2882,Anaemia,0.65,BRD-A11132253
223,2882,Malaise,0.64,BRD-A11132253
224,2882,Tachycardia,0.63,BRD-A11132253
225,2882,Decreased appetite,0.6,BRD-A11132253
226,2882,Hypersensitivity,0.6,BRD-A11132253
227,2882,Anxiety,0.59,BRD-A11132253
228,2882,Dyspepsia,0.59,BRD-A11132253
229,2882,Body temperature increased,0.57,BRD-A11132253
230,2882,Agitation,0.54,BRD-A11132253
231,2882,Influenza,0.53,BRD-A11132253
232,2882,Haematuria,0.53,BRD-A11132253
233,2882,Cough,0.5,BRD-A11132253
234,2882,Toxic epidermal necrolysis,0.5,BRD-A11132253
235,2973,Nausea,0.84,BRD-A11678676
236,2973,Rash,0.82,BRD-A11678676
237,2973,Urticaria,0.78,BRD-A11678676
238,2973,Dyspepsia,0.77,BRD-A11678676
239,2973,Oedema,0.76,BRD-A11678676
240,2973,Pain,0.75,BRD-A11678676
241,2973,Headache,0.75,BRD-A11678676
242,2973,Pruritus,0.74,BRD-A11678676
243,2973,Paraesthesia,0.71,BRD-A11678676
244,2973,Asthenia,0.71,BRD-A11678676
245,2973,Vomiting,0.7,BRD-A11678676
246,2973,Hyperhidrosis,0.69,BRD-A11678676
247,2973,Diarrhoea,0.67,BRD-A11678676
248,2973,Body temperature increased,0.62,BRD-A11678676
249,2973,Infection,0.62,BRD-A11678676
250,2973,Erythema,0.6,BRD-A11678676
251,2973,Confusional state,0.6,BRD-A11678676
252,2973,Hypertension,0.6,BRD-A11678676
253,2973,Dizziness,0.58,BRD-A11678676
254,2973,Abdominal pain,0.58,BRD-A11678676
255,2973,Decreased appetite,0.58,BRD-A11678676
256,2973,Thrombocytopenia,0.57,BRD-A11678676
257,2973,Myalgia,0.56,BRD-A11678676
258,2973,Hypersensitivity,0.56,BRD-A11678676
259,2973,Influenza,0.55,BRD-A11678676
260,2973,Haemorrhage,0.55,BRD-A11678676
261,2973,Insomnia,0.55,BRD-A11678676
262,2973,Arthralgia,0.54,BRD-A11678676
263,2973,Dyspnoea,0.53,BRD-A11678676
264,2973,Constipation,0.52,BRD-A11678676
265,2973,Leukopenia,0.52,BRD-A11678676
266,2973,Jaundice,0.51,BRD-A11678676
267,2973,Cataract,0.51,BRD-A11678676
268,2973,Pneumonia,0.5,BRD-A11678676
269,2973,Cardiac failure congestive,0.5,BRD-A11678676
270,3256,Pruritus,0.84,BRD-A13122391
271,3256,Rash,0.82,BRD-A13122391
272,3256,Urticaria,0.74,BRD-A13122391
273,3256,Pain,0.74,BRD-A13122391
274,3256,Vomiting,0.74,BRD-A13122391
275,3256,Asthenia,0.73,BRD-A13122391
276,3256,Headache,0.73,BRD-A13122391
277,3256,Diarrhoea,0.71,BRD-A13122391
278,3256,Body temperature increased,0.7,BRD-A13122391
279,3256,Decreased appetite,0.68,BRD-A13122391
280,3256,Anaemia,0.67,BRD-A13122391
281,3256,Nausea,0.67,BRD-A13122391
282,3256,Dizziness,0.66,BRD-A13122391
283,3256,Erythema,0.64,BRD-A13122391
284,3256,Constipation,0.6,BRD-A13122391
285,3256,Haemorrhage,0.58,BRD-A13122391
286,3256,Infection,0.56,BRD-A13122391
287,3256,Insomnia,0.55,BRD-A13122391
288,3256,Paraesthesia,0.54,BRD-A13122391
289,3256,Abdominal pain,0.54,BRD-A13122391
290,3256,Pneumonia,0.54,BRD-A13122391
291,3256,Oedema,0.54,BRD-A13122391
292,3256,Dyspnoea,0.53,BRD-A13122391
293,3256,Alopecia,0.51,BRD-A13122391
294,3256,Leukopenia,0.5,BRD-A13122391
295,2807,Rash,0.97,BRD-A16444946
296,2807,Nausea,0.94,BRD-A16444946
297,2807,Diarrhoea,0.94,BRD-A16444946
298,2807,Pain,0.93,BRD-A16444946
299,2807,Oedema,0.91,BRD-A16444946
300,2807,Urticaria,0.89,BRD-A16444946
301,2807,Abdominal pain,0.87,BRD-A16444946
302,2807,Vomiting,0.86,BRD-A16444946
303,2807,Thrombocytopenia,0.84,BRD-A16444946
304,2807,Flatulence,0.82,BRD-A16444946
305,2807,Erythema,0.81,BRD-A16444946
306,2807,Dyspepsia,0.81,BRD-A16444946
307,2807,Hepatitis,0.76,BRD-A16444946
308,2807,Liver function test abnormal,0.76,BRD-A16444946
309,2807,Gastrointestinal disorder,0.76,BRD-A16444946
310,2807,Hepatic function abnormal,0.73,BRD-A16444946
311,2807,Shock,0.72,BRD-A16444946
312,2807,Jaundice,0.7,BRD-A16444946
313,2807,Hepatic enzyme increased,0.69,BRD-A16444946
314,2807,Hepatocellular injury,0.68,BRD-A16444946
315,2807,Ileus,0.68,BRD-A16444946
316,2807,Hepatitis fulminant,0.64,BRD-A16444946
317,2738,Nausea,0.96,BRD-A16754160
318,2738,Rash,0.96,BRD-A16754160
319,2738,Diarrhoea,0.93,BRD-A16754160
320,2738,Hypersensitivity,0.93,BRD-A16754160
321,2738,Vomiting,0.92,BRD-A16754160
322,2738,Urticaria,0.89,BRD-A16754160
323,2738,Thrombocytopenia,0.88,BRD-A16754160
324,2738,Eosinophilia,0.87,BRD-A16754160
325,2738,Anaemia,0.87,BRD-A16754160
326,2738,Malaise,0.86,BRD-A16754160
327,2738,Leukopenia,0.85,BRD-A16754160
328,2738,Colitis,0.82,BRD-A16754160
329,2738,Erythema multiforme,0.82,BRD-A16754160
330,2738,Pseudomembranous colitis,0.81,BRD-A16754160
331,2738,Erythema,0.79,BRD-A16754160
332,2738,Purpura,0.78,BRD-A16754160
333,2738,Agranulocytosis,0.78,BRD-A16754160
334,2738,Anaphylactic shock,0.77,BRD-A16754160
335,2738,Dermatitis exfoliative,0.77,BRD-A16754160
336,2738,Dermatitis,0.76,BRD-A16754160
337,2738,Serum sickness,0.75,BRD-A16754160
338,2738,Glossitis,0.73,BRD-A16754160
339,2738,Thrombocytopenic purpura,0.73,BRD-A16754160
340,2738,Stomatitis,0.72,BRD-A16754160
341,2738,Asthma,0.71,BRD-A16754160
342,2738,Enterocolitis,0.68,BRD-A16754160
343,2738,Tongue discolouration,0.65,BRD-A16754160
344,2738,Seasonal allergy,0.64,BRD-A16754160
345,2903,Dizziness,0.87,BRD-A17555397
346,2903,Rash,0.83,BRD-A17555397
347,2903,Vomiting,0.77,BRD-A17555397
348,2903,Nausea,0.76,BRD-A17555397
349,2903,Hypersensitivity,0.7,BRD-A17555397
350,2903,Oedema,0.69,BRD-A17555397
351,2903,Pain,0.67,BRD-A17555397
352,2903,Somnolence,0.66,BRD-A17555397
353,2903,Pruritus,0.65,BRD-A17555397
354,2903,Hypotension,0.65,BRD-A17555397
355,2903,Headache,0.63,BRD-A17555397
356,2903,Diarrhoea,0.62,BRD-A17555397
357,2903,Body temperature increased,0.61,BRD-A17555397
358,2903,Asthenia,0.61,BRD-A17555397
359,2903,Urticaria,0.6,BRD-A17555397
360,2903,Dyspepsia,0.58,BRD-A17555397
361,2903,Constipation,0.57,BRD-A17555397
362,2903,Myalgia,0.54,BRD-A17555397
363,2903,Dyspnoea,0.54,BRD-A17555397
364,2903,Dry mouth,0.53,BRD-A17555397
365,2903,Muscle spasms,0.53,BRD-A17555397
366,2903,Hepatitis,0.52,BRD-A17555397
367,2903,Anxiety,0.52,BRD-A17555397
368,2903,Insomnia,0.51,BRD-A17555397
369,2903,Paraesthesia,0.5,BRD-A17555397
370,3299,Pruritus,0.89,BRD-A17655518
371,3299,Insomnia,0.89,BRD-A17655518
372,3299,Rash,0.89,BRD-A17655518
373,3299,Abdominal pain,0.88,BRD-A17655518
374,3299,Vomiting,0.88,BRD-A17655518
375,3299,Asthenia,0.88,BRD-A17655518
376,3299,Diarrhoea,0.88,BRD-A17655518
377,3299,Dizziness,0.87,BRD-A17655518
378,3299,Oedema,0.86,BRD-A17655518
379,3299,Dyspnoea,0.86,BRD-A17655518
380,3299,Dyspepsia,0.85,BRD-A17655518
381,3299,Dry mouth,0.83,BRD-A17655518
382,3299,Haemolytic anaemia,0.83,BRD-A17655518
383,3299,Malaise,0.83,BRD-A17655518
384,3299,Anxiety,0.82,BRD-A17655518
385,3299,Hypertension,0.82,BRD-A17655518
386,3299,Erythema,0.81,BRD-A17655518
387,3299,Arthralgia,0.81,BRD-A17655518
388,3299,Anaemia,0.81,BRD-A17655518
389,3299,Syncope,0.81,BRD-A17655518
390,3299,Paraesthesia,0.8,BRD-A17655518
391,3299,Hyperhidrosis,0.8,BRD-A17655518
392,3299,Pharyngitis,0.8,BRD-A17655518
393,3299,Hypotension,0.8,BRD-A17655518
394,3299,Anaphylactic shock,0.8,BRD-A17655518
395,3299,Dermatitis,0.8,BRD-A17655518
396,3299,Urinary tract infection,0.79,BRD-A17655518
397,3299,Vertigo,0.79,BRD-A17655518
398,3299,Somnolence,0.79,BRD-A17655518
399,3299,Tachycardia,0.79,BRD-A17655518
400,3299,Decreased appetite,0.79,BRD-A17655518
401,3299,Infection,0.79,BRD-A17655518
402,3299,Angioedema,0.79,BRD-A17655518
403,3299,Bronchitis,0.78,BRD-A17655518
404,3299,Arrhythmia,0.78,BRD-A17655518
405,3299,Oedema peripheral,0.78,BRD-A17655518
406,3299,Tinnitus,0.78,BRD-A17655518
407,3299,Confusional state,0.78,BRD-A17655518
408,3299,Sinusitis,0.78,BRD-A17655518
409,3299,Discomfort,0.78,BRD-A17655518
410,3299,Epistaxis,0.78,BRD-A17655518
411,3299,Chills,0.78,BRD-A17655518
412,3299,Tremor,0.78,BRD-A17655518
413,3299,Vision blurred,0.78,BRD-A17655518
414,3299,Liver function test abnormal,0.77,BRD-A17655518
415,3299,Cough,0.77,BRD-A17655518
416,3299,Purpura,0.77,BRD-A17655518
417,3299,Flatulence,0.77,BRD-A17655518
418,3299,Muscle spasms,0.77,BRD-A17655518
419,3299,Rectal haemorrhage,0.77,BRD-A17655518
420,3299,Dysphagia,0.77,BRD-A17655518
421,3299,Constipation,0.77,BRD-A17655518
422,3299,Dry eye,0.77,BRD-A17655518
423,3299,Erectile dysfunction,0.76,BRD-A17655518
424,3299,Visual impairment,0.76,BRD-A17655518
425,3299,Cardiac failure,0.76,BRD-A17655518
426,3299,Hepatitis,0.75,BRD-A17655518
427,3299,Jaundice,0.75,BRD-A17655518
428,3299,Death,0.75,BRD-A17655518
429,3299,Palpitations,0.75,BRD-A17655518
430,3299,Nervousness,0.75,BRD-A17655518
431,3299,Convulsion,0.75,BRD-A17655518
432,3299,Alopecia,0.74,BRD-A17655518
433,3299,Pancreatitis,0.74,BRD-A17655518
434,3299,Thrombocytopenia,0.74,BRD-A17655518
435,3299,Hyperglycaemia,0.74,BRD-A17655518
436,3299,Eosinophilia,0.74,BRD-A17655518
437,3299,Gastritis,0.74,BRD-A17655518
438,3299,Renal impairment,0.74,BRD-A17655518
439,3299,Conjunctivitis,0.74,BRD-A17655518
440,3299,Hepatic enzyme increased,0.74,BRD-A17655518
441,3299,Renal failure acute,0.74,BRD-A17655518
442,3299,Toxic epidermal necrolysis,0.74,BRD-A17655518
443,3299,Hallucination,0.74,BRD-A17655518
444,3299,Urinary retention,0.73,BRD-A17655518
445,3299,Bradycardia,0.73,BRD-A17655518
446,3299,Gastrointestinal haemorrhage,0.73,BRD-A17655518
447,3299,Renal failure,0.73,BRD-A17655518
448,3299,Myocardial infarction,0.73,BRD-A17655518
449,3299,Cystitis,0.73,BRD-A17655518
450,3299,Cataract,0.73,BRD-A17655518
451,3299,Erythema multiforme,0.73,BRD-A17655518
452,3299,Incontinence,0.72,BRD-A17655518
453,3299,Bronchospasm,0.72,BRD-A17655518
454,3299,Vasculitis,0.72,BRD-A17655518
455,3299,Agranulocytosis,0.72,BRD-A17655518
456,3299,Aplastic anaemia,0.72,BRD-A17655518
457,3299,Blood creatinine increased,0.72,BRD-A17655518
458,3299,Blood urea increased,0.72,BRD-A17655518
459,3299,Agitation,0.72,BRD-A17655518
460,3299,Leukopenia,0.72,BRD-A17655518
461,3299,Pollakiuria,0.71,BRD-A17655518
462,3299,Lymphadenopathy,0.71,BRD-A17655518
463,3299,Hepatic failure,0.71,BRD-A17655518
464,3299,Sinus bradycardia,0.71,BRD-A17655518
465,3299,Infarction,0.71,BRD-A17655518
466,3299,Hepatic function abnormal,0.71,BRD-A17655518
467,3299,Mood swings,0.71,BRD-A17655518
468,3299,Photosensitivity reaction,0.71,BRD-A17655518
469,3299,Necrosis,0.71,BRD-A17655518
470,3299,Dysuria,0.71,BRD-A17655518
471,3299,Blood pressure increased,0.71,BRD-A17655518
472,3299,Libido decreased,0.71,BRD-A17655518
473,3299,Dysphonia,0.71,BRD-A17655518
474,3299,Cerebrovascular accident,0.7,BRD-A17655518
475,3299,Respiratory tract infection,0.7,BRD-A17655518
476,3299,Abdominal distension,0.7,BRD-A17655518
477,3299,Glossitis,0.7,BRD-A17655518
478,3299,Euphoric mood,0.7,BRD-A17655518
479,3299,Rhinitis,0.7,BRD-A17655518
480,3299,Stomatitis,0.7,BRD-A17655518
481,3299,Amblyopia,0.7,BRD-A17655518
482,3299,Hypokalaemia,0.7,BRD-A17655518
483,3299,Glycosuria,0.69,BRD-A17655518
484,3299,Urinary incontinence,0.69,BRD-A17655518
485,3299,Coma,0.69,BRD-A17655518
486,3299,Respiratory failure,0.69,BRD-A17655518
487,3299,Abdominal discomfort,0.69,BRD-A17655518
488,3299,Anaphylactoid reaction,0.69,BRD-A17655518
489,3299,Hiccups,0.69,BRD-A17655518
490,3299,Hernia,0.69,BRD-A17655518
491,3299,Gastroenteritis,0.69,BRD-A17655518
492,3299,Hearing impaired,0.69,BRD-A17655518
493,3299,Systemic lupus erythematosus,0.69,BRD-A17655518
494,3299,Oesophagitis,0.69,BRD-A17655518
495,3299,Neuralgia,0.69,BRD-A17655518
496,3299,Gastrointestinal disorder,0.69,BRD-A17655518
497,3299,Cardiac failure congestive,0.69,BRD-A17655518
498,3299,Haematuria,0.69,BRD-A17655518
499,3299,Abdominal pain upper,0.69,BRD-A17655518
500,3299,Scotoma,0.69,BRD-A17655518
501,3299,Eructation,0.69,BRD-A17655518
502,3299,Azotaemia,0.69,BRD-A17655518
503,3299,Diplopia,0.69,BRD-A17655518
504,3299,Neoplasm,0.68,BRD-A17655518
505,3299,Injection site reaction,0.68,BRD-A17655518
506,3299,Menorrhagia,0.68,BRD-A17655518
507,3299,Metrorrhagia,0.68,BRD-A17655518
508,3299,Abnormal dreams,0.68,BRD-A17655518
509,3299,Thirst,0.68,BRD-A17655518
510,3299,Oesophageal disorder,0.68,BRD-A17655518
511,3299,Pneumonia,0.68,BRD-A17655518
512,3299,Neutropenia,0.68,BRD-A17655518
513,3299,Dermatitis exfoliative,0.68,BRD-A17655518
514,3299,Oliguria,0.68,BRD-A17655518
515,3299,Lethargy,0.68,BRD-A17655518
516,3299,Renal tubular disorder,0.67,BRD-A17655518
517,3299,Fluid retention,0.67,BRD-A17655518
518,3299,Haematemesis,0.67,BRD-A17655518
519,3299,Acidosis,0.67,BRD-A17655518
520,3299,Melaena,0.67,BRD-A17655518
521,3299,Neuritis,0.67,BRD-A17655518
522,3299,Gastrointestinal perforation,0.67,BRD-A17655518
523,3299,Cardiac fibrillation,0.67,BRD-A17655518
524,3299,Hypertonia,0.67,BRD-A17655518
525,3299,Sepsis,0.67,BRD-A17655518
526,3299,Mouth ulceration,0.67,BRD-A17655518
527,3299,Atelectasis,0.67,BRD-A17655518
528,3299,Polyuria,0.67,BRD-A17655518
529,3299,Adrenal insufficiency,0.66,BRD-A17655518
530,3299,Weight decreased,0.66,BRD-A17655518
531,3299,Benign intracranial hypertension,0.66,BRD-A17655518
532,3299,Hypocalcaemia,0.66,BRD-A17655518
533,3299,Duodenal ulcer,0.66,BRD-A17655518
534,3299,Gastrooesophageal reflux disease,0.66,BRD-A17655518
535,3299,Dysarthria,0.66,BRD-A17655518
536,3299,Atrial fibrillation,0.66,BRD-A17655518
537,3299,Tubulointerstitial nephritis,0.66,BRD-A17655518
538,3299,Haemoglobin decreased,0.66,BRD-A17655518
539,3299,Connective tissue disorder,0.66,BRD-A17655518
540,3299,Hypoglycaemia,0.66,BRD-A17655518
541,3299,Nasal congestion,0.66,BRD-A17655518
542,3299,Nephritis,0.65,BRD-A17655518
543,3299,Meningitis,0.65,BRD-A17655518
544,3299,Ileus,0.65,BRD-A17655518
545,3299,Meningitis aseptic,0.65,BRD-A17655518
546,3299,Gastrointestinal pain,0.65,BRD-A17655518
547,3299,Gynaecomastia,0.65,BRD-A17655518
548,3299,Ecchymosis,0.65,BRD-A17655518
549,3299,Necrotising colitis,0.65,BRD-A17655518
550,3299,Cholestasis,0.65,BRD-A17655518
551,3299,Bruxism,0.65,BRD-A17655518
552,3299,Cognitive disorder,0.65,BRD-A17655518
553,3299,Urine output,0.65,BRD-A17655518
554,3299,Hypoproteinaemia,0.65,BRD-A17655518
555,3299,Apnoea,0.64,BRD-A17655518
